volumen,hidrologia,tiempo,turbinado,energia_turbinada,energia_eolica,energia_solar,energia_biomasa,energia_renovable,energia_termico_bajo,energia_termico_alto,costo_termico,ingreso_exportacion,demanda,demanda_residual,aportes,vertimiento,costo_vertimiento,action,reward
45000.0,2,0,6822.144,258888.0,89498.12267082525,10847.177165782274,14205.472175438588,114550.7720120461,0.0,0.0,0.0,0.0,262804.7277197107,148253.95570766457,668.4249599999999,0,0,1.0,0.0
38846.28096,1,1,6822.144,258888.0,92140.0921373727,11271.621322419545,14859.639049122809,118271.35250891506,0.0,0.0,0.0,0.0,259686.40768585046,141415.0551769354,386.83007999999995,0,0,1.0,0.0
32410.967039999996,0,2,6822.144,258888.0,90659.82803868594,11002.30343492352,14518.368923684202,116180.50039729367,0.0,0.0,0.0,0.0,284769.89501704235,168589.3946197487,693.1008,0,0,1.0,0.0
26281.923839999996,1,3,6822.144,258888.0,90554.62452678141,10732.967364716964,14566.054130701754,115853.64602220013,0.0,0.0,0.0,0.0,322835.61778332083,206981.97176112072,691.0444799999999,0,0,1.0,0.0
20150.824319999996,1,4,6822.144,258888.0,85031.2477209428,10716.475757573358,14637.513606140346,110385.2370846565,0.0,0.0,0.0,0.0,286307.0950337339,175921.85794907738,754.7904,0,0,1.0,0.0
14083.470719999996,1,5,6822.144,258888.0,87807.04803662449,10608.470938362425,14628.308548245614,113043.82752323252,0.0,0.0,0.0,0.0,271219.28310519754,158175.455581965,2428.51392,0,0,1.0,0.0
9689.840639999995,3,6,6822.144,258888.0,84982.77061434375,10693.418996498953,14763.392324561399,110439.5819354041,0.0,0.0,0.0,0.0,321077.5259995257,210637.94406412158,2150.0035199999998,0,0,1.0,0.0
5017.700159999995,3,7,5017.700159999995,190412.62673758846,85986.18983175584,10551.754537368377,15309.599851754381,111847.5442208786,0.0,0.0,0.0,0.0,252554.57466723176,140707.03044635316,1055.79936,0,0,1.0,0.0
1055.79936,2,8,1055.79936,40065.67212765957,84086.47588357603,10205.677110637433,15594.137738596493,109886.29073280995,84000.0,31808.322538392153,17942496.761517644,0.0,265760.2853988617,155873.99466605173,2479.86144,0,0,1.0,-17.942496761517646
2479.86144,3,9,2479.86144,94106.2470212766,87138.50521512776,10242.880464036181,15899.251240350874,113280.63691951481,42458.86010879192,0.0,4245886.0108791925,0.0,249845.74404958336,136565.10713006853,1539.09504,0,0,1.0,-4.245886010879192
1539.09504,2,10,1539.09504,58405.86723404255,88685.74475373808,9824.855155326186,16000.966926315783,114511.56683538006,73027.18052603537,0.0,7302718.052603537,0.0,245944.61459545797,131433.04776007793,831.6,0,0,1.0,-7.302718052603537
831.6,1,11,831.6,31557.712765957447,92209.90206906515,9278.029588771047,15795.58666754386,117283.51832538006,84000.0,15967.225888159199,13190167.76644776,0.0,248808.4569794967,131524.93865411665,496.72224000000006,0,0,1.0,-13.190167766447761
496.72224000000006,0,12,496.72224000000006,18849.70872340426,92859.18840188251,9169.003791343186,18456.2665437649,120484.4587369906,84000.0,33558.1531362926,18467445.94088778,0.0,256892.32059668744,136407.86185969686,844.7241600000001,0,0,1.0,-18.467445940887778
844.7241600000001,1,13,844.7241600000001,32055.750851063833,95290.58732603819,8530.480186850396,33050.70162164341,136871.76913453202,63888.88976142761,0.0,6388888.97614276,0.0,232816.40974702346,95944.64061249144,915.84864,0,0,1.0,-6.38888897614276
915.84864,1,14,915.84864,34754.79595744681,99999.6553362952,7882.442787928107,33192.07652152284,141074.17464574613,70793.82047021754,0.0,7079382.047021754,0.0,246622.79107341048,105548.61642766435,958.6080000000001,0,0,1.0,-7.079382047021754
