volumen,hidrologia,tiempo,turbinado,energia_turbinada,energia_eolica,energia_solar,energia_biomasa,energia_renovable,energia_termico_bajo,energia_termico_alto,costo_termico,ingreso_exportacion,demanda,demanda_residual,aportes,vertimiento,costo_vertimiento,action,reward
45000.0,2,0,6822.144,258888.0,89498.12267082525,10847.177165782274,14205.472175438588,114550.7720120461,0.0,0.0,0.0,0.0,262804.7277197107,148253.95570766457,1103.63904,0,0,1.0,0.0
39281.49504,2,1,6822.144,258888.0,92140.0921373727,11271.621322419545,14859.639049122809,118271.35250891506,0.0,0.0,0.0,0.0,259686.40768585046,141415.0551769354,1877.9644800000003,0,0,1.0,0.0
34337.315520000004,3,2,6822.144,258888.0,90659.82803868594,11002.30343492352,14518.368923684202,116180.50039729367,0.0,0.0,0.0,0.0,284769.89501704235,168589.3946197487,1183.83552,0,0,1.0,0.0
28699.007040000004,2,3,6822.144,258888.0,90554.62452678141,10732.967364716964,14566.054130701754,115853.64602220013,0.0,0.0,0.0,0.0,322835.61778332083,206981.97176112072,1141.98336,0,0,1.0,0.0
23018.846400000002,2,4,6822.144,258888.0,85031.2477209428,10716.475757573358,14637.513606140346,110385.2370846565,0.0,0.0,0.0,0.0,286307.0950337339,175921.85794907738,1962.8784,0,0,1.0,0.0
18159.580800000003,3,5,6822.144,258888.0,87807.04803662449,10608.470938362425,14628.308548245614,113043.82752323252,0.0,0.0,0.0,0.0,271219.28310519754,158175.455581965,1303.22304,0,0,1.0,0.0
12640.659840000004,2,6,6822.144,258888.0,84982.77061434375,10693.418996498953,14763.392324561399,110439.5819354041,0.0,0.0,0.0,0.0,321077.5259995257,210637.94406412158,2160.70848,0,0,1.0,0.0
7979.224320000003,3,7,6822.144,258888.0,85986.18983175584,10551.754537368377,15309.599851754381,111847.5442208786,0.0,0.0,0.0,0.0,252554.57466723176,140707.03044635316,5123.805120000001,0,0,1.0,0.0
6280.885440000004,4,8,6280.885440000004,238348.2186524824,84086.47588357603,10205.677110637433,15594.137738596493,109886.29073280995,0.0,0.0,0.0,0.0,265760.2853988617,155873.99466605173,2479.86144,0,0,1.0,0.0
2479.86144,3,9,2479.86144,94106.2470212766,87138.50521512776,10242.880464036181,15899.251240350874,113280.63691951481,42458.86010879192,0.0,4245886.0108791925,0.0,249845.74404958336,136565.10713006853,2281.84992,0,0,1.0,-4.245886010879192
2281.84992,3,10,2281.84992,86592.06872340426,88685.74475373808,9824.855155326186,16000.966926315783,114511.56683538006,44840.97903667367,0.0,4484097.903667367,0.0,245944.61459545797,131433.04776007793,2243.5056,0,0,1.0,-4.484097903667367
2243.5056,3,11,2243.5056,85136.97127659574,92209.90206906515,9278.029588771047,15795.58666754386,117283.51832538006,46387.96737752091,0.0,4638796.737752091,0.0,248808.4569794967,131524.93865411665,5041.3104,0,0,1.0,-4.638796737752092
5041.3104,4,12,5041.3104,191308.5925531915,92859.18840188251,9169.003791343186,18456.2665437649,120484.4587369906,0.0,0.0,0.0,0.0,256892.32059668744,136407.86185969686,5748.68448,0,0,1.0,0.0
5748.68448,4,13,5748.68448,218152.15680851063,95290.58732603819,8530.480186850396,33050.70162164341,136871.76913453202,0.0,0.0,0.0,0.0,232816.40974702346,95944.64061249144,5844.36384,0,0,1.0,0.0
5844.36384,4,14,5844.36384,221783.01510638298,99999.6553362952,7882.442787928107,33192.07652152284,141074.17464574613,0.0,0.0,0.0,0.0,246622.79107341048,105548.61642766435,8620.2144,0,0,1.0,0.0
8620.2144,4,15,6822.144,258888.0,95416.92842546562,8111.724699108436,33118.516723145774,136647.16984771984,0.0,0.0,0.0,0.0,249188.23580714918,112541.06595942934,9859.20768,0,0,1.0,0.0
11657.27808,4,16,6822.144,258888.0,100470.00745115177,7424.9501238408375,23369.852297572706,131264.80987256533,0.0,0.0,0.0,0.0,251752.38877616858,120487.57890360325,10340.74944,0,0,1.0,0.0
15175.88352,4,17,6822.144,258888.0,98434.05050166651,6757.079140633997,21224.44183295923,126415.57147525974,0.0,0.0,0.0,0.0,253509.18879524473,127093.61731998499,10018.39104,0,0,1.0,0.0
18372.130559999998,4,18,6822.144,258888.0,98975.04493142634,6723.902763309068,25968.47947897232,131667.42717370772,0.0,0.0,0.0,0.0,259512.0194486619,127844.59227495416,10097.075520000002,0,0,1.0,0.0
21647.06208,4,19,6822.144,258888.0,98037.6221467726,6354.5806597072415,34253.7348904101,138645.93769688995,0.0,0.0,0.0,0.0,269658.83132354775,131012.89362665781,9484.05024,0,0,1.0,0.0
24308.96832,4,20,6822.144,258888.0,97409.03202198535,5966.749727093678,35096.533702179564,138472.3154512586,0.0,0.0,0.0,0.0,281722.62204277696,143250.30659151837,9313.160055652173,0,0,1.0,0.0
26799.984375652173,4,21,6822.144,258888.0,98814.04396127017,5886.59032116912,34915.35802257658,139615.99230501588,0.0,0.0,0.0,0.0,281740.7067488555,142124.7144438396,8310.5568,0,0,1.0,0.0
28288.39717565217,4,22,6822.144,258888.0,98220.28704362443,5700.530551199278,35017.87632551271,138938.69392033643,0.0,0.0,0.0,0.0,276524.56080986426,137585.86688952782,5497.99488,0,0,1.0,0.0
26964.24805565217,3,23,6822.144,258888.0,98854.63909287953,5691.159953817383,35550.51846960261,140096.31751629955,0.0,0.0,0.0,0.0,278081.1372973546,137984.81978105503,3478.8096,0,0,1.0,0.0
23620.91365565217,2,24,6822.144,258888.0,104690.69883044781,5569.164730104099,36640.267961321035,146900.13152187294,0.0,0.0,0.0,0.0,290325.77507737133,143425.6435554984,5485.59648,0,0,1.0,0.0
22284.36613565217,3,25,6822.144,258888.0,104382.0148129037,5429.313546577172,36310.39745348857,146121.72581296944,0.0,0.0,0.0,0.0,329525.6672677294,183403.94145475997,4868.1561599999995,0,0,1.0,0.0
20330.378295652168,2,26,6822.144,258888.0,106816.05281652318,5738.184090648205,34600.92987232152,147155.16677949292,0.0,0.0,0.0,0.0,313822.97533251636,166667.80855302344,3173.6879999999996,0,0,1.0,0.0
16681.922295652166,1,27,6822.144,258888.0,105570.85574992995,5961.318488980013,35113.18863366362,146645.3628725736,0.0,0.0,0.0,0.0,309256.58704763796,162611.22417506436,1653.64416,0,0,1.0,0.0
11513.422455652166,0,28,6822.144,258888.0,108730.43283364398,5763.893484376082,34304.426268943746,148798.75258696382,0.0,0.0,0.0,0.0,302204.84344165475,153406.09085469093,1415.05056,0,0,1.0,0.0
6106.329015652165,0,29,6106.329015652165,231724.11872340392,105710.5229317552,6405.6144499270995,34658.5686623392,146774.7060440215,0.0,0.0,0.0,0.0,310085.89999781986,163311.19395379836,2329.4476799999998,0,0,1.0,0.0
2329.4476799999998,1,30,2329.4476799999998,88398.3174468085,106832.62021303737,6755.84926381601,35019.157293632656,148607.62677048604,72853.8969545413,0.0,7285389.69545413,0.0,309859.84117183584,161252.2144013498,2129.98464,0,0,1.0,-7.28538969545413
2129.98464,1,31,2129.98464,80829.05659574468,112963.317808136,6912.495966710932,34636.09143758985,154511.90521243677,77993.72646020833,0.0,7799372.646020833,0.0,313334.6882683898,158822.783055953,2153.63232,0,0,1.0,-7.799372646020833
2153.63232,1,32,2153.63232,81726.44319148936,111681.42711469864,6849.887804579319,34441.76708218248,152973.08200146045,84000.0,4761.306714806982,9828392.014442094,0.0,323460.8319077568,170487.74990629635,7928.44416,0,0,1.0,-9.828392014442093
7928.44416,4,33,6822.144,258888.0,107779.19993502216,7307.814717086226,32995.00888109761,148082.023533206,0.0,0.0,0.0,0.0,268285.6854262847,120203.66189307868,7588.78848,0,0,1.0,0.0
