tiempo,volumen,hidrologia,turbinado,energia_turbinada,energia_eolica,energia_solar,energia_biomasa,energia_renovable,energia_termico_bajo,energia_termico_alto,costo_termico,ingreso_exportacion,demanda,demanda_residual,aportes,vertimiento,costo_vertimiento,action,reward,reward_usd
36,5321.492756452174,1.88,3885.045213913044,147430.42441489364,114300.00672391738,8524.156211579264,32083.372775819946,154907.5357113166,16279.05085411244,0.0,1627905.085411244,0.0,257389.6500138521,102482.11430253554,3961.3674240000005,0.0,0.0,1.0,-1.627905085411244,-1627905.085411244
37,5397.81496653913,1.93,4066.5342816,154317.60559361702,116709.7919183677,8237.11335634511,32138.75473695297,157085.6600116658,8999.396881320477,0.0,899939.6881320477,0.0,249658.43816519674,92572.77815353093,4411.400313599999,0.0,0.0,1.0,-0.8999396881320476,-899939.6881320477
38,5742.680998539129,1.84,4280.294109913043,162429.40364893616,116894.20438616359,8752.13665806451,31710.193294999768,157356.53433922786,9140.149276995407,0.0,914014.9276995407,0.0,266581.84776072385,109225.31342149599,4893.9744672,0.0,0.0,1.0,-0.9140149276995406,-914014.9276995406
39,6356.361355826087,1.95,4612.9099968,175051.573706383,110322.89665027641,9054.746042873534,31879.889942467347,151257.5326356173,7046.124357737007,0.0,704612.4357737008,0.0,252666.95819786482,101409.42556224752,5438.8170144,0.0,0.0,1.0,-0.7046124357737007,-704612.4357737007
40,7182.268373426087,2.11,4849.731795756522,184038.53174893616,108176.90193784745,9864.239537116413,31227.34317938806,149268.48465435192,8874.780586726629,0.0,887478.0586726629,0.0,271783.7842877981,122515.2996334462,5710.0546944,0.0,0.0,1.0,-0.8874780586726629,-887478.0586726629
41,8042.591272069565,2.16,5128.3175328,194610.3555468085,104422.57659378197,10529.749504988575,31504.85887353122,146457.18497230177,6741.1288244445805,0.0,674112.8824444582,0.0,248687.03109582505,102229.8461235233,5542.6254911999995,0.0,0.0,1.0,-0.6741128824444581,-674112.8824444581
42,8456.899230469566,2.18,4912.303798956522,186413.0258617021,107996.14741250093,10636.545500075908,30752.21296938665,149384.9058819635,4911.980470479409,0.0,491198.04704794096,0.0,241845.84513918724,92460.93925722374,4941.2988576,0.0,0.0,1.0,-0.4911980470479409,-491198.0470479409
43,8485.894289113043,2.17,4585.2470496,174001.81499787234,108368.1616263384,10773.160558117665,31590.321507513345,150731.6436919694,7782.437669492489,0.0,778243.766949249,0.0,243031.68515206288,92300.04146009349,4689.523220869565,0.0,0.0,1.0,-0.7782437669492489,-778243.7669492488
44,8590.170460382607,2.11,4483.049339269565,170123.59711914894,102923.50995295042,10848.061603908141,32262.107988332133,146033.67954519068,15811.020057913562,0.0,1581102.0057913563,0.0,254923.67116354554,108889.99161835486,4045.7424671999997,0.0,0.0,1.0,-1.581102005791356,-1581102.005791356
45,8152.863588313044,2.01,4147.739568,157399.1990319149,104473.43194198544,10923.442250445485,32514.580538018447,147911.4547304494,28726.697669920366,1853.0466448353777,3428583.76044265,0.0,279482.70201845607,131571.24728800668,3870.008728904348,0.0,0.0,1.0,-3.4285837604426503,-3428583.7604426504
