costo_termico,ingreso_exportacion
0.0,0.0
0.0,0.0
216603.43571426184,0.0
758474.3197543625,0.0
0.0,0.0
0.0,0.0
91625.12787763722,0.0
923273.8569767216,0.0
356902.53358973184,0.0
0.0,0.0
16729447.20137821,0.0
105913.31338163951,0.0
0.0,0.0
6446423.711538528,0.0
12823945.837149985,0.0
2294166.9913908844,0.0
2360487.97879715,0.0
1207013.1509196726,0.0
1495780.5572700438,0.0
2095240.8833323927,0.0
13603498.157415051,0.0
2164686.0233360417,0.0
3153014.26351116,0.0
1639396.8786475149,0.0
8091678.827641612,0.0
1838989.306512562,0.0
1331619.3528660699,0.0
1626993.4883902916,0.0
1007000.1921435082,0.0
1714320.1367883862,0.0
1800099.0634631207,0.0
1718915.8096281602,0.0
3056660.3666893835,0.0
4238023.326501506,0.0
925219.7213681974,0.0
1309086.822164606,0.0
1077070.7234476802,0.0
188192.1063679941,0.0
64927.0569586329,0.0
65034.434528750346,0.0
155382.08091038011,0.0
124976.7856046125,0.0
3295082.4472036557,0.0
0.0,0.0
24415.342152038706,0.0
11944108.635529004,0.0
0.0,0.0
8715449.286177196,0.0
29976.05161034738,0.0
200319.5684094528,0.0
18234712.874069612,0.0
660419.9489754756,0.0
6314941.591121305,0.0
11006391.103746522,0.0
957661.4153230798,0.0
2338115.903045085,0.0
2216905.1313158534,0.0
2826091.127565169,0.0
4886187.066832172,0.0
1582981.3578391173,0.0
2801220.6114403824,0.0
7041357.064363401,0.0
22055092.08645957,0.0
21010931.311802514,0.0
742601.1651208353,0.0
17822233.589121837,0.0
19752951.253236663,0.0
379697.2899078202,0.0
1272131.3088545147,0.0
1427596.709728452,0.0
4809149.4294748455,0.0
2467484.9318387485,0.0
12915689.984906914,0.0
680971.4928604135,0.0
4092613.784900322,0.0
969005.2727297208,0.0
9533669.906910617,0.0
206143.64700555557,0.0
1149298.422911773,0.0
926840.0022296774,0.0
976978.5573839637,0.0
10321325.873585736,0.0
130244.62981343786,0.0
758295.1487066388,0.0
9381707.903735977,0.0
558704.9941749148,0.0
483883.1069176408,0.0
4659194.961005864,0.0
467218.103553209,0.0
2481997.1723205997,0.0
0.0,0.0
0.0,0.0
3927654.1297000367,0.0
0.0,0.0
1773762.579594456,0.0
0.0,0.0
0.0,0.0
33106.09651844301,0.0
1370271.2151716074,0.0
58450.2023143586,0.0
206176.87313142233,0.0
464120.61058107344,0.0
3971916.0827663196,0.0
