volumen,hidrologia,tiempo,aportes,vertimiento,volumen_turbinado
45000.0,2.0,0,1078.5525408,0.0,3906.7466796734866
42171.80586112651,1.77,1,1341.4097964521739,0.0,3726.529890087601
39786.685767491086,1.73,2,1575.032256,0.0,4408.837258702448
36952.880764788635,1.75,3,1582.41384,0.0,5343.436330534484
33191.858274254155,1.78,4,1804.1607359999998,0.0,4635.843483190223
30360.17552706393,1.87,5,1906.5043872,0.0,4168.195262993144
28098.484651270788,1.87,6,2089.8307584,0.0,5526.527255436274
24661.788154234513,2.04,7,2091.7425312,0.0,3547.3070056105753
23206.223679823936,2.0,8,2084.914944,0.0,4040.8828056179786
21250.25581820596,2.04,9,2131.9526592,0.0,3598.7254187786
19783.483058627357,2.03,10,1959.371795895652,0.0,784.5876717617524
20958.267182761258,1.92,11,2170.4318496,0.0,3437.998332620605
19690.70069974065,2.06,12,2362.0089024,0.0,3594.581735495503
18458.127866645147,2.0,13,2409.0206112,0.0,1155.890621668688
19711.25785617646,1.96,14,3043.181232,0.0,361.913904853855
22392.525183322607,2.01,15,3189.2736959999997,124.84796149745969,2526.691761527189
22930.259156297958,1.88,16,3340.9484639999996,295.4169906531552,2733.0353398700086
23242.755289774792,1.81,17,4018.2503102608694,281.92596087417405,3101.0571428654303
23878.022496296056,2.04,18,3863.9928096,311.73792927218966,3061.4869445064764
24368.790432117392,1.93,19,3574.3379966608695,233.29490204789602,3055.0026318740856
24654.83089485628,1.89,20,3922.948687304348,360.75235362092167,1675.1310749396275
26541.896153600082,2.0,21,4136.695315200001,375.60959915488036,3361.8672994239687
26941.11457022123,2.08,22,4393.0579392,543.2125885945096,3049.8290946973366
27741.13082612938,2.22,23,4535.114046886957,581.4435671151401,3312.4367238340787
28382.36458206712,2.11,24,5013.393042365217,547.406164583112,2455.8024441930056
30392.54901565622,2.24,25,4827.5789184,269.3888533118287,4530.6362479034115
30420.102832840977,2.06,26,4973.911488000001,405.2011484181978,4138.5410452552
