action,fraccion_turbinado,reward
1.0,1.0,0.0
1.0,1.0,0.0
0.85,0.9516696931421756,-0.21660343170166016
0.92,0.972397817671299,-0.7584743118286132
0.97,0.9959029626846313,0.0
1.0,1.0,0.0
0.9,0.9830713373422623,-0.09162512540817261
0.79,0.9163967509567738,-0.9232738578319549
0.89,0.9651573621481657,-0.35690253019332885
1.0,1.0,0.0
0.04,0.16170197673141956,-16.72944779872894
0.81,0.934208234846592,-0.1059133130311966
1.0,1.0,0.0
0.41,0.4380311644822359,-6.44642350435257
0.0,0.07181665889918804,-12.82394583582878
0.49,0.7540398909151554,-2.4362996566295623
0.85,0.8869233394414187,-2.6968041491508483
1.0,1.0,-1.5279705452919006
1.0,1.0,-1.85067720990628
1.0,1.0,-2.3608343625068664
0.11,0.36016589801758525,-14.014195289947093
0.87,0.9704845294356346,-2.592297165393829
0.78,0.8949244445562363,-3.771432248353958
0.88,0.965664588212967,-2.3013387805223466
0.27,0.5467899860441685,-8.71487106859684
1.0,1.0,-2.1456738698668776
0.86,0.9777183514833451,-1.7929188311845063
1.0,1.0,-2.103792241513729
1.0,1.0,-1.428915159702301
1.0,1.0,-2.1035300329327584
1.0,1.0,-2.2420363622903823
1.0,1.0,-2.038004304096103
0.79,0.8734682033583522,-3.3435147339105606
0.5,0.6890745551511646,-4.526922146677971
0.78,0.9241043080389499,-1.1722139794379474
1.0,1.0,-1.631408131532371
0.81,0.8985612044483423,-1.5543606996536254
1.0,1.0,-0.8279607644677163
1.0,1.0,-0.6942360782623291
0.9,0.9767997455596924,-0.7819025222957134
1.0,1.0,-1.050972984135152
1.0,1.0,-1.4183003913611174
0.67,0.6908971923589706,-5.023159941509366
0.94,0.9878201955556869,-1.888401077389717
0.76,0.9297101184725761,-1.6226183742284774
0.33,0.4116332941874862,-12.904470972567797
1.0,1.0,-1.0618246722221374
0.28,0.3597708762437105,-9.47754340827465
1.0,1.0,-0.4545900225639343
1.0,1.0,-0.5777431774139404
0.0,0.08313540011644363,-19.275397827029227
0.79,0.9232435822486877,-1.0737915277481078
0.43,0.6400473759323358,-6.646943923830986
0.32,0.4437680285051465,-11.196439073551446
1.0,1.0,-1.0703664922714233
1.0,1.0,-2.3381159037351607
1.0,1.0,-2.253436240851879
0.64,0.8637796980515122,-2.8769471329450607
0.76,0.8720098772272468,-4.918908808231354
1.0,1.0,-1.64787660241127
0.87,0.9633291712403298,-2.8245532417297365
0.37,0.6204911289736629,-7.067981262803078
0.0,0.001791805401444435,-22.188346176147462
0.0,0.0,-21.237755756378174
0.87,0.9263373705744743,-0.8874576038122177
0.07,0.16848186735063791,-17.941833616793154
0.0,0.008303625360131264,-20.237905702590943
1.0,1.0,-0.7234349536895752
1.0,1.0,-1.8288942432403565
0.99,0.9984008157253266,-2.033714458346367
0.53,0.7641909221187234,-5.151381990611553
0.77,0.8882172898948193,-3.081660249233246
0.41,0.4579316186904907,-13.373583790063858
1.0,1.0,-1.0850481736660003
0.65,0.8133873005211353,-4.571209244728088
1.0,1.0,-1.7699148547649384
0.37,0.5689652784541249,-10.126346235349775
1.0,1.0,-0.6705056974291801
1.0,1.0,-1.425227820985019
1.0,1.0,-1.357152755111456
0.68,0.8929016852378845,-1.6106950033456087
0.43,0.6157142014801502,-10.939852074384689
1.0,1.0,-0.5558787676692009
0.87,0.9697348752617836,-0.9994331586360932
0.64,0.7011180093884468,-9.600576415732503
0.97,0.9920014595985412,-0.7456514477729798
1.0,1.0,-0.7788498848676682
0.76,0.8115060710161924,-4.865048861205578
0.87,0.9620440155267715,-0.7481545054912567
0.72,0.789369857572019,-2.8749689319729805
0.94,0.9869563114643097,-0.876385261118412
1.0,1.0,-1.0463154873251914
0.64,0.7259891268983484,-5.0586106985807415
1.0,1.0,-1.1412838351726533
0.5,0.7608002043887973,-3.011389039158821
0.97,0.990650689303875,-1.5111403608322143
1.0,1.0,-1.2423650905489922
0.97,0.998405499458313,-1.1214416652917862
0.86,0.9105685501545667,-1.9209615524113177
1.0,1.0,-0.6980939340591431
1.0,1.0,-0.6941242325305952
0.98,0.9997908419370651,-0.9088198161125183
0.67,0.7995681291073561,-4.373961871862411
