tiempo,volumen,hidrologia,volumen_turbinado,energia_hidro,energia_eolica,energia_solar,energia_biomasa,energia_renovable,energia_termico_bajo,energia_termico_alto,energia_exportada,costo_termico,ingreso_exportacion,demanda,demanda_residual,fraccion_turbinado,qt_max_fisico,energia_hidro_max_frac,energia_hidro_obj,aportes,vertimiento,TimeLimit.truncated,action,reward,reward_usd
10,19783.483058627357,2.03,784.5876717617524,29773.680116845462,88685.74475373808,9824.855155326186,16000.966926315783,114511.56683538007,68841.81545795765,32817.55218527482,0.0,16729447.20137821,0.0,245944.614595458,131433.04776007793,0.16170197673141956,1103.1541703463936,41862.70135204375,29773.680116845462,1959.371795895652,0.0,0.0,0.04,-16.72944779872894,-16729447.798728941
11,20958.267182761258,1.92,3437.998332620605,130465.80552030024,92209.90206906517,9278.029588771047,15795.58666754386,117283.51832538006,1059.1331338163952,0.0,0.0,105913.31338163951,0.0,248808.4569794967,131524.93865411665,0.934208234846592,6371.292538223461,241779.00417164975,130465.80552030024,2170.4318496,0.0,0.0,0.81,-0.1059133130311966,-105913.3130311966
12,19690.70069974065,2.06,3594.581735495503,136407.86185969686,92859.1884018825,9169.003791343186,18456.2665437649,120484.4587369906,0.0,0.0,0.0,0.0,0.0,256892.3205966874,136407.86185969686,1.0,6652.113250843851,252435.6412418827,136407.86185969686,2362.0089024,0.0,0.0,1.0,0.0,0.0
13,18458.127866645147,2.0,1155.890621668688,43863.95409750414,95290.5873260382,8530.480186850396,33050.70162164341,136871.76913453202,45888.9112147883,6191.775300198995,0.0,6446423.711538528,0.0,232816.40974702348,95944.64061249145,0.4380311644822359,2988.311680585499,113401.0121104771,43863.95409750414,2409.0206112,0.0,0.0,0.41,-6.44642350435257,-6446423.50435257
14,19711.25785617646,1.96,361.913904853855,13733.976738076008,99999.6553362952,7882.442787928107,33192.07652152284,141074.17464574613,73602.2303486326,18212.40934095575,0.0,12823945.837149985,0.0,246622.79107341048,105548.61642766435,0.07181665889918804,489.9435886091423,18592.471189092994,13733.976738076008,3043.181232,0.0,0.0,0.0,-12.82394583582878,-12823945.835828781
15,22392.525183322607,2.01,2526.691761527189,95883.37284558211,95416.92842546562,8111.724699108436,33118.516723145774,136647.16984771984,13515.70471381643,3141.988400030803,0.0,2294166.9913908844,0.0,249188.23580714918,112541.06595942932,0.7540398909151554,4934.960511883117,187272.8070530901,95883.37284558211,3189.2736959999997,124.84796149745969,0.0,0.49,-2.4362996566295623,-2436299.6566295624
16,22930.259156297958,1.88,2733.0353398700086,103713.73765611908,100470.00745115177,7424.9501238408375,23369.852297572706,131264.80987256533,13358.32197724051,3415.519270243661,0.0,2360487.97879715,0.0,251752.38877616858,120487.57890360325,0.8869233394414187,5522.32059781447,209562.05775295748,103713.73765611908,3340.9484639999996,295.4169906531552,0.0,0.85,-2.6968041491508483,-2696804.1491508484
17,23242.755289774792,1.81,3101.0571428654303,117679.49805840297,98434.05050166651,6757.079140633997,21224.44183295923,126415.57147525974,8086.11313777468,1328.0061238073488,0.0,1207013.1509196726,0.0,253509.18879524473,127093.617319985,1.0,6049.940645670777,229584.2822837536,117679.49805840297,4018.2503102608694,281.92596087417405,0.0,1.0,-1.5279705452919006,-1527970.5452919006
18,23878.022496296056,2.04,3061.4869445064764,116177.8807497163,98975.04493142635,6723.902763309068,25968.47947897232,131667.42717370772,10021.164501506559,1645.5470237312925,0.0,1495780.5572700438,0.0,259512.0194486619,127844.59227495416,1.0,5830.729929843459,221265.63292673288,116177.8807497163,3863.9928096,311.73792927218966,0.0,1.0,-1.85067720990628,-1850677.20990628
19,24368.790432117392,1.93,3055.0026318740856,115931.81283781437,98037.6221467726,6354.580659707241,34253.7348904101,138645.93769688995,12145.41676660318,2935.6640222402493,0.0,2095240.8833323927,0.0,269658.83132354775,131012.89362665782,1.0,5627.496882935547,213553.30714646567,115931.81283781437,3574.3379966608695,233.29490204789602,0.0,1.0,-2.3608343625068664,-2360834.3625068665
20,24654.83089485628,1.89,1675.1310749396275,63568.18820138805,97409.03202198535,5966.749727093678,35096.533702179564,138472.3154512586,51505.68679812022,28176.431592010093,0.0,13603498.157415051,0.0,281722.62204277696,143250.30659151837,0.36016589801758525,2262.7865892049786,85868.64987108136,63568.18820138805,3922.948687304348,360.75235362092167,0.0,0.11,-14.014195289947093,-14014195.289947093
21,26541.896153600082,2.0,3361.8672994239687,127576.77079423601,98814.04396127017,5886.590321169121,34915.35802257658,139615.99230501588,10998.48535772517,3549.458291878415,0.0,2164686.0233360417,0.0,281740.7067488555,142124.7144438396,0.9704845294356346,5602.520517160305,212605.49933372808,127576.77079423601,4136.695315200001,375.60959915488036,0.0,0.87,-2.592297165393829,-2592297.1653938293
22,26941.11457022123,2.08,3049.8290946973366,115735.48647873806,98220.28704362443,5700.530551199278,35017.87632551271,138938.69392033643,17010.49929862885,4839.881112160917,0.0,3153014.26351116,0.0,276524.56080986426,137585.86688952782,0.8949244445562363,4998.722778748848,189692.46951467625,115735.48647873806,4393.0579392,543.2125885945096,0.0,0.78,-3.771432248353958,-3771432.248353958
23,27741.13082612938,2.22,3312.4367238340787,125700.97004108343,98854.63909287954,5691.159953817383,35550.51846960261,140096.31751629955,10228.79021671983,2055.059523251773,0.0,1639396.8786475149,0.0,278081.1372973546,137984.81978105503,0.965664588212967,5583.97401711794,211901.6932717382,125700.97004108343,4535.114046886957,581.4435671151401,0.0,0.88,-2.3013387805223466,-2301338.7805223465
24,28382.36458206712,2.11,2455.8024441930056,93193.25173614612,104690.69883044781,5569.164730104099,36640.267961321035,146900.13152187294,34890.19359082036,15342.198228531917,0.0,8091678.827641612,0.0,290325.77507737133,143425.6435554984,0.5467899860441685,3558.6570156274956,135044.5838524914,93193.25173614612,5013.393042365217,547.406164583112,0.0,0.27,-8.71487106859684,-8714871.06859684
25,30392.54901565622,2.24,4530.6362479034115,171929.43405287524,104382.0148129037,5429.313546577172,36310.39745348857,146121.72581296944,8016.814570264321,3457.6928316204326,0.0,1838989.306512562,0.0,329525.6672677294,183403.94145475997,1.0,6239.680342583309,236784.55988772848,171929.43405287524,4827.5789184,269.3888533118287,0.0,1.0,-2.1456738698668776,-2145673.869866878
26,30420.102832840977,2.06,4138.5410452552,157050.13176561915,106816.05281652318,5738.184090648205,34600.92987232152,147155.16677949292,7768.418416776055,1849.2583706282148,0.0,1331619.3528660699,0.0,313822.97533251636,166667.80855302344,0.9777183514833451,6164.736426957034,233940.57412186734,157050.13176561915,4973.911488000001,405.2011484181978,0.0,0.86,-1.7929188311845063,-1792918.8311845064
27,30850.272127167584,2.15,3967.577684997425,150562.38210650688,105570.85574992996,5961.318488980014,35113.18863366362,146645.3628725736,9938.295660884749,2110.5464076727226,0.0,1626993.4883902916,0.0,309256.58704763796,162611.22417506436,1.0,6107.288786085244,231760.54027180266,150562.38210650688,4646.5828416,418.8155784755831,0.0,1.0,-2.103792241513729,-2103792.241513729
