volumen,hidrologia,tiempo,turbinado,energia_turbinada,energia_eolica,energia_solar,energia_biomasa,energia_renovable,energia_termico_bajo,energia_termico_alto,costo_termico,ingreso_exportacion,demanda,demanda_residual,aportes,vertimiento,costo_vertimiento,action,reward
45000.0,2,0,6822.144,258888.0,89498.12267082525,10847.177165782274,14205.472175438588,114550.7720120461,0.0,0.0,0.0,0.0,262804.7277197107,148253.95570766457,1180.872,0,0,1.0,0.0
39358.728,2,1,6822.144,258888.0,92140.0921373727,11271.621322419545,14859.639049122809,118271.35250891506,0.0,0.0,0.0,0.0,259686.40768585046,141415.0551769354,1030.45824,0,0,1.0,0.0
33567.04224,2,2,6822.144,258888.0,90659.82803868594,11002.30343492352,14518.368923684202,116180.50039729367,0.0,0.0,0.0,0.0,284769.89501704235,168589.3946197487,1219.63968,0,0,1.0,0.0
27964.537920000002,2,3,6822.144,258888.0,90554.62452678141,10732.967364716964,14566.054130701754,115853.64602220013,0.0,0.0,0.0,0.0,322835.61778332083,206981.97176112072,1171.61856,0,0,1.0,0.0
22314.01248,2,4,6822.144,258888.0,85031.2477209428,10716.475757573358,14637.513606140346,110385.2370846565,0.0,0.0,0.0,0.0,286307.0950337339,175921.85794907738,1262.52,0,0,1.0,0.0
16754.38848,2,5,6822.144,258888.0,87807.04803662449,10608.470938362425,14628.308548245614,113043.82752323252,0.0,0.0,0.0,0.0,271219.28310519754,158175.455581965,856.33632,0,0,1.0,0.0
10788.580800000002,1,6,6822.144,258888.0,84982.77061434375,10693.418996498953,14763.392324561399,110439.5819354041,0.0,0.0,0.0,0.0,321077.5259995257,210637.94406412158,727.63488,0,0,1.0,0.0
4694.071680000001,1,7,4694.071680000001,178131.51248226955,85986.18983175584,10551.754537368377,15309.599851754381,111847.5442208786,0.0,0.0,0.0,0.0,252554.57466723176,140707.03044635316,1136.66112,0,0,1.0,0.0
1136.66112,2,8,1136.66112,43134.22936170213,84086.47588357603,10205.677110637433,15594.137738596493,109886.29073280995,84000.0,28739.765304349596,17021929.59130488,0.0,265760.2853988617,155873.99466605173,844.7241600000001,0,0,1.0,-17.02192959130488
844.7241600000001,1,9,844.7241600000001,32055.750851063833,87138.50521512776,10242.880464036181,15899.251240350874,113280.63691951481,84000.0,20509.3562790047,14552806.88370141,0.0,249845.74404958336,136565.10713006853,5318.42976,0,0,1.0,-14.55280688370141
5318.42976,4,10,5318.42976,201824.77,88685.74475373808,9824.855155326186,16000.966926315783,114511.56683538006,0.0,0.0,0.0,0.0,245944.61459545797,131433.04776007793,4668.63264,0,0,1.0,0.0
4668.63264,4,11,4668.63264,177166.14702127659,92209.90206906515,9278.029588771047,15795.58666754386,117283.51832538006,0.0,0.0,0.0,0.0,248808.4569794967,131524.93865411665,2127.32352,0,0,1.0,0.0
2127.32352,3,12,2127.32352,80728.07191489362,92859.18840188251,9169.003791343186,18456.2665437649,120484.4587369906,55679.78994480324,0.0,5567978.994480324,0.0,256892.32059668744,136407.86185969686,2722.44672,0,0,1.0,-5.567978994480324
2722.44672,3,13,2722.44672,103311.91872340425,95290.58732603819,8530.480186850396,33050.70162164341,136871.76913453202,0.0,0.0,0.0,0.0,232816.40974702346,95944.64061249144,3412.76544,0,0,1.0,0.0
3412.76544,3,14,3412.76544,129508.2629787234,99999.6553362952,7882.442787928107,33192.07652152284,141074.17464574613,0.0,0.0,0.0,0.0,246622.79107341048,105548.61642766435,3624.8687999999997,0,0,1.0,0.0
3624.8687999999997,3,15,3624.8687999999997,137557.20106382977,95416.92842546562,8111.724699108436,33118.516723145774,136647.16984771984,0.0,0.0,0.0,0.0,249188.23580714918,112541.06595942934,9859.20768,0,0,1.0,0.0
9859.20768,4,16,6822.144,258888.0,100470.00745115177,7424.9501238408375,23369.852297572706,131264.80987256533,0.0,0.0,0.0,0.0,251752.38877616858,120487.57890360325,2361.56256,0,0,1.0,0.0
5398.62624,2,17,5398.62624,204868.08106382977,98434.05050166651,6757.079140633997,21224.44183295923,126415.57147525974,0.0,0.0,0.0,0.0,253509.18879524473,127093.61731998499,5023.347839999999,0,0,1.0,0.0
