volumen_discreto,hidrologia,tiempo,volumen,turbinado,energia_turbinada,energia_eolica,energia_solar,energia_biomasa,energia_renovable,energia_termico_bajo,energia_termico_alto,energia_exportada,costo_termico,ingreso_exportacion,demanda,demanda_residual,aportes,vertimiento,action,reward
6,1,61,19839.6387807692,3848.388923076923,146039.38461538462,88086.69888007017,10519.022792061409,36456.39532520748,135062.11699733906,0,0,1651.6898022109526,0,0.0,279449.81181051274,144387.69481317367,1510.74833,0,22,0.0
5,1,62,17501.998187692276,3498.5353846153844,132763.0769230769,89008.36410817421,10162.96838403011,34108.82822734285,133280.1607195472,0,0,2782.2263847758586,0,0.0,263261.01125784824,129980.85053830105,1670.75211,0,20,0.0
5,0,63,15674.21491307689,3323.6086153846154,126124.92307692308,89463.04536756715,9972.615210240887,33820.55439699758,133256.2149748056,0,0,88.48537091469916,0,0.0,259292.65268081398,126036.43770600838,1753.16794,0,19,0.0
4,0,64,14103.774237692274,2973.755076923077,112848.61538461539,94891.81835942433,9563.104142878781,33635.805140418444,138090.72764272155,0,0,2185.1790179817035,0,0.0,248754.16400935524,110663.43636663369,2070.37766,0,17,0.0
4,0,65,13200.396820769198,3498.5353846153844,132763.0769230769,94289.04168629115,9295.735461339134,35191.04599428708,138775.82314191735,0,0,1109.8768741278036,0,0.0,270429.02319086646,131653.2000489491,2092.66585,0,20,0.0
3,0,66,11794.527286153812,3323.6086153846154,126124.92307692308,92626.97625037367,8700.199318007642,35498.240488386815,136825.41605676812,0,0,3046.664354094639,0,0.0,259903.67477959656,123078.25872282844,2928.93596,0,19,0.0
3,0,67,11399.854630769198,3323.6086153846154,126124.92307692308,94836.57389358795,7972.95051741626,35494.42107808353,138303.94548908772,0,0,4446.352225281138,0,0.0,259982.51634072966,121678.57085164194,3951.60017,0,19,0.0
4,0,68,12027.846185384582,3498.5353846153844,132763.0769230769,93489.92244418705,7886.580423981958,30304.0610313741,131680.5638995431,0,0,1851.4688083847286,0,0.0,262592.1720142353,130911.60811469218,4487.25312,0,20,0.0
4,2,69,13016.563920769197,3498.5353846153844,132763.0769230769,99055.78688356072,7202.4720605141165,23179.4313984164,129437.69034249125,0,0,3947.5091656921286,0,0.0,258253.25809987602,128815.56775738478,4231.83819,0,20,0.0
4,1,70,13749.866726153812,3848.388923076923,146039.38461538462,100802.10191017616,6848.619997839734,24103.361806967885,131754.08371498378,0,0,5616.790534384723,0,0.0,272176.6777959837,140422.5940809999,4186.19946,0,22,0.0
4,1,71,14087.677263076888,3498.5353846153844,132763.0769230769,101712.86540940804,6592.239287264835,35807.85017270486,144112.95486937772,0,0,3782.1638352892187,0,0.0,273093.8679571654,128980.91308778769,4498.56551,0,20,0.0
