volumen,hidrologia,tiempo,volumen_turbinado,energia_hidro,energia_eolica,energia_solar,energia_biomasa,energia_renovable,energia_termico_bajo,energia_termico_alto,energia_exportada,costo_termico,ingreso_exportacion,demanda,demanda_residual,fraccion_turbinado,qt_max_fisico,energia_hidro_max_frac,energia_hidro_obj,aportes,vertimiento,TimeLimit.truncated,action,reward,terminal_observation
17190.28559185401,0,10,3463.48682896901,131433.04776007793,88685.74475373808,9824.855155326186,16000.966926315783,114511.56683538006,0.0,0.0,-0.0,0.0,-0.0,245944.61459545797,131433.04776007793,0.9612905383110046,6558.062478195191,248866.5848822594,131433.04776007793,1654.09119,0,False,0,-0.0,
15380.889952885002,2,11,3465.90831204826,131524.93865411665,92209.90206906515,9278.029588771047,15795.58666754386,117283.51832538006,0.0,0.0,-0.0,0.0,-0.0,248808.4569794967,131524.93865411665,1.0,6822.144,258888.0,131524.93865411665,1708.74407,0,False,1,-0.0,
13623.725710836741,2,12,3594.581735495503,136407.86185969686,92859.18840188251,9169.003791343186,18456.2665437649,120484.4587369906,0.0,0.0,-0.0,0.0,-0.0,256892.32059668744,136407.86185969686,1.0,6822.144,258888.0,136407.86185969686,2027.48419,0,False,1,-0.0,
12056.628165341237,1,13,2528.3062725451346,95944.64061249144,95290.58732603819,8530.480186850396,33050.70162164341,136871.76913453202,0.0,0.0,-0.0,0.0,-0.0,232816.40974702346,95944.64061249144,1.0,6822.144,258888.0,95944.64061249144,2035.57799,0,False,1,-0.0,
11563.899882796102,1,14,2781.3875508725464,105548.61642766435,99999.6553362952,7882.442787928107,33192.07652152284,141074.17464574613,0.0,0.0,-0.0,0.0,-0.0,246622.79107341048,105548.61642766435,1.0,6822.144,258888.0,105548.61642766435,2875.89763,0,False,1,-0.0,
11658.409961923555,1,15,2965.6506206881936,112541.06595942934,95416.92842546562,8111.724699108436,33118.516723145774,136647.16984771984,0.0,0.0,-0.0,0.0,-0.0,249188.23580714918,112541.06595942934,1.0,6822.144,258888.0,112541.06595942934,3911.05227,0,False,1,-0.0,
12603.811611235362,0,16,3175.0549020879434,120487.57890360325,100470.00745115177,7424.9501238408375,23369.852297572706,131264.80987256533,0.0,0.0,-0.0,0.0,-0.0,251752.38877616858,120487.57890360325,1.0,6822.144,258888.0,120487.57890360325,4443.95996,0,False,1,-0.0,
13872.71666914742,0,17,3349.1353745165156,127093.61731998499,98434.05050166651,6757.079140633997,21224.44183295923,126415.57147525974,0.0,0.0,-0.0,0.0,-0.0,253509.18879524473,127093.61731998499,1.0,6822.144,258888.0,127093.61731998499,4130.67356,0,False,1,-0.0,
14654.254854630904,0,18,3368.9248560034644,127844.59227495416,98975.04493142634,6723.902763309068,25968.47947897232,131667.42717370772,0.0,0.0,-0.0,0.0,-0.0,259512.0194486619,127844.59227495416,1.0,6822.144,258888.0,127844.59227495416,3886.75509,0,False,1,-0.0,
15172.08508862744,1,19,3452.4150450300585,131012.89362665781,98037.6221467726,6354.5806597072415,34253.7348904101,138645.93769688995,0.0,0.0,-0.0,0.0,-0.0,269658.83132354775,131012.89362665781,1.0,6822.144,258888.0,131012.89362665781,4213.50486,0,False,1,-0.0,
15933.17490359738,1,20,3774.8919208750017,143250.30659151837,97409.03202198535,5966.749727093678,35096.533702179564,138472.3154512586,0.0,0.0,-0.0,0.0,-0.0,281722.62204277696,143250.30659151837,1.0,6822.144,258888.0,143250.30659151837,4351.77792,0,False,1,-0.0,
16510.06090272238,2,21,3745.2306321449955,142124.7144438396,98814.04396127017,5886.59032116912,34915.35802257658,139615.99230501588,0.0,0.0,-0.0,0.0,-0.0,281740.7067488555,142124.7144438396,1.0,6822.144,258888.0,142124.7144438396,4726.68029,0,False,1,-0.0,
17491.510560577386,3,22,3625.6241938026906,137585.86688952782,98220.28704362443,5700.530551199278,35017.87632551271,138938.69392033643,0.0,0.0,-0.0,0.0,-0.0,276524.56080986426,137585.86688952782,1.0,6822.144,258888.0,137585.86688952782,4689.88216,0,False,1,-0.0,
18555.768526774697,2,23,3636.1372885587816,137984.81978105503,98854.63909287953,5691.159953817383,35550.51846960261,140096.31751629955,0.0,0.0,-0.0,0.0,-0.0,278081.1372973546,137984.81978105503,1.0,6822.144,258888.0,137984.81978105503,4268.44174,0,False,1,-0.0,
19188.072978215918,1,24,3779.512351396287,143425.6435554984,104690.69883044781,5569.164730104099,36640.267961321035,146900.13152187294,0.0,0.0,-0.0,0.0,-0.0,290325.77507737133,143425.6435554984,1.0,6822.144,258888.0,143425.6435554984,4837.45336,0,False,1,-0.0,
