1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1014.0999999999999,2653.9500000000003,313.95,647.2,3543.95,1148.3,3371.0,498.25,578.75,1350.55,1054.1499999999999,746.9000000000001,1013.9499999999999,841.0999999999999,535.5,278.7,440.55,596.0,624.2,1123.6000000000001,3026.45,2104.05,275.25,2383.15,1558.75,3844.85,1401.1,318.05,6686.950000000001,2103.3,2045.75,688.0,993.95,666.9,248.0,870.05,233.25,911.05,658.6999999999999,1272.55,3164.5,897.5,1502.65,331.95,497.90000000000003,3263.35,542.55,806.55,459.1,900.25,1047.8,904.3,1364.0,516.8,2081.35,5235.400000000001,354.84999999999997,5436.2,2227.6,345.6,1682.85,1176.7,2123.75,711.0,2176.6,1964.95,3390.2,4092.75,4166.15,1960.5,766.65,2027.45,1299.7,771.5,7685.1,2822.8,793.6500000000001,4385.55,613.0500000000001,717.0500000000001,833.0,7654.4,260.2,3183.9,4220.3,2041.5,3345.9,1707.7,1487.1,6389.8,628.9,864.9,1403.8,3548.4,6574.3,426.5,515.0,710.0,6071.5,779.5,994.5,1339.25,971.0,1532.5,3029.0,3420.15,1621.6,2934.5,4740.65,789.4000000000001,2585.05,485.04999999999995,508.6,1347.2,1002.3000000000001,3746.6400000000003
707.0,1139.3,260.85,487.7,4710.1,4262.45,3741.05,495.0,414.75,1091.45,734.85,2150.6,927.55,1544.05,419.54999999999995,984.3,484.20000000000005,552.05,879.25,806.3,1418.05,1904.35,421.90000000000003,1475.45,942.2,4032.2,1396.95,2032.0,2769.45,2452.55,1346.6000000000001,787.1500000000001,1695.45,860.15,298.5,873.8,213.15,721.25,645.4,1272.25,1989.75,536.3,1239.5,657.2,704.05,1411.8000000000002,637.75,2316.5,430.3,2188.0,2867.75,622.4,5157.45,3056.35,3230.45,2697.65,271.1,5680.65,948.85,1144.4,1255.5,2398.45,3939.45,955.9,1444.35,1359.45,3115.1,3467.8,1800.9499999999998,4056.0,531.45,1484.0,857.8,641.9,7720.0,919.4000000000001,2357.25,5953.099999999999,966.0999999999999,659.55,586.5,6379.0,531.5,1708.2,1878.95,2473.0,1732.9,1113.9,927.7,8985.7,659.1,643.6,3874.9,5729.5,5529.4,441.5,391.0,533.5,4205.5,475.5,681.0,2543.55,1368.6,714.0,5700.4,4877.05,1153.3,1925.5,4296.75,1286.2,3764.7000000000003,420.5,727.6999999999999,764.95,840.1999999999999,9295.615
498.1,712.15,496.8,1011.95,6596.25,8433.3,7126.05,331.9,388.35,2383.55,544.0500000000001,1721.1,1928.2,4106.5,490.25,2237.75,609.55,354.9,721.35,1847.8,884.5999999999999,1840.8999999999999,450.05,1215.8,508.05,3059.8,994.5999999999999,4339.05,2087.7,7701.95,1883.7,2130.2,3280.5499999999997,2131.95,578.05,957.1500000000001,213.15,647.9,558.6500000000001,1260.4,2475.4,335.45,1123.4,2339.9,594.7,956.75,736.7,2139.15,503.25,1128.9,4370.450000000001,522.5,4961.05,3039.35,4350.7,2170.2,335.15,7038.0,734.75,1347.6,1476.8500000000001,2242.9,2795.75,1486.25,1268.45,1352.0500000000002,2545.5,2215.6,3085.3,2333.3,502.95,1825.7,736.1,568.25,3982.4,2902.15,5743.2,2785.8500000000004,4381.15,1119.75,626.95,5047.9,387.1,2091.2,1291.0,1777.75,1292.5,1551.3,696.5,6569.6,1160.4,2570.2,5829.1,6989.1,3592.3,320.0,444.5,810.0,8626.0,394.0,544.5,2285.85,1272.0,547.0,4544.150000000001,3725.9,968.0500000000001,4053.0,2495.6,2095.55,3546.1000000000004,266.84999999999997,1271.9,2409.8500000000004,941.6,9213.64
397.55,2538.65,407.2,1386.95,4764.099999999999,4695.35,8139.8,501.45000000000005,770.6,3565.0,405.85,1700.7,4837.5,5271.8,279.1,2807.3999999999996,847.35,250.0,552.0500000000001,1843.3,547.4,1053.2,372.20000000000005,1483.25,317.15,2780.9,509.75,4187.6,1132.7,5754.1,1025.95,4637.8,1537.75,3935.45,508.8,533.6,200.70000000000002,1419.85,1120.75,1824.4,4230.85,969.35,827.95,3075.0,596.55,664.7,2362.25,2049.85,368.45,815.2,6874.65,545.85,2568.35,2644.55,4377.85,1875.15,299.95,7900.549999999999,807.3000000000001,872.8,3150.6000000000004,1679.15,1974.35,1055.2,3292.15,906.05,2468.0499999999997,1529.6999999999998,3080.55,793.8499999999999,318.3,1409.4499999999998,491.3,792.55,4508.6,3189.95,6647.1,7780.95,4650.549999999999,1062.35,1191.5500000000002,6219.0,301.6,4915.3,1116.05,1712.75,1508.8,6205.3,434.3,5425.7,2297.7,4451.7,3950.5,5670.0,3299.5,354.5,869.0,902.0,5893.0,378.5,530.0,1523.7,3953.0,765.0,2503.85,5536.75,1066.15,7843.0,1251.95,2813.75,1922.8500000000001,353.45,1160.45,2477.5499999999997,686.05,5783.5
358.85,5419.6,1193.4,2582.75,6055.200000000001,4010.3500000000004,9008.25,264.0,466.45,3086.75,472.6,1175.8,5778.8,4025.8,596.0999999999999,2902.15,2191.85,385.6,1065.5,2985.1499999999996,405.4,679.7,362.29999999999995,5578.400000000001,291.1,2900.85,358.15000000000003,2309.55,676.0,3894.8999999999996,855.4,8470.7,6945.5,1812.35,355.2,365.7,154.60000000000002,756.05,992.6500000000001,5589.65,2511.7,1299.4499999999998,1026.8000000000002,1648.6999999999998,516.45,1656.3,4689.0,5633.400000000001,454.25,2401.65,23424.75,732.4000000000001,2548.45,2239.55,2235.45,4564.6,491.2,5647.6,927.95,658.1500000000001,2229.95,878.8499999999999,1181.75,1999.7,3169.8500000000004,597.5500000000001,1231.0,1840.95,3879.3999999999996,567.25,535.1,2576.3,527.4499999999999,413.1,5237.150000000001,1667.8500000000001,6855.549999999999,15004.1,4784.25,543.65,3432.1,8190.599999999999,910.9,5330.6,1661.6,1364.25,1003.6,7602.8,357.3,9307.1,2656.1,1962.5,3971.8,5906.8,2553.8,486.0,7371.0,655.0,3929.5,385.0,369.5,844.5999999999999,2313.5,940.0,4511.6,7589.2,1171.55,8345.5,4477.7,2050.55,1707.4499999999998,360.0,4320.3,4130.35,545.2,4705.254999999999
409.75,6795.6,3462.5499999999997,1971.3999999999999,6231.549999999999,8688.0,9049.3,281.6,392.9,2034.65,2302.0,1309.15,3172.4,1796.9,4284.0,1972.5,5762.05,466.70000000000005,1010.5999999999999,2850.3,342.1,509.8,339.8,10247.15,484.55,1584.6999999999998,616.4000000000001,1753.9,932.9499999999999,2557.6,5242.8,8775.2,11225.45,1748.55,256.6,572.75,112.39999999999999,463.40000000000003,1186.6999999999998,8516.05,1219.35,1031.75,798.8,794.8499999999999,911.5999999999999,1705.75,5254.75,5862.2,473.29999999999995,2452.2,27093.05,604.25,3889.1499999999996,1340.0,1126.85,4149.55,2075.5499999999997,7952.35,615.1999999999999,535.1,1309.0,670.95,1950.75,1511.6499999999999,4718.2,567.05,1043.25,2655.1000000000004,5268.15,350.20000000000005,2229.15,4137.05,422.1,333.2,3295.75,2186.6,7341.650000000001,11751.349999999999,12569.550000000001,1081.1,2315.4,10793.05,5412.099999999999,8314.1,2964.75,949.95,632.8,5307.3,442.6,16137.400000000001,3748.8,2199.2,3751.7,10121.1,1636.7,720.5,5450.0,830.0,4022.0,1751.5,309.0,1142.8,2151.2,790.5,5422.65,4056.3,1220.8500000000001,19693.0,8067.55,1171.9499999999998,1443.9,380.3,1390.5500000000002,3673.4,542.0500000000001,6872.030000000001
661.5,4248.349999999999,4132.55,1515.75,5614.05,7242.2,10143.75,263.15,341.85,2433.05,3309.4,1267.3000000000002,1194.6,4159.7,5020.95,1043.8,4705.1,542.25,551.95,8060.099999999999,312.0,1227.45,474.20000000000005,10267.9,520.65,1710.1000000000001,419.4,1343.9,1345.6000000000001,6813.2,2537.5,8776.55,16850.9,5579.05,169.25,355.65000000000003,251.85000000000002,414.3,1048.4,6598.6,997.4,4933.900000000001,567.6,441.04999999999995,1505.1999999999998,2284.5,9251.95,2441.6000000000004,505.34999999999997,1118.55,13955.5,395.5,4591.5,828.0,766.5,5299.2,1550.3,6114.2,487.8,611.05,1065.25,527.1,3821.5,1823.4,7470.6,821.85,2992.75,2215.35,3290.95,367.15,997.4,4153.15,770.35,438.4,9100.050000000001,4246.599999999999,3260.1,9185.8,10806.3,4480.05,1167.15,13274.3,7197.299999999999,8392.5,1557.9,2085.45,1391.9,6606.0,614.1,16294.5,2174.6,2379.7,3772.7,15989.4,6662.3,1394.0,2205.5,769.0,5684.5,1233.5,337.0,2918.8,3896.9,613.0,3575.75,2344.05,1802.25,15172.5,6164.45,2078.25,1546.3,764.5999999999999,700.15,5210.1,585.75,8001.1
574.25,3974.25,4620.0,6090.4,4415.9,6048.75,10349.25,265.4,282.6,4072.8,4328.65,950.55,945.0,5331.35,3497.2,562.85,3576.2000000000003,423.05,468.75,5838.5,252.29999999999998,5741.1,2324.5,10362.7,313.8,2887.85,239.6,2837.1,1017.0,6870.4,1189.55,9074.6,18030.7,7454.4,357.55,302.6,158.1,540.0,2455.0,5712.6,836.1999999999999,2163.55,643.0,328.65,1710.95,3995.35,8673.35,1142.55,1378.9,837.4,12253.15,363.5,2840.4,574.25,1212.35,5139.6,1599.25,5310.299999999999,418.7,1488.0,3031.3999999999996,857.2,2910.45,1298.9,9304.4,856.1,2250.6,1397.85,3273.55,312.1,485.2,3282.2,2107.35,369.95,9579.75,5070.95,3184.65,3756.25,5642.3,4332.85,1190.05,10604.35,5393.85,10516.4,2217.05,4815.75,2451.2,2887.7,662.5,13267.6,1264.0,6028.9,9653.2,11912.1,9466.4,1711.0,2134.5,597.0,9428.0,1424.0,243.5,6656.5,3078.9,439.0,3040.9500000000003,6349.8,1644.1499999999999,9459.5,7063.65,2786.6000000000004,4009.25,530.15,815.65,6165.15,695.3499999999999,9777.055
474.05,2950.25,4406.549999999999,8789.4,3852.75,3525.55,13823.15,223.95,283.25,2959.85,1937.15,814.7,1054.25,5526.05,2577.2999999999997,370.7,8779.55,399.20000000000005,409.20000000000005,3456.0,455.04999999999995,11754.400000000001,3696.9,6433.55,304.5,4051.95,149.2,8301.95,2847.8999999999996,8689.300000000001,708.95,6182.65,19385.2,5816.849999999999,1176.7,1831.8,531.8,1546.2,3264.3500000000004,7165.15,1114.65,1117.3,572.45,315.20000000000005,1355.45,2342.2,7928.65,1957.2,855.85,1005.05,8705.95,305.9,1477.1000000000001,520.5,915.05,3741.55,2290.5499999999997,3037.8999999999996,353.40000000000003,916.35,2715.6000000000004,2595.25,4040.8,1023.8,8899.7,577.0,4990.05,1563.0,3810.0,281.65,4057.85,3633.35,3208.0499999999997,694.6999999999999,13667.05,4697.950000000001,6213.35,2058.4,4255.45,4689.950000000001,3110.25,8351.65,2467.85,7126.6,10594.0,4729.85,1933.6,1297.6,472.6,9100.9,1372.2,7479.2,8927.5,5880.5,7290.9,1227.0,5904.5,417.0,11817.5,1650.0,316.5,3350.75,1737.9,557.0,5005.9,4481.35,1902.9,4758.5,4865.849999999999,5038.0,4221.15,570.65,842.3,7284.35,2050.0,17715.815000000002
358.5,1482.1,4686.549999999999,12050.7,2784.25,5348.05,10759.5,225.39999999999998,204.10000000000002,4916.65,1453.5500000000002,909.45,2186.0,6706.8,2784.0,325.25,9337.6,714.5,576.5500000000001,4468.5,795.6500000000001,8503.05,1893.1000000000001,4469.85,345.65,1979.65,199.8,13153.4,2596.0,3540.2,2872.85,4529.1,16223.0,7960.1,361.3,1026.2,345.0,2255.55,9426.349999999999,4094.85,903.4000000000001,961.65,737.4,1620.75,1046.4,1390.3,7167.049999999999,3711.6000000000004,540.0,1635.75,7083.200000000001,204.1,2376.8999999999996,702.6999999999999,1710.1,1838.55,2589.85,1740.6,555.0,663.8,2259.3999999999996,6008.6,3576.25,925.8,3938.7,2461.7000000000003,6031.900000000001,1203.9,2182.05,831.55,4361.15,3683.15,5539.15,4221.85,12288.8,7303.25,6941.849999999999,6136.35,6663.3,3123.15,2066.1,3830.5,885.9000000000001,8475.8,10564.6,3340.85,2415.8,740.9,1026.0,6415.6,853.6,9786.5,5283.6,5847.4,7262.4,1597.0,14747.0,339.5,5290.0,1057.5,339.0,2991.5499999999997,2147.8,465.5,3297.05,2541.2,1310.8,3942.0,8204.9,3273.5499999999997,7169.3,1030.75,721.3,4613.55,2131.3,19707.415
