Semana,0-0,0-1,0-2,0-3,0-4,1-0,1-1,1-2,1-3,1-4,2-0,2-1,2-2,2-3,2-4,3-0,3-1,3-2,3-3,3-4,4-0,4-1,4-2,4-3,4-4
0,0.7391304347826086,0.17391304347826086,0.0,0.043478260869565216,0.043478260869565216,0.21739130434782608,0.4782608695652174,0.21739130434782608,0.08695652173913043,0.0,0.045454545454545456,0.36363636363636365,0.4090909090909091,0.13636363636363635,0.045454545454545456,0.0,0.0,0.34782608695652173,0.4782608695652174,0.17391304347826086,0.0,0.0,0.0,0.2608695652173913,0.7391304347826086
1,0.6086956521739131,0.30434782608695654,0.0,0.08695652173913043,0.0,0.30434782608695654,0.391304347826087,0.21739130434782608,0.08695652173913043,0.0,0.09090909090909091,0.3181818181818182,0.36363636363636365,0.09090909090909091,0.13636363636363635,0.0,0.0,0.391304347826087,0.43478260869565216,0.17391304347826086,0.0,0.0,0.0,0.30434782608695654,0.6956521739130435
2,0.6521739130434783,0.2608695652173913,0.043478260869565216,0.0,0.043478260869565216,0.34782608695652173,0.391304347826087,0.13043478260869565,0.13043478260869565,0.0,0.0,0.2727272727272727,0.45454545454545453,0.2727272727272727,0.0,0.0,0.08695652173913043,0.34782608695652173,0.2608695652173913,0.30434782608695654,0.0,0.0,0.0,0.34782608695652173,0.6521739130434783
3,0.6521739130434783,0.21739130434782608,0.043478260869565216,0.08695652173913043,0.0,0.30434782608695654,0.4782608695652174,0.08695652173913043,0.08695652173913043,0.043478260869565216,0.045454545454545456,0.2727272727272727,0.5,0.18181818181818182,0.0,0.0,0.043478260869565216,0.30434782608695654,0.391304347826087,0.2608695652173913,0.0,0.0,0.043478260869565216,0.2608695652173913,0.6956521739130435
4,0.5652173913043478,0.21739130434782608,0.21739130434782608,0.0,0.0,0.34782608695652173,0.34782608695652173,0.08695652173913043,0.13043478260869565,0.08695652173913043,0.045454545454545456,0.36363636363636365,0.3181818181818182,0.22727272727272727,0.045454545454545456,0.043478260869565216,0.08695652173913043,0.30434782608695654,0.34782608695652173,0.21739130434782608,0.0,0.0,0.043478260869565216,0.30434782608695654,0.6521739130434783
5,0.6956521739130435,0.21739130434782608,0.0,0.08695652173913043,0.0,0.2608695652173913,0.34782608695652173,0.2608695652173913,0.13043478260869565,0.0,0.045454545454545456,0.45454545454545453,0.2727272727272727,0.13636363636363635,0.09090909090909091,0.0,0.0,0.391304347826087,0.30434782608695654,0.30434782608695654,0.0,0.0,0.043478260869565216,0.34782608695652173,0.6086956521739131
6,0.6521739130434783,0.30434782608695654,0.043478260869565216,0.0,0.0,0.30434782608695654,0.391304347826087,0.2608695652173913,0.043478260869565216,0.0,0.045454545454545456,0.22727272727272727,0.45454545454545453,0.22727272727272727,0.045454545454545456,0.0,0.08695652173913043,0.21739130434782608,0.6086956521739131,0.08695652173913043,0.0,0.0,0.0,0.13043478260869565,0.8695652173913043
7,0.6956521739130435,0.13043478260869565,0.17391304347826086,0.0,0.0,0.2608695652173913,0.4782608695652174,0.21739130434782608,0.043478260869565216,0.0,0.045454545454545456,0.22727272727272727,0.3181818181818182,0.2727272727272727,0.13636363636363635,0.0,0.17391304347826086,0.17391304347826086,0.4782608695652174,0.17391304347826086,0.0,0.0,0.08695652173913043,0.21739130434782608,0.6956521739130435
8,0.6956521739130435,0.21739130434782608,0.08695652173913043,0.0,0.0,0.2608695652173913,0.34782608695652173,0.30434782608695654,0.08695652173913043,0.0,0.045454545454545456,0.36363636363636365,0.22727272727272727,0.2727272727272727,0.09090909090909091,0.0,0.08695652173913043,0.34782608695652173,0.30434782608695654,0.2608695652173913,0.0,0.0,0.0,0.34782608695652173,0.6521739130434783
9,0.782608695652174,0.13043478260869565,0.043478260869565216,0.043478260869565216,0.0,0.21739130434782608,0.6521739130434783,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.0,0.22727272727272727,0.45454545454545453,0.09090909090909091,0.22727272727272727,0.0,0.0,0.391304347826087,0.5217391304347826,0.08695652173913043,0.0,0.0,0.043478260869565216,0.30434782608695654,0.6521739130434783
10,0.6956521739130435,0.13043478260869565,0.08695652173913043,0.08695652173913043,0.0,0.2608695652173913,0.391304347826087,0.13043478260869565,0.21739130434782608,0.0,0.045454545454545456,0.4090909090909091,0.22727272727272727,0.18181818181818182,0.13636363636363635,0.0,0.08695652173913043,0.4782608695652174,0.21739130434782608,0.21739130434782608,0.0,0.0,0.043478260869565216,0.30434782608695654,0.6521739130434783
11,0.7391304347826086,0.2608695652173913,0.0,0.0,0.0,0.21739130434782608,0.391304347826087,0.13043478260869565,0.2608695652173913,0.0,0.045454545454545456,0.3181818181818182,0.5,0.09090909090909091,0.045454545454545456,0.0,0.043478260869565216,0.34782608695652173,0.34782608695652173,0.2608695652173913,0.0,0.0,0.0,0.30434782608695654,0.6956521739130435
12,0.782608695652174,0.17391304347826086,0.043478260869565216,0.0,0.0,0.21739130434782608,0.5217391304347826,0.13043478260869565,0.13043478260869565,0.0,0.0,0.2727272727272727,0.4090909090909091,0.18181818181818182,0.13636363636363635,0.0,0.043478260869565216,0.34782608695652173,0.4782608695652174,0.13043478260869565,0.0,0.0,0.043478260869565216,0.21739130434782608,0.7391304347826086
13,0.8260869565217391,0.13043478260869565,0.043478260869565216,0.0,0.0,0.17391304347826086,0.5217391304347826,0.2608695652173913,0.0,0.043478260869565216,0.0,0.36363636363636365,0.13636363636363635,0.3181818181818182,0.18181818181818182,0.0,0.0,0.43478260869565216,0.5217391304347826,0.043478260869565216,0.0,0.0,0.08695652173913043,0.17391304347826086,0.7391304347826086
