1909;1910;1911;1912;1913;1914;1915;1916;1917;1918;1919;1920;1921;1922;1923;1924;1925;1926;1927;1928;1929;1930;1931;1932;1933;1934;1935;1936;1937;1938;1939;1940;1941;1942;1943;1944;1945;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;
1014.1;2653.95;313.95;647.2;3543.95;1148.3;3371;498.25;578.75;1350.55;1054.15;746.9;1013.95;841.1;535.5;278.7;440.55;596;624.2;1123.6;3026.45;2104.05;275.25;2383.15;1558.75;3844.85;1401.1;318.05;6686.95;2103.3;2045.75;688;993.95;666.9;248;870.05;233.25;911.05;658.7;1272.55;3164.5;897.5;1502.65;331.95;497.9;3263.35;542.55;806.55;459.1;900.25;1047.8;904.3;1364;516.8;2081.35;5235.4;354.85;5436.2;2227.6;345.6;1682.85;1176.7;2123.75;711;2176.6;1964.95;3390.2;4092.75;4166.15;1960.5;766.65;2027.45;1299.7;771.5;7685.1;2822.8;793.65;4385.55;613.05;717.05;833;7654.4;260.2;3183.9;4220.3;2041.5;3345.9;1707.7;1487.1;6389.8;628.9;864.9;1403.8;3548.4;6574.3;426.5;515;710;6071.5;779.5;994.5;1339.25;971;1532.5;3029;3420.15;1621.6;2934.5;4740.65;789.4;2585.05;485.05;508.6;1347.2;1849.280263
707;1139.3;260.85;487.7;4710.1;4262.45;3741.05;495;414.75;1091.45;734.85;2150.6;927.55;1544.05;419.55;984.3;484.2;552.05;879.25;806.3;1418.05;1904.35;421.9;1475.45;942.2;4032.2;1396.95;2032;2769.45;2452.55;1346.6;787.15;1695.45;860.15;298.5;873.8;213.15;721.25;645.4;1272.25;1989.75;536.3;1239.5;657.2;704.05;1411.8;637.75;2316.5;430.3;2188;2867.75;622.4;5157.45;3056.35;3230.45;2697.65;271.1;5680.65;948.85;1144.4;1255.5;2398.45;3939.45;955.9;1444.35;1359.45;3115.1;3467.8;1800.95;4056;531.45;1484;857.8;641.9;7720;919.4;2357.25;5953.1;966.1;659.55;586.5;6379;531.5;1708.2;1878.95;2473;1732.9;1113.9;927.7;8985.7;659.1;643.6;3874.9;5729.5;5529.4;441.5;391;533.5;4205.5;475.5;681;2543.55;1368.6;714;5700.4;4877.05;1153.3;1925.5;4296.75;1286.2;3764.7;420.5;727.7;764.95;1903.928947
498.1;712.15;496.8;1011.95;6596.25;8433.3;7126.05;331.9;388.35;2383.55;544.05;1721.1;1928.2;4106.5;490.25;2237.75;609.55;354.9;721.35;1847.8;884.6;1840.9;450.05;1215.8;508.05;3059.8;994.6;4339.05;2087.7;7701.95;1883.7;2130.2;3280.55;2131.95;578.05;957.15;213.15;647.9;558.65;1260.4;2475.4;335.45;1123.4;2339.9;594.7;956.75;736.7;2139.15;503.25;1128.9;4370.45;522.5;4961.05;3039.35;4350.7;2170.2;335.15;7038;734.75;1347.6;1476.85;2242.9;2795.75;1486.25;1268.45;1352.05;2545.5;2215.6;3085.3;2333.3;502.95;1825.7;736.1;568.25;3982.4;2902.15;5743.2;2785.85;4381.15;1119.75;626.95;5047.9;387.1;2091.2;1291;1777.75;1292.5;1551.3;696.5;6569.6;1160.4;2570.2;5829.1;6989.1;3592.3;320;444.5;810;8626;394;544.5;2285.85;1272;547;4544.15;3725.9;968.05;4053;2495.6;2095.55;3546.1;266.85;1271.9;2409.85;2174.653947
397.55;2538.65;407.2;1386.95;4764.1;4695.35;8139.8;501.45;770.6;3565;405.85;1700.7;4837.5;5271.8;279.1;2807.4;847.35;250;552.05;1843.3;547.4;1053.2;372.2;1483.25;317.15;2780.9;509.75;4187.6;1132.7;5754.1;1025.95;4637.8;1537.75;3935.45;508.8;533.6;200.7;1419.85;1120.75;1824.4;4230.85;969.35;827.95;3075;596.55;664.7;2362.25;2049.85;368.45;815.2;6874.65;545.85;2568.35;2644.55;4377.85;1875.15;299.95;7900.55;807.3;872.8;3150.6;1679.15;1974.35;1055.2;3292.15;906.05;2468.05;1529.7;3080.55;793.85;318.3;1409.45;491.3;792.55;4508.6;3189.95;6647.1;7780.95;4650.55;1062.35;1191.55;6219;301.6;4915.3;1116.05;1712.75;1508.8;6205.3;434.3;5425.7;2297.7;4451.7;3950.5;5670;3299.5;354.5;869;902;5893;378.5;530;1523.7;3953;765;2503.85;5536.75;1066.15;7843;1251.95;2813.75;1922.85;353.45;1160.45;2477.55;2343.430702
358.85;5419.6;1193.4;2582.75;6055.2;4010.35;9008.25;264;466.45;3086.75;472.6;1175.8;5778.8;4025.8;596.1;2902.15;2191.85;385.6;1065.5;2985.15;405.4;679.7;362.3;5578.4;291.1;2900.85;358.15;2309.55;676;3894.9;855.4;8470.7;6945.5;1812.35;355.2;365.7;154.6;756.05;992.65;5589.65;2511.7;1299.45;1026.8;1648.7;516.45;1656.3;4689;5633.4;454.25;2401.65;23424.75;732.4;2548.45;2239.55;2235.45;4564.6;491.2;5647.6;927.95;658.15;2229.95;878.85;1181.75;1999.7;3169.85;597.55;1231;1840.95;3879.4;567.25;535.1;2576.3;527.45;413.1;5237.15;1667.85;6855.55;15004.1;4784.25;543.65;3432.1;8190.6;910.9;5330.6;1661.6;1364.25;1003.6;7602.8;357.3;9307.1;2656.1;1962.5;3971.8;5906.8;2553.8;486;7371;655;3929.5;385;369.5;844.6;2313.5;940;4511.6;7589.2;1171.55;8345.5;4477.7;2050.55;1707.45;360;4320.3;4130.35;2903.314035
409.75;6795.6;3462.55;1971.4;6231.55;8688;9049.3;281.6;392.9;2034.65;2302;1309.15;3172.4;1796.9;4284;1972.5;5762.05;466.7;1010.6;2850.3;342.1;509.8;339.8;10247.15;484.55;1584.7;616.4;1753.9;932.95;2557.6;5242.8;8775.2;11225.45;1748.55;256.6;572.75;112.4;463.4;1186.7;8516.05;1219.35;1031.75;798.8;794.85;911.6;1705.75;5254.75;5862.2;473.3;2452.2;27093.05;604.25;3889.15;1340;1126.85;4149.55;2075.55;7952.35;615.2;535.1;1309;670.95;1950.75;1511.65;4718.2;567.05;1043.25;2655.1;5268.15;350.2;2229.15;4137.05;422.1;333.2;3295.75;2186.6;7341.65;11751.35;12569.55;1081.1;2315.4;10793.05;5412.1;8314.1;2964.75;949.95;632.8;5307.3;442.6;16137.4;3748.8;2199.2;3751.7;10121.1;1636.7;720.5;5450;830;4022;1751.5;309;1142.8;2151.2;790.5;5422.65;4056.3;1220.85;19693;8067.55;1171.95;1443.9;380.3;1390.55;3673.4;3468.465351
661.5;4248.35;4132.55;1515.75;5614.05;7242.2;10143.75;263.15;341.85;2433.05;3309.4;1267.3;1194.6;4159.7;5020.95;1043.8;4705.1;542.25;551.95;8060.1;312;1227.45;474.2;10267.9;520.65;1710.1;419.4;1343.9;1345.6;6813.2;2537.5;8776.55;16850.9;5579.05;169.25;355.65;251.85;414.3;1048.4;6598.6;997.4;4933.9;567.6;441.05;1505.2;2284.5;9251.95;2441.6;505.35;1118.55;13955.5;395.5;4591.5;828;766.5;5299.2;1550.3;6114.2;487.8;611.05;1065.25;527.1;3821.5;1823.4;7470.6;821.85;2992.75;2215.35;3290.95;367.15;997.4;4153.15;770.35;438.4;9100.05;4246.6;3260.1;9185.8;10806.3;4480.05;1167.15;13274.3;7197.3;8392.5;1557.9;2085.45;1391.9;6606;614.1;16294.5;2174.6;2379.7;3772.7;15989.4;6662.3;1394;2205.5;769;5684.5;1233.5;337;2918.8;3896.9;613;3575.75;2344.05;1802.25;15172.5;6164.45;2078.25;1546.3;764.6;700.15;5210.1;3613.324123
574.25;3974.25;4620;6090.4;4415.9;6048.75;10349.25;265.4;282.6;4072.8;4328.65;950.55;945;5331.35;3497.2;562.85;3576.2;423.05;468.75;5838.5;252.3;5741.1;2324.5;10362.7;313.8;2887.85;239.6;2837.1;1017;6870.4;1189.55;9074.6;18030.7;7454.4;357.55;302.6;158.1;540;2455;5712.6;836.2;2163.55;643;328.65;1710.95;3995.35;8673.35;1142.55;1378.9;837.4;12253.15;363.5;2840.4;574.25;1212.35;5139.6;1599.25;5310.3;418.7;1488;3031.4;857.2;2910.45;1298.9;9304.4;856.1;2250.6;1397.85;3273.55;312.1;485.2;3282.2;2107.35;369.95;9579.75;5070.95;3184.65;3756.25;5642.3;4332.85;1190.05;10604.35;5393.85;10516.4;2217.05;4815.75;2451.2;2887.7;662.5;13267.6;1264;6028.9;9653.2;11912.1;9466.4;1711;2134.5;597;9428;1424;243.5;6656.5;3078.9;439;3040.95;6349.8;1644.15;9459.5;7063.65;2786.6;4009.25;530.15;815.65;6165.15;3691.744298
474.05;2950.25;4406.55;8789.4;3852.75;3525.55;13823.15;223.95;283.25;2959.85;1937.15;814.7;1054.25;5526.05;2577.3;370.7;8779.55;399.2;409.2;3456;455.05;11754.4;3696.9;6433.55;304.5;4051.95;149.2;8301.95;2847.9;8689.3;708.95;6182.65;19385.2;5816.85;1176.7;1831.8;531.8;1546.2;3264.35;7165.15;1114.65;1117.3;572.45;315.2;1355.45;2342.2;7928.65;1957.2;855.85;1005.05;8705.95;305.9;1477.1;520.5;915.05;3741.55;2290.55;3037.9;353.4;916.35;2715.6;2595.25;4040.8;1023.8;8899.7;577;4990.05;1563;3810;281.65;4057.85;3633.35;3208.05;694.7;13667.05;4697.95;6213.35;2058.4;4255.45;4689.95;3110.25;8351.65;2467.85;7126.6;10594;4729.85;1933.6;1297.6;472.6;9100.9;1372.2;7479.2;8927.5;5880.5;7290.9;1227;5904.5;417;11817.5;1650;316.5;3350.75;1737.9;557;5005.9;4481.35;1902.9;4758.5;4865.85;5038;4221.15;570.65;842.3;7284.35;3732.392105
358.5;1482.1;4686.55;12050.7;2784.25;5348.05;10759.5;225.4;204.1;4916.65;1453.55;909.45;2186;6706.8;2784;325.25;9337.6;714.5;576.55;4468.5;795.65;8503.05;1893.1;4469.85;345.65;1979.65;199.8;13153.4;2596;3540.2;2872.85;4529.1;16223;7960.1;361.3;1026.2;345;2255.55;9426.35;4094.85;903.4;961.65;737.4;1620.75;1046.4;1390.3;7167.05;3711.6;540;1635.75;7083.2;204.1;2376.9;702.7;1710.1;1838.55;2589.85;1740.6;555;663.8;2259.4;6008.6;3576.25;925.8;3938.7;2461.7;6031.9;1203.9;2182.05;831.55;4361.15;3683.15;5539.15;4221.85;12288.8;7303.25;6941.85;6136.35;6663.3;3123.15;2066.1;3830.5;885.9;8475.8;10564.6;3340.85;2415.8;740.9;1026;6415.6;853.6;9786.5;5283.6;5847.4;7262.4;1597;14747;339.5;5290;1057.5;339;2991.55;2147.8;465.5;3297.05;2541.2;1310.8;3942;8204.9;3273.55;7169.3;1030.75;721.3;4613.55;3698.108772
293.25;1910.05;7637.25;10817.1;1698.4;5413.85;7971.05;510.9;224.3;6902.1;3833.7;1045.1;2053.3;4311.85;4795.4;2920.2;12433.4;2942.25;525;4137.9;746.2;5423.25;3944.85;5210.3;385.6;1475.6;160.4;12169.8;1807.6;2422.95;6565.2;5588.1;7587.25;9685.6;346.85;810.65;239.85;3418.1;4229.3;4499.55;855.65;2346.6;860.5;5261.6;722.95;2867.05;7542;1781.2;726.75;1371;7094;177;6016.65;3469.6;1231.8;1595.65;2356.1;1062.9;1716.45;839.8;3556.3;3864.1;3275.3;1934.6;5004.55;6765.15;2422.75;1349;1828.45;803.45;3654.85;3209.55;4929.85;3343.7;11056.85;6769.7;5909.35;13313.9;8763.8;2444.05;991.3;2450.5;1745.2;6877.3;7405.8;3005.35;1005.4;548.3;2543.9;10203.5;654;6362.9;4242.3;6326.4;12679.5;1853.5;9867;313;5979;861.5;639.5;5876.85;4030.2;772;2518.4;4596.45;1468.25;3529.5;10490.65;1887.45;7293.45;3158.1;1560.05;2702.65;3856.377193
889.2;2077.6;4244.95;10877;1719.5;4235.05;8233.8;4142.5;182.65;6617.15;4328.6;2078.5;1179.8;5184;5037;2929.5;11197.65;3428.5;542.75;5874;602.6;4762.95;5179.5;8348.2;586.7;1465.75;246.6;11113.45;1047.55;5184.45;5892.7;8850.45;6396.05;7781.05;2993.45;699.75;165.95;2798.7;4093.5;3069;752.3;5954.7;706;5595.5;4963.85;3881.3;6598.4;1251.8;1763.75;1623.8;6110.75;569.8;3956.95;1756.4;691.3;1456.5;1135.05;1197.1;6478.65;1017.4;3608.6;3275.35;2691.85;2624.55;6066.6;6819.3;2335.75;3028.65;1799.95;553.8;1874.55;2651.05;2191.25;1701.55;9390.7;13703.15;7247.85;10909.8;5921;2974.4;696.95;2594;3792.3;6888.5;3280.65;4573.3;646.9;452.7;2326.8;7611.9;2292.7;3686.7;6578.8;7219.7;7240.3;2129;7883.5;1207.5;4943;1697.5;534.5;5333.85;2727.5;494.5;2208.45;5336.95;3570.65;4148.5;12641.85;2175;5902.4;2072.3;1895.85;4443.1;3915.238158
2018.45;1235.7;1360.95;7939.3;1792.45;6924.1;8095;6294.85;203.8;6699;6297.1;4405.75;1504.25;3864.95;3877.05;3732.85;7205.05;5111.9;870.95;7406.3;658.3;5106.6;4486.7;9260.1;683.5;3273.05;530.75;10389.15;617.9;3526;2203.6;5807.75;4625.15;6799.15;4458.9;744.35;104.85;2150.9;2277.95;3097.7;715.2;6452.65;1394.4;6941.2;2496.65;7716.1;3956.15;1185.8;1751.6;1933.9;4467.8;555.2;2274;1181;696.4;2283.1;1640.75;877.55;6235.65;897.1;2603.75;3985.2;1917.15;3547.7;7947.8;3336.5;3949.45;5553.25;1647.8;321.05;1207.6;2424.9;1879.8;2673.1;5803.85;12477.5;4840.95;8816.7;6090.3;1280.7;573.2;9275.3;2585.5;10528.3;5109.2;5696.55;517.7;583.7;1870.2;4792.2;3095.9;3689.8;12072.3;6614.7;5796.6;1407.5;9578;2539;1875.5;2523.5;1344;2640.9;1575.1;290.5;2047.65;5147.75;2095.05;2724.5;15216.8;3237.8;6267.45;2786.65;4828.8;6654.15;3887.553509
2001.65;1877;1008.3;4912.4;1698.3;6071.35;5911.65;7957.35;250.45;5980.9;4422.6;4252.5;1488.9;3793.65;6922.65;3453.55;2114.6;5358.35;4129.8;8310.25;3033;4937.45;5337.5;5273.7;714;4895.15;751.75;14169.35;461.7;2201.25;1473.4;5609.8;4917.2;4843.25;3872.35;519.4;129.3;1306.6;4745.15;3824;1735.6;5552.55;1154.5;5209.45;1054.9;7654.8;5367.3;1291.9;3469.25;2040.2;3179.1;1043.8;4895.55;890.35;2481.25;1526;2322.7;2368.25;2923.15;1413.95;5145.2;4880.2;4650.15;9555.85;7715.5;4523.15;3070.45;3588.45;1295.5;566;1393.15;6116.45;2249.8;5889.6;3423.75;10283.45;2477.5;4952.35;4260.25;1303.05;1114.25;14703.15;2635.5;19455.9;6581.4;5178.2;2185.3;645;2250.7;9842.1;3074.1;8915.6;7327.1;6955.2;3652.6;1056;9542.5;1687.5;1971.5;2953;648;2747.55;1761.9;815.5;2189.55;5286.5;2617.85;1628;15577.95;2302.3;4546.85;4734.55;2894.65;4998.05;4072.99693
1854.05;1750.25;2994.7;6860.9;2009.5;6855.9;5281.3;9277.9;324.25;6091.6;2835.15;3913.8;1439.5;6804.7;10178.8;3373.4;1245.35;4928.15;3968.05;7193.25;2218.65;4423.85;4683.95;4689.85;1263.75;5363.35;1591.6;12479.05;721.55;2215.85;1690.65;7858.4;5800.45;5550.35;3149.55;432.55;176.5;2357.65;6869.25;4541.4;5438.9;7122.9;2717.05;3133.4;2162.1;13092.65;6452.75;1302.8;2435.45;3200.9;3478.55;1504.55;4594.65;714.7;2944.6;967.05;2004.35;5259.5;10306.55;1697.75;6942.15;9045.75;2522.55;13609.35;7253.8;4277.8;2252.65;1909.1;1882;2378.4;650;5316.45;1985.05;8981.9;5860;9075.2;2834.4;4215.5;3113.4;1865.05;792.1;9667.8;5164.25;12782;5462.35;5975.75;2829.8;875.6;4056.2;9063.4;2920;4908.3;4760.3;7361.6;4543.3;1401;10289;1782;3329;2526;589;3139.55;4405.6;2460.5;1169.6;3653.05;4547.45;1316;10974.75;1957.35;11187.9;4276.15;3093.1;3510.4;4390.618421
