1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1979.3999999999999,5227.0,605.0,1243.4,6389.9,1933.9,5384.5,802.8000000000001,1074.8,2429.8,2027.1999999999998,1348.1000000000001,1840.0,1649.8999999999999,844.0,522.5,790.6,866.8,1218.9,2157.5,5268.4,3487.8,522.0,4615.0,2886.1,6337.2,2295.9,533.1,9428.8,2937.8,4002.2999999999997,1332.7,1481.4,1212.9,463.8,1398.1,438.5,1761.6,1237.0,2388.3999999999996,5481.4,1784.0,2819.8,547.9,868.0,6062.299999999999,983.5,1444.4,845.6,1735.3,1981.2,1426.1,2336.7,994.6,3481.7,6154.5,665.0,9249.2,4432.2,546.3,3321.1,2159.6,3955.4,1372.3,3956.1,3300.6000000000004,6690.8,7719.3,6648.4,2430.3999999999996,1467.6999999999998,3716.0,2273.7,1289.3,14694.9,4153.1,1459.1000000000001,8361.1,1152.5,1244.5,1643.7,11005.9,485.7,5736.4,8041.8,3709.5,6128.4,3295.2,2937.1,11540.3,1159.9,1712.4,2742.8,4784.4,11337.8,853.0,935.0,1165.0,9811.0,1375.0,1739.0,2408.2000000000003,1942.0,2253.0,5875.2,6054.8,3103.6,5721.0,8578.5,1470.1000000000001,4825.1,917.1999999999999,1004.1,2201.2
1373.0,2200.0,499.0,941.0,8451.4,7728.8,6105.4,821.3000000000001,711.1,1964.9,1397.6,2901.7,1719.2,3055.8,702.6999999999999,1925.3,884.5,789.3,1736.1000000000001,1556.2,2410.9,3330.8,811.7,2552.2,1770.9,5064.5,1992.3000000000002,3140.2,4078.4,3986.7000000000003,2573.8,1537.1000000000001,2979.1000000000004,1548.8,564.6999999999999,1366.1,398.3,1382.0,1082.3,2281.6,3288.9,1059.1,2253.7000000000003,1058.7,1092.6,2653.5,1105.8,4309.900000000001,778.3,4300.0,5510.7,1079.7,9715.2,6010.6,4776.7,3517.4,492.40000000000003,9551.4,1869.1,1947.0,2460.4,4257.2,7748.4,1759.3,2595.6,2421.6000000000004,6096.5,6474.6,3036.2999999999997,5169.4,1013.0,2628.0,1449.6,1093.2,14782.699999999999,1637.1000000000001,4526.8,11156.8,1833.8999999999999,1016.5,1141.5,9465.3,914.5,3197.7,3639.4,3667.5,3125.9,2111.9,1830.7,17029.7,1092.6,1186.6,6449.9,8335.5,9909.9,879.0,725.0,946.0,6692.0,876.0,1180.0,4148.4,2471.1,1267.0,11209.4,9082.900000000001,2271.5,3668.0,7627.3,2484.5,7056.5,784.6999999999999,1286.5,1370.8000000000002
963.2,1364.6999999999998,970.9000000000001,1736.8000000000002,12363.0,14020.6,13271.6,584.4,684.7,3841.6,991.9000000000001,2236.5,3750.0,8155.7,773.4,4374.900000000001,907.0,535.2,1413.1,3648.3999999999996,1594.8999999999999,3574.0,785.9000000000001,2170.4,947.3,4092.1,1393.3,8029.8,2904.8,12459.7,3691.2,4203.4,6168.0,3581.6000000000004,1124.1,1538.1000000000001,398.3,1235.3,965.0,2123.1000000000004,4156.8,646.2,2137.6,3645.1000000000004,969.9,1692.5,1189.5,3838.9,850.5,2186.1,6754.6,984.1999999999999,9353.8,5993.6,7163.8,3120.2,604.1,12052.5,1396.7,2346.8,2826.0,3740.9,5524.5,2807.6,2419.7,2538.2000000000003,4911.7,4043.9,4243.9,3854.3999999999996,984.5,2916.4,1216.8,977.9,7597.9,5508.0,10998.4,4864.900000000001,8546.6,1482.6000000000001,1210.3,7603.9,764.1,3935.2,2529.6,2906.4,2465.5,3001.8,1313.5,12366.6,1575.9,5072.2,9505.1,9251.6,6491.3,619.0,774.0,1558.0,11215.0,752.0,979.0,4308.5,2519.5,1026.0,8826.0,6720.700000000001,1897.9,7811.0,4376.4,4024.1,6926.900000000001,516.3,2206.9,4501.400000000001
760.0,5035.0,765.9,2315.3,9050.3,7596.2,15118.1,726.1,1053.7,6396.099999999999,694.6,2579.2,8947.699999999999,10370.5,502.40000000000003,5179.599999999999,1267.7,461.5,1024.4,3643.8999999999996,1045.5,2034.6,632.3000000000001,2837.1,593.4,4372.4,777.8,7239.6,1674.8000000000002,8011.7,1994.7,9078.3,2776.9,7053.7,987.0,955.8,380.6,2784.9,1728.3999999999999,3206.8,6807.7,1713.1,1514.3,4188.1,1031.7,1191.6,4021.1,3749.6,682.5,1577.8,10933.9,1037.7,4717.2,4976.1,6366.4,3091.8,516.7,14267.5,1533.5,1524.6999999999998,6249.900000000001,2949.1000000000004,3905.6,2064.6,5642.8,1693.8,4815.5,2599.7999999999997,4971.9,1369.3999999999999,594.9000000000001,2342.5,900.3,1156.0,8409.4,5795.799999999999,12076.9,15270.099999999999,8770.199999999999,1549.0,2316.7000000000003,9069.2,549.2,9663.3,2204.0,2710.6,2577.8,11813.8,861.3,10553.7,4001.2,8080.7,6344.0,7377.5,5855.0,709.0,1602.0,1785.0,7974.0,711.0,987.0,2930.7,7841.5,1161.0,4914.299999999999,8492.8,2132.3,14128.0,2287.5,5516.400000000001,3737.5,646.0999999999999,2067.8,4914.5
682.7,10709.6,2249.8,3536.8999999999996,11306.800000000001,6858.5,16513.399999999998,442.40000000000003,754.4,5769.7,910.4,1585.0,10167.6,7874.2,1120.8999999999999,5310.3,3748.9,728.6,1745.8,5347.099999999999,776.3,1290.3,648.0,11073.2,544.7,5195.6,618.5,3537.3999999999996,1169.6000000000001,5330.6,1657.5,14535.7,13050.4,3371.1,673.9,686.0999999999999,288.40000000000003,1457.3,1489.7,9955.8,3867.4,2447.0,1853.0,2300.0,870.7,3008.1,8229.5,10932.5,860.3000000000001,4746.3,37881.6,1401.1000000000001,4644.8,4163.8,3197.5,7631.7,847.9,9710.8,1757.2,1089.5,4387.3,1559.8999999999999,2326.5,3911.4,5221.900000000001,1152.4,2353.5,3226.0,5993.5,1037.1000000000001,1045.8,3846.8,950.0999999999999,741.9,9776.5,2934.5,12429.199999999999,28795.1,8866.199999999999,950.5999999999999,6769.5,14253.0,1711.4,9835.1,3069.3,2438.9,1878.6,13459.3,705.8,17018.6,4608.1,3592.0,7093.3,9373.8,4614.3,897.0,10153.0,1310.0,5750.0,730.0,723.0,1586.8999999999999,4545.5,1336.0,8510.9,11809.4,2325.1,13819.0,8761.5,3965.1,3349.7999999999997,677.1999999999999,4926.0,8161.2
784.9,12937.9,6139.5,2780.2,10399.199999999999,13999.3,16301.6,458.2,652.3,3666.8,3675.5,1979.5,5342.3,3406.6,8505.6,3406.5,8484.7,881.3000000000001,1774.8999999999999,5092.9,656.6,950.9000000000001,631.4000000000001,20144.0,936.8,2827.7999999999997,1019.0,2405.9,1709.0,4194.8,10186.5,13301.9,19379.9,3360.5,475.40000000000003,1103.3,204.0,872.0,1961.5,15663.3,1979.3000000000002,1673.0,1389.1999999999998,1266.8,1462.3999999999999,2914.6,9245.5,11596.2,841.5,4843.7,37150.6,1182.1000000000001,7565.099999999999,2514.2999999999997,1770.7,6354.3,3965.8999999999996,14252.7,1170.1,889.6,2558.2999999999997,1159.2,3846.7000000000003,2918.7,8832.0,1066.8,1958.8999999999999,4917.400000000001,9808.6,652.8000000000001,4424.700000000001,5944.1,751.9,628.2,6400.400000000001,3857.8,13828.5,21294.5,23948.5,1651.1,4519.3,18308.2,9990.0,15103.6,4222.7,1818.4,1239.8,8491.8,826.1,27660.9,7015.8,3575.7,6583.7,14418.6,3017.2,1119.0,7532.0,1618.0,7109.0,3460.0,601.0,2010.3,4069.7,1306.0,10217.7,7092.3,2311.3,28046.0,14912.900000000001,2277.7999999999997,2801.6,677.6,1874.9,7258.700000000001
1288.8,7678.299999999999,5974.0,2345.7,9247.4,11484.099999999999,17097.8,444.9,573.4000000000001,4364.7,6028.4,2056.9,2017.5,7676.1,9923.099999999999,1765.7,7311.900000000001,1025.8999999999999,944.7,14082.5,598.8000000000001,1909.9,911.8000000000001,19882.4,1008.5,3223.5,674.4,1869.5,2550.5,13173.099999999999,4699.400000000001,14347.0,28473.0,9048.8,305.2,669.5,482.90000000000003,773.8,1835.8,11821.1,1759.3,6213.1,1007.2,699.1999999999999,2239.6,3904.7000000000003,14911.300000000001,4683.900000000001,928.0,2181.6,20683.4,752.6,9012.199999999999,1482.2,1330.3,9325.2,2812.8999999999996,9523.4,885.8,1076.0,2046.6000000000001,871.8,7571.8,3492.7,14364.3,1540.6,5781.8,3845.6,5526.799999999999,620.5,1954.3,5512.5,1382.8000000000002,706.9,18105.4,7631.299999999999,6164.299999999999,16350.3,19455.6,8626.6,2317.3,21018.6,12215.3,14310.0,2568.7,3906.5,2637.4,10632.0,1193.1,27187.0,4247.1,4008.7,6830.7,23616.4,10703.3,2253.0,3987.0,1453.0,8237.0,2445.0,637.0,5791.6,7567.4,1152.0,6891.099999999999,4127.5,3498.7000000000003,22301.0,10954.9,3068.6000000000004,2917.1,1055.1,1199.3,9209.8
1103.8,7404.2,6655.1,7498.999999999999,7565.0,9088.400000000001,16564.8,439.09999999999997,482.90000000000003,6765.3,8305.8,1534.5,1767.8999999999999,10189.6,6809.7,1019.0,6532.0,763.8,861.5,11100.1,491.0,9810.8,4611.5,19977.2,581.9000000000001,5673.2,416.29999999999995,4327.1,1782.1,13230.3,2098.2,15155.900000000001,30795.6,12922.9,689.3,570.8,304.7,960.5,4764.099999999999,10092.9,1598.1,2663.4,1030.5,502.09999999999997,2443.2,7419.6,14332.7,2165.4,2646.8,1590.4,20285.0,720.6,5510.5,1086.3,1650.9,9229.4,2958.7999999999997,8719.5,744.4,2915.2999999999997,5833.599999999999,1506.4,5789.2,2529.6,17778.0,1603.3000000000002,4383.6,2299.4,5509.4,541.7,903.7,4411.7,4050.4,587.3,18585.100000000002,8912.3,5948.5,6580.599999999999,9645.0,8479.4,2375.0,17375.0,9038.3,17897.4,3314.6,9232.300000000001,4144.7,4700.7,1295.5,24537.1,2325.5,8535.9,17181.7,16318.6,15056.4,2724.0,3833.0,1144.0,12122.0,2778.0,484.0,13214.0,6033.9,846.0,4805.1,11434.1,3204.0,14130.0,13745.6,4870.900000000001,7808.099999999999,806.3,1422.6999999999998,11190.6
896.9000000000001,5703.900000000001,6756.5,13244.9,6521.7,5639.3,22638.9,358.79999999999995,493.0,4058.8999999999996,3603.7,1262.4,1853.3999999999999,10703.900000000001,5018.9,675.7,16815.8,706.5,769.3000000000001,6576.7,897.6999999999999,18526.7,7333.0,12349.400000000001,566.3000000000001,7976.9,262.79999999999995,12727.300000000001,4307.2,16694.9,1289.6,10816.599999999999,33674.8,10093.3,2321.2,2490.6,1052.1,2972.9,6191.400000000001,12716.2,2100.0,1903.4,913.4,477.0,2142.2,4159.0,13186.4,3855.1000000000004,1641.0,1874.9,13791.9,610.9,2742.5,922.6,1279.6,6223.9,4380.4,4951.2,635.5,1832.6,4889.900000000001,4756.400000000001,7994.3,1939.2,16656.2,1047.3999999999999,9285.1,2511.2,5318.0,499.3,8039.7,6528.799999999999,5440.4,1217.5,26134.2,8339.0,11584.9,3891.9,7812.4,9196.300000000001,6160.0,14833.3,4305.5,11124.1,17149.5,7372.799999999999,3372.6,2326.6,852.6,17402.4,2589.2,11253.7,14872.0,8891.5,11865.4,2091.0,9065.0,809.0,14331.0,3289.0,553.0,6561.599999999999,3371.4,1079.0,7562.599999999999,8162.5,3719.9,7720.0,9416.5,9122.300000000001,7900.8,1103.6999999999998,1463.8,13827.7
652.1,2806.7,8133.5,17637.4,4595.0,7299.5,17411.4,363.0,350.40000000000003,7644.200000000001,2685.0,1400.9,3826.9,13107.900000000001,5458.900000000001,581.8000000000001,15681.3,1343.8999999999999,1115.5,8691.699999999999,1580.1000000000001,13088.699999999999,3723.8,8584.6,653.3,3830.4,367.9,20722.4,3779.6,6617.3,5595.1,7595.5,27203.4,13918.4,673.6,1936.9,678.5,4391.6,17700.399999999998,7245.7,1685.6000000000001,1557.1999999999998,1017.4,1955.8999999999999,1759.0,2556.8,11817.0,7344.900000000001,1007.1999999999999,3179.6,10668.5,407.7,4639.599999999999,1341.6,3085.2,3002.5,5012.1,2882.2,844.3,1327.6,3926.0,7436.2,6890.7,1717.3,7286.2,4736.5,10932.5,1950.9,3329.1,1155.6999999999998,8663.4,6284.8,7565.0,6092.7,23558.8,14318.1,12448.5,10279.2,12874.1,6131.200000000001,4066.9,6751.0,1605.6000000000001,13863.3,16499.1,5936.299999999999,3667.8,1407.9,1519.5,11610.1,1656.1,14134.0,8521.1,8124.4,10121.4,2829.0,20464.0,654.0,8170.0,2070.0,642.0,5930.0,4239.8,824.0,5031.5,4375.5,2503.6,7278.0,14679.7,5988.5,13768.1,1909.4,1271.3,8983.0
