costo_termico,ingreso_exportacion
0.0,0.0
0.0,0.0
0.0,0.0
154228.99220643903,0.0
1121736.1769284687,0.0
3321823.1929847402,0.0
6596681.21716756,0.0
423251.9823552415,0.0
569470.3979114016,0.0
5072021.861658053,0.0
7807492.174995749,0.0
7077633.377344443,0.0
8368448.269498166,0.0
3790056.388573536,0.0
4157482.2300373763,0.0
5640490.494973296,0.0
4724104.440000259,0.0
5764955.13297667,0.0
4994679.580255953,0.0
5226825.449168067,0.0
7262830.6746255765,0.0
5921304.699129059,0.0
2859748.7754052086,0.0
4294530.586063175,0.0
1765491.9363737039,0.0
5784728.735066832,0.0
2430090.7700549667,0.0
1839271.8450385807,0.0
2389208.180743305,0.0
2120323.1539576827,0.0
2838735.210411189,0.0
2674354.885676128,0.0
3650531.4300855887,0.0
1442967.5403438506,0.0
2678374.0110477856,0.0
2117171.3640984846,0.0
953898.7204804124,0.0
640203.3134202338,0.0
963767.6022941883,0.0
453111.1829778482,0.0
514015.5686520322,0.0
254495.58674113988,0.0
105256.72436741591,0.0
244306.16913352802,0.0
211538.35736970365,0.0
860184.8604931751,0.0
483705.7422963839,0.0
733275.7692061627,0.0
1820614.3370062879,0.0
1533257.6196195686,0.0
2209294.46300663,0.0
2597457.4514516764,0.0
3150083.1984662325,0.0
2870210.854832405,0.0
4282468.874330359,0.0
8717331.415619362,0.0
8937257.94180685,0.0
4583456.803563725,0.0
8540664.561088143,0.0
4657275.771359137,0.0
5889325.410020365,0.0
5260394.312786195,0.0
4938027.1928389305,0.0
5039898.969012553,0.0
3506741.139723644,0.0
6179276.208712578,0.0
4453749.629622814,0.0
5000902.881740501,0.0
6040303.705560241,0.0
5541947.333511324,0.0
6766718.431089845,0.0
5764735.030055783,0.0
4870952.113051417,0.0
7376288.439889328,0.0
5472147.182502674,0.0
3993962.87079257,0.0
3018886.926762855,0.0
4169498.1513565914,0.0
5855164.001362382,0.0
3132411.821611243,0.0
1940784.457101983,0.0
2852428.4509909255,0.0
2494132.741563857,0.0
4455058.404671768,0.0
2627752.274908334,0.0
4907135.070287929,0.0
1651595.8431772576,0.0
5057849.275967751,0.0
2608352.831372054,0.0
1212835.9157357085,0.0
608763.5496770453,0.0
531657.0791474408,0.0
474108.6754305065,0.0
1114988.3293928204,0.0
186472.0412520408,0.0
552798.6958540971,0.0
470073.7659331067,0.0
758412.0356555198,0.0
1936042.391434515,0.0
1881941.4865380034,0.0
1244563.6163084065,0.0
4009229.7744346447,0.0
2813477.0239129197,0.0
