volumen,hidrologia,tiempo,aportes,vertimiento,turbinado
45000.0,2.0,0,1191.4687007999999,0.0,6822.144
39369.324700799996,1.97,1,1411.3026406956521,0.0,6822.144
33958.48334149565,1.89,2,1600.524576,0.0,6822.144
28736.86391749565,1.82,3,1465.8918624,0.0,6822.144
23380.611779895655,1.75,4,1863.5418143999998,0.0,6822.144
18422.00959429565,1.92,5,2137.4321472,0.0,6822.144
13737.297741495653,1.98,6,2088.4415328000005,0.0,6821.246390400001
9004.492883895651,1.91,7,1854.2599488,0.0,4937.8771008
5920.875731895652,1.85,8,2138.2141536,0.0,3227.8191589565213
4831.270726539131,1.97,9,2223.0059039999996,0.0,3057.6744864
3996.602144139131,1.98,10,1712.4018210782608,0.0,2708.2993285565217
3000.70463666087,1.82,11,2027.7595296,0.0,2288.9110626782613
2739.553103582609,1.93,12,2314.835712,0.0,2339.950438956522
2714.438376626087,1.97,13,2758.47768,0.0,2464.6724064
3008.243650226087,2.11,14,3430.1691648,0.0,2808.7148197565216
3629.697995269565,2.09,15,3638.912256,0.0,3050.312461356522
4218.297789913044,2.07,16,4620.136752,0.0,3204.662832
5633.771709913043,2.26,17,4481.10206733913,0.0,3659.2498656
6455.623911652174,2.25,18,4580.7455232,0.0,3980.4117345391305
7055.9577003130435,2.28,19,4362.9055037217395,0.0,4163.6869344
7255.176269634783,2.26,20,4461.600790956521,0.0,4102.125420521739
7614.6516400695655,2.21,21,4317.195456,0.0,4266.6027264
7665.244369669565,2.18,22,4379.1674975999995,0.0,4380.032394156522
7664.379473113043,2.22,23,4817.019610017392,0.0,4421.284218156522
8060.1148649739125,2.23,24,4873.184362017391,0.0,4616.622206608696
8316.677020382607,2.16,25,5321.274134400001,0.0,4776.179595965217
8861.77155881739,2.32,26,5152.394016,0.0,5181.6494016
8832.516173217391,2.26,27,4738.293504,0.0,5133.6373536
8437.172323617391,2.16,28,4335.7319712,0.0,4960.583773356522
7812.32052146087,2.06,29,4037.4827136000004,0.0,4591.274407513043
7258.528827547826,1.98,30,4166.7085152,0.0,4159.076465113044
7266.160877634782,1.99,31,3865.4594496,0.0,4070.6172864
7061.003040834782,1.91,32,3674.2833792,0.0,4146.0122592
6589.2741608347815,1.92,33,3458.6685503999997,0.0,4200.686442156522
5847.256269078261,1.84,34,3842.5913568,0.0,3946.1954112000003
5743.652214678261,2.06,35,3690.4206528000004,0.0,4046.8740805565217
5387.198786921738,1.91,36,4349.739744,0.0,3881.2477536
5855.690777321738,2.23,37,5149.8695808,0.0,4329.660646956521
6675.899711165217,2.31,38,5052.445372800001,0.0,4905.991159513043
6822.3539244521735,2.07,39,5442.4058976,0.0,4766.248832556522
7498.510989495652,2.09,40,5806.087862400001,0.0,4829.298627756522
8475.30022413913,2.19,41,5447.5261344,0.0,5177.8409759999995
8744.98538253913,2.19,42,5053.025376,0.0,5027.0933664
8770.91739213913,2.19,43,4518.539765843479,0.0,4783.5785088
8505.878649182609,2.11,44,4160.7470016,0.0,4544.8639488
8121.761701982608,2.14,45,3580.2546498782613,0.0,4361.0718816
7340.944470260869,2.04,46,3347.2861106086953,0.0,3831.571558956522
6856.659021913042,2.11,47,2548.1757036521735,0.0,3458.640703304348
5946.194022260868,1.98,48,2657.8577087999997,0.0,3005.5409517913045
5598.510779269564,2.07,49,2589.6786048,0.0,3120.6331296000003
5067.556254469564,2.07,50,2264.2913664000002,0.0,3025.4631163826084
4306.384504486956,1.89,51,2164.7473344,0.0,2578.071888
3893.059950886956,1.92,52,1949.847984,0.0,2649.7128672
3193.195067686956,1.92,53,2034.1308346434782,0.0,2406.882222469565
2820.4436798608695,1.99,54,2110.2687648,0.0,2236.5241894956516
2694.188255165217,1.94,55,2060.9842176,0.0,2258.390464278261
2496.7820084869563,2.01,56,2151.9207359999996,0.0,2182.830433669565
2465.872310817391,2.03,57,2062.9915488,0.0,2267.4379304347826
2261.425929182609,1.99,58,1902.2490144,0.0,2165.9047112347826
1997.7702323478259,1.86,59,1939.448448,0.0,1976.9530952347827
1960.2655851130435,1.96,60,2326.0390272,0.0,1960.2655851130435
2326.0390272,2.17,61,2227.2425279999998,0.0,2326.0390272
2227.2425279999998,2.15,62,1930.1285325913043,0.0,2227.2425279999998
1930.1285325913043,1.96,63,2003.3782271999999,0.0,1930.1285325913043
2003.3782271999999,2.02,64,2433.36744,0.0,2003.3782271999999
2433.36744,2.08,65,2726.5557312,0.0,2433.36744
2726.5557312,2.11,66,3246.2095679999998,0.0,2726.5557312
3246.2095679999998,2.12,67,4215.2848416,0.0,2944.5861311999997
4516.9082784,2.29,68,4220.055504,0.0,3501.150912
5235.8128704,2.12,69,4186.662287165218,0.0,3648.265488
5774.209669565217,2.09,70,4187.323728,0.0,3775.3226871652173
6186.2107104,2.09,71,3888.6077488695655,0.0,3770.1653472
6304.653112069565,2.02,72,4283.961012313043,0.0,3718.6867696695654
6869.927354713042,2.07,73,4106.0712672,0.0,3914.2039104
7061.794711513043,2.05,74,3785.449248,0.0,4035.4578432
6811.786116313043,1.92,75,3924.331707130435,0.0,4110.184696069566
6625.933127373912,1.89,76,4285.378058713043,0.0,4083.133227965218
6828.177958121739,1.91,77,4501.3473791999995,0.0,4218.458411269565
7111.066926052174,1.86,78,4392.9206496,0.0,4537.921370713044
6966.066204939129,1.82,79,4727.8522368,0.0,4493.377298504348
7200.541143234782,2.08,80,4474.0842048,0.0,4686.2571168
6988.368231234782,2.12,81,3996.7379424,0.0,4482.401335513044
6502.704838121738,1.94,82,3874.3191648,0.0,4110.786813913043
6266.237189008696,1.89,83,4164.3842687999995,0.0,4049.0706816
6381.550776208695,2.08,84,4055.7216672,0.0,4151.2845637565215
6285.987879652173,2.09,85,3814.4572703999997,0.0,4129.1014464
5971.343703652174,2.05,86,3847.7345760000003,0.0,4002.8875488000003
5816.190730852174,2.06,87,4006.6893216000003,0.0,3961.7344587130433
5861.145593739131,2.08,88,4329.881136,0.0,4171.0679136
6019.958816139131,2.16,89,5105.2849344,0.0,4297.263588313043
6827.9801622260875,2.22,90,5261.5610208,0.0,4784.679770713044
7304.861412313044,2.16,91,5134.2022368,0.0,4984.891632
7454.172017113044,1.97,92,5246.551094400001,0.0,4905.1269792
7795.596132313043,1.94,93,5101.4898144,0.0,4883.1860448
8013.899901913043,1.99,94,4749.4810944,0.0,4695.0545376
8068.326458713043,2.01,95,4633.325941147827,0.0,4433.001008556522
8268.651391304349,2.09,96,4583.4943392,0.0,4423.5020723478265
8428.643658156521,2.25,97,3874.697138504348,0.0,4441.4830656
7861.85773106087,2.11,98,3357.7655065043473,0.0,4087.9363392
7131.6868983652175,2.06,99,2653.458472486956,0.0,3829.9867200000003
5955.158650852173,1.94,100,2763.0433152,0.0,3369.549981913043
5348.65198413913,2.06,101,3045.4613280000003,0.0,3127.1373854608696
5266.97592667826,2.24,102,2654.8494336,0.0,3301.3878912000005
