energia_turbinada,energia_eolica,energia_solar,energia_biomasa,energia_renovable,energia_termico_bajo,energia_termico_alto,demanda,demanda_residual
258888.0,89498.12267082525,10847.177165782276,14205.472175438588,114550.77201204612,0.0,0.0,262804.7277197107,148253.95570766457
258888.0,92140.0921373727,11271.621322419545,14859.639049122809,118271.35250891506,0.0,0.0,259686.40768585046,141415.0551769354
258888.0,90659.82803868594,11002.303434923519,14518.368923684202,116180.50039729365,0.0,0.0,284769.89501704235,168589.3946197487
258888.0,90554.62452678141,10732.967364716962,14566.054130701754,115853.64602220013,0.0,0.0,322835.61778332083,206981.97176112072
258888.0,85031.24772094279,10716.475757573358,14637.513606140346,110385.2370846565,0.0,0.0,286307.0950337339,175921.85794907738
258888.0,87807.04803662449,10608.470938362425,14628.308548245614,113043.82752323252,0.0,0.0,271219.28310519754,158175.455581965
258853.93734255317,84982.77061434375,10693.418996498953,14763.392324561397,110439.58193540409,0.0,0.0,321077.5259995257,210637.94406412158
187383.48631631202,85986.18983175584,10551.754537368377,15309.599851754383,111847.5442208786,18241.791597403895,1681.255975717362,252554.57466723176,140707.03044635316
122489.88681914892,84086.47588357603,10205.677110637433,15594.137738596495,109886.29073280995,46984.872467314395,21863.0573053663,265760.2853988617,155873.99466605173
116033.2048744681,87138.50521512776,10242.880464036181,15899.251240350874,113280.63691951481,47687.20369031181,11829.769460827123,249845.7440495834,136565.10713006853
102775.05085957445,88685.74475373808,9824.855155326186,16000.966926315783,114511.56683538007,51174.22117122516,9779.996910592377,245944.614595458,131433.04776007793
86860.02629007092,92209.90206906517,9278.029588771047,15795.58666754386,117283.51832538006,54652.625877053375,10799.490095787272,248808.4569794967,131524.93865411665
88796.87811347518,92859.1884018825,9169.003791343186,18456.2665437649,120484.4587369906,56199.534805510164,13108.092169089816,256892.3205966874,136407.86185969686
93529.85072553191,95290.5873260382,8530.480186850396,33050.70162164341,136871.76913453202,35582.841208629616,0.0,232816.40974702348,95944.64061249145
106585.63675248226,99999.6553362952,7882.442787928107,33192.07652152284,141074.17464574613,37918.23478125718,1026.506125511546,246622.79107341048,105548.61642766435
115753.82936737587,95416.92842546562,8111.724699108436,33118.516723145774,136647.16984771984,39542.59730077319,2354.007017417783,249188.23580714918,112541.06595942932
121611.14618085106,100470.00745115177,7424.9501238408375,23369.852297572706,131264.80987256533,37533.94147255729,3977.8507335864683,251752.38877616858,120487.57890360325
