costo_termico,ingreso_exportacion
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
2328555.9524555984,0.0
11257404.438341329,0.0
8317651.207279319,0.0
8051421.190300229,0.0
8705109.61644152,0.0
9552381.131277962,0.0
3558284.1208629613,0.0
4099775.315779182,0.0
4660461.835302654,0.0
4946749.36733167,0.0
5113526.249421148,0.0
4463565.9473809535,0.0
4162943.0283437683,0.0
5383895.585054341,0.0
4559070.753026713,0.0
3660933.8026213013,0.0
3601549.259980643,0.0
3033373.506544462,0.0
5379525.893952034,0.0
3212749.4524159534,0.0
2510059.0717002023,0.0
2130237.8893665625,0.0
3912005.9053470357,0.0
5013534.1915073665,0.0
5136591.78526746,0.0
6842649.244464988,0.0
2314422.065979543,0.0
5382303.8997240495,0.0
3483309.80338777,0.0
1489291.3582483185,0.0
695273.9992942715,0.0
473088.72704988,0.0
472814.8213060532,0.0
1165585.7311310447,0.0
593823.0357293264,0.0
596454.7714153569,0.0
689193.5529652322,0.0
1341635.0975705888,0.0
2750096.4402144314,0.0
2182653.0442390684,0.0
2669202.686773658,0.0
7757479.35762529,0.0
5850867.263730957,0.0
6601099.798268074,0.0
10456983.807178866,0.0
10333694.234152216,0.0
9699490.677923081,0.0
15297978.53218038,0.0
24233768.980680294,0.0
16094719.862588739,0.0
12982859.435010213,0.0
18475412.752077322,0.0
9605567.734539166,0.0
13020887.702197287,0.0
9930610.896262253,0.0
7678520.484123868,0.0
7965482.5661334265,0.0
5455421.670346331,0.0
7711406.0489126565,0.0
5838931.868645093,0.0
5174206.4292206215,0.0
5370854.349365478,0.0
5779577.439604516,0.0
6827661.776738647,0.0
4949214.1303450195,0.0
6422684.529301737,0.0
7273965.909762777,0.0
6125368.4608613625,0.0
5277516.192246808,0.0
4211019.233582653,0.0
4940734.5222302005,0.0
6825504.475591247,0.0
5064906.233896784,0.0
3642723.6441169768,0.0
4623894.004520551,0.0
5802469.070878638,0.0
5791189.858057766,0.0
5870339.927525291,0.0
8363358.96206864,0.0
3118995.216440173,0.0
5961483.074493037,0.0
4133972.4777559335,0.0
1357484.6801594456,0.0
673598.2098609351,0.0
829070.2300513223,0.0
990332.6841372878,0.0
1571600.544857268,0.0
1008504.2789688865,0.0
1071518.8295893883,0.0
1563099.9293567499,0.0
1890620.632947701,0.0
4862429.894100223,0.0
3523788.598347208,0.0
4319729.766755352,0.0
9891061.03157967,0.0
6864001.207529877,0.0
