Semana,0-0,0-1,0-2,0-3,0-4,1-0,1-1,1-2,1-3,1-4,2-0,2-1,2-2,2-3,2-4,3-0,3-1,3-2,3-3,3-4,4-0,4-1,4-2,4-3,4-4
0,75.0,16.666666666666664,0.0,4.166666666666666,4.166666666666666,21.73913043478261,47.82608695652174,21.73913043478261,8.695652173913043,0.0,4.3478260869565215,34.78260869565217,39.130434782608695,17.391304347826086,4.3478260869565215,0.0,0.0,34.78260869565217,47.82608695652174,17.391304347826086,0.0,0.0,4.3478260869565215,21.73913043478261,73.91304347826086
1,62.5,29.166666666666668,0.0,8.333333333333332,0.0,30.434782608695656,39.130434782608695,26.08695652173913,4.3478260869565215,0.0,8.695652173913043,30.434782608695656,39.130434782608695,8.695652173913043,13.043478260869565,0.0,0.0,34.78260869565217,43.47826086956522,21.73913043478261,0.0,0.0,0.0,34.78260869565217,65.21739130434783
2,66.66666666666666,25.0,4.166666666666666,0.0,4.166666666666666,34.78260869565217,39.130434782608695,13.043478260869565,13.043478260869565,0.0,0.0,30.434782608695656,43.47826086956522,26.08695652173913,0.0,0.0,4.3478260869565215,34.78260869565217,30.434782608695656,30.434782608695656,0.0,0.0,4.3478260869565215,30.434782608695656,65.21739130434783
3,66.66666666666666,20.833333333333336,8.333333333333332,4.166666666666666,0.0,30.434782608695656,47.82608695652174,8.695652173913043,13.043478260869565,0.0,4.3478260869565215,26.08695652173913,52.17391304347826,17.391304347826086,0.0,0.0,4.3478260869565215,26.08695652173913,39.130434782608695,30.434782608695656,0.0,0.0,4.3478260869565215,26.08695652173913,69.56521739130434
4,58.333333333333336,20.833333333333336,20.833333333333336,0.0,0.0,34.78260869565217,34.78260869565217,8.695652173913043,13.043478260869565,8.695652173913043,4.3478260869565215,34.78260869565217,39.130434782608695,17.391304347826086,4.3478260869565215,4.3478260869565215,8.695652173913043,30.434782608695656,34.78260869565217,21.73913043478261,0.0,0.0,0.0,34.78260869565217,65.21739130434783
5,70.83333333333334,20.833333333333336,0.0,8.333333333333332,0.0,26.08695652173913,34.78260869565217,30.434782608695656,8.695652173913043,0.0,4.3478260869565215,43.47826086956522,30.434782608695656,13.043478260869565,8.695652173913043,0.0,0.0,34.78260869565217,34.78260869565217,30.434782608695656,0.0,0.0,4.3478260869565215,34.78260869565217,60.86956521739131
6,62.5,33.33333333333333,4.166666666666666,0.0,0.0,34.78260869565217,34.78260869565217,26.08695652173913,4.3478260869565215,0.0,4.3478260869565215,21.73913043478261,43.47826086956522,26.08695652173913,4.3478260869565215,0.0,8.695652173913043,26.08695652173913,56.52173913043478,8.695652173913043,0.0,0.0,0.0,13.043478260869565,86.95652173913044
7,70.83333333333334,12.5,16.666666666666664,0.0,0.0,26.08695652173913,47.82608695652174,21.73913043478261,4.3478260869565215,0.0,4.3478260869565215,26.08695652173913,30.434782608695656,26.08695652173913,13.043478260869565,0.0,13.043478260869565,21.73913043478261,47.82608695652174,17.391304347826086,0.0,0.0,8.695652173913043,21.73913043478261,69.56521739130434
8,70.83333333333334,20.833333333333336,8.333333333333332,0.0,0.0,26.08695652173913,34.78260869565217,30.434782608695656,8.695652173913043,0.0,4.3478260869565215,39.130434782608695,26.08695652173913,21.73913043478261,8.695652173913043,0.0,4.3478260869565215,34.78260869565217,34.78260869565217,26.08695652173913,0.0,0.0,0.0,34.78260869565217,65.21739130434783
9,79.16666666666666,12.5,4.166666666666666,4.166666666666666,0.0,21.73913043478261,60.86956521739131,8.695652173913043,8.695652173913043,0.0,0.0,26.08695652173913,39.130434782608695,13.043478260869565,21.73913043478261,0.0,0.0,43.47826086956522,43.47826086956522,13.043478260869565,0.0,0.0,4.3478260869565215,30.434782608695656,65.21739130434783
