volumen_discreto,volumen,hidrologia,tiempo,aportes,vertimiento,turbinado
10.72,33744.9416319893,1.78,49,2139.165504,207.31836849230777,3038.92204045485
10.38,32637.866727042143,1.79,50,2021.9050656000002,227.53152886153896,3053.365161856856
9.92,31378.875101923746,1.73,51,1881.8333856,188.6660573538464,3348.0461115933117
9.38,29723.996318576592,1.78,52,1724.9730624000001,73.19917661538464,3151.3524103384616
8.93,28224.417794022746,1.93,53,1862.2849348173913,108.4303078314387,3151.4132159999995
8.46,26826.8592050087,1.91,54,1759.0589856,50.86442436923098,3795.687876858863
7.79,24739.365889380606,1.95,55,1703.4760512,0.0,4265.516315654849
6.96,22177.32562492576,2.0,56,1850.32512,9.285447876923064,3183.284327470234
6.47,20835.0809695786,1.93,57,1881.44208,9.753376984615388,3341.068800995318
5.98,19365.70087159867,1.9,58,1943.923968,6.2671702153846125,3679.2741222421405
5.44,17624.083547141145,1.85,59,1765.2672576,21.556700307692445,2815.160001230769
5.1,16552.634103202683,1.89,60,2021.2966368,18.73056295384624,3144.6107373591976
4.65,15410.58943968964,1.82,61,1921.3522272,14.700408369230791,2998.08424946087
4.29,14319.15700905954,1.79,62,1718.7230591999999,0.0,2713.2162199224085
4.02,13324.663848337133,1.81,63,1863.7994592,0.0,2475.0699860869568
3.75,12713.393321450176,1.77,64,2065.0212576,0.0,2281.399995323077
3.68,12497.014583727097,1.81,65,2230.4739744,0.0,2614.2370857953183
3.62,12113.251472331782,1.84,66,2878.8171552,38.40466043076936,2368.9464701538463
3.78,12584.717496947163,1.83,67,3386.3483808,65.3559906461538,2329.9511229110376
4.13,13575.758764189974,1.86,68,3558.9347135999997,102.46517731103792,2392.9788029538463
4.43,14639.249497525088,1.89,69,3691.9331787130436,143.71713526153857,2437.0709037270904
4.77,15750.394637249503,1.97,70,3932.6890176,224.3395459103689,2671.0043477939803
5.16,16787.739761145156,1.94,71,3604.8360358956525,171.31769501538497,2598.423666911037
5.34,17622.83443511439,1.9,72,3885.766898086956,299.9443845672247,2874.308153257526
5.64,18334.348795376594,1.91,73,3880.1839104,274.7738828949839,3015.7635021270903
5.78,18923.99532075452,1.87,74,3689.9851968000003,267.88559926153874,3190.502882215385
5.87,19155.592036077596,1.91,75,4061.652625252174,164.25962818996697,3374.747805046154
6.02,19678.23722809365,1.78,76,4171.12318706087,211.8417726180608,3365.5776413538465
6.19,20271.94100118261,1.96,77,4693.0859136,159.15577181538487,3367.030799775251
6.63,21438.840343191976,1.81,78,4387.2391584,84.9304356923078,4166.217371076923
6.69,21574.93169482275,2.07,79,4617.626227199999,101.306170402676,4234.670435317726
6.73,21856.58131630235,2.03,80,4253.776128,95.50331667692313,4252.874603815385
6.68,21761.97952381004,2.03,81,4076.3846592,132.13673434113792,4071.051811938461
6.66,21635.17563673044,1.98,82,4022.4473855999995,199.02944492307716,4031.422500794649
6.6,21427.171076612714,2.05,83,4132.7925408,90.7661324307695,3679.4628864000006
6.69,21789.73459858195,2.09,84,4004.6801760000003,103.7542308923079,4056.4999863973244
6.7,21634.160557292314,1.97,85,3661.4966976,63.76597144615393,4116.3176027076925
6.54,21115.57368073847,1.85,86,3502.6846848,92.38171126153865,3382.539380741137
6.49,21143.337273535795,1.86,87,3649.4847648,49.04518596923088,3517.2918144
6.51,21226.485037966566,1.68,88,3573.5708736,0.0,3548.1969083076924
6.62,21251.859003258873,1.81,89,4321.3129344,51.147796430769375,2823.4411554461544
6.98,22698.582985781948,1.9,90,4829.2263936,252.20287988227494,2682.869305846154
7.69,24592.73719365352,1.92,91,5060.8037088,343.4242472026757,3104.703395446154
8.22,26205.413259804693,1.82,92,4914.9852192,367.0456232026756,3105.0623675076927
8.69,27648.290488294322,1.72,93,4464.2259648,312.92500873846177,3299.6647694769226
8.91,28499.926674878938,1.72,94,4065.1704576,299.19994781538566,3055.5614880000003
9.16,29210.335696663547,1.71,95,3731.5168128,478.6465735384612,2484.723520246154
9.44,29978.482415678933,1.77,96,3580.1057376,368.08658363076904,2718.654822228762
9.58,30471.8467474194,1.75,97,2970.396917843478,239.33993735919677,2937.3368123076925
9.49,30265.566915595988,1.76,98,2699.2148794434784,256.80507666622077,3401.2281275397995
9.28,29306.748590833446,1.76,99,2202.0425630608697,122.66555825016701,2761.325404061539
9.01,28624.800191582613,1.79,100,2087.5222368,80.11092406153824,2886.811318667559
8.74,27745.40018565351,1.88,101,2279.2287168000003,102.48782621538463,3480.820774410702
8.3,26441.320301827425,1.92,102,2062.9056672,59.659332923076946,3080.232256984615
