tiempo,volumen_discreto,hidrologia,volumen,turbinado,energia_turbinada,energia_eolica,energia_solar,energia_biomasa,energia_renovable,energia_termico_bajo,energia_termico_alto,energia_exportada,costo_termico,ingreso_exportacion,demanda,demanda_residual,aportes,vertimiento,action,reward,reward_usd
13,1.16,1.79,4843.7984043451515,1662.0031960615386,63070.00899159848,95290.5873260382,8530.480186850396,33050.70162164341,136871.76913453202,37900.56388573536,0.0,5025.932264842402,3790056.388573536,0.0,232816.40974702348,95944.64061249145,2306.7755424,0.0,19.84,-3.7900563885735363,-3790056.388573536
14,1.46,1.78,5488.5707506836125,2140.8108435692307,81239.89139923622,99999.6553362952,7882.442787928107,33192.07652152284,141074.17464574613,37609.463494519114,1321.786268618216,14622.524734709203,4157482.2300373763,0.0,246622.79107341048,105548.61642766435,2530.7293536,0.0,20.71,-4.157482230037377,-4157482.2300373768
15,1.59,1.84,5878.489260714382,1880.1159238956523,71346.99169432624,95416.92842546562,8111.724699108436,33118.516723145774,136647.16984771984,44259.714504265015,4048.3968151559816,7114.037054317902,5640490.494973296,0.0,249188.23580714918,112541.06595942932,2912.0230944,0.0,18.36,-5.640490494973296,-5640490.494973296
16,1.83,1.98,6910.39643121873,2317.118692430769,87930.45471423896,100470.00745115177,7424.9501238408375,23369.852297572706,131264.80987256533,35952.57707911724,3762.822440295117,7158.27533004806,4724104.440000259,0.0,251752.38877616858,120487.57890360325,3578.8834368,0.0,20.59,-4.724104440000259,-4724104.440000259
17,2.26,1.98,8172.16117558796,2414.2648785230767,91616.97640376432,98434.05050166651,6757.079140633997,21224.44183295923,126415.57147525974,41219.14659812174,5476.8015772149865,11219.307259116054,5764955.13297667,0.0,253509.18879524473,127093.617319985,3889.822608,0.0,15.83,-5.76495513297667,-5764955.13297667
18,2.7,1.92,9647.718905064883,2503.050239004682,94986.21991494817,98975.04493142635,6723.902763309068,25968.47947897232,131667.42717370772,34622.41578210421,5108.126673485105,6872.170095583321,4994679.580255953,0.0,259512.0194486619,127844.59227495416,3828.1572,0.0,20.71,-4.994679580255952,-4994679.580255953
19,3.2,1.94,10972.8258660602,2538.207015844816,96320.35587610473,98037.6221467726,6354.580659707241,34253.7348904101,138645.93769688995,35855.20359579519,5471.01696529516,6633.682810537279,5226825.449168067,0.0,269658.83132354775,131012.89362665782,3753.5784442434788,0.0,19.29,-5.226825449168067,-5226825.449168067
20,3.63,2.08,12188.197294458865,2532.3778866943144,96099.15098985271,97409.03202198535,5966.749727093678,35096.533702179564,138472.3154512586,39077.08848762435,11183.739419543803,3109.6723055024986,7262830.6746255765,0.0,281722.62204277696,143250.30659151837,4174.934215930435,45.38172412575281,24.37,-7.262830674625577,-7262830.6746255765
21,4.15,2.22,13785.371899569232,2848.9043985230774,108110.75842504091,98814.04396127017,5886.590321169121,34915.35802257658,139615.99230501588,33425.69585031855,8595.783713657345,8007.52354517723,5921304.699129059,0.0,281740.7067488555,142124.7144438396,4334.653008,65.11728073846163,20.79,-5.92130469912906,-5921304.69912906
22,4.55,2.21,15206.003228307694,3307.930338461538,125529.96088379706,98220.28704362443,5700.530551199278,35017.87632551271,138938.69392033643,18958.209497226326,3213.092752275253,10115.396243770814,2859748.7754052086,0.0,276524.56080986426,137585.86688952782,4324.6786464,94.22304812307695,23.08,-2.8597487754052087,-2859748.7754052086
23,4.86,2.17,16128.52848812308,3274.3784536615385,124256.72766677578,98854.63909287954,5691.159953817383,35550.51846960261,140096.31751629955,19846.229359527737,7699.692167034676,13817.829412283161,4294530.586063175,0.0,278081.1372973546,137984.81978105503,4606.308683686957,3.712292676923316,21.02,-4.294530586063176,-4294530.586063175
24,5.31,2.18,17456.746425471574,3579.572182635451,135838.27653273323,104690.69883044781,5569.164730104099,36640.267961321035,146900.13152187294,15582.8977586358,690.6738683670794,8686.204604237719,1765491.9363737039,0.0,290325.77507737133,143425.6435554984,4868.854756591304,172.6173615411377,25.46,-1.7654919363737038,-1765491.9363737039
25,5.7,2.08,18573.41163788629,3851.714194386622,146165.57263469722,104382.0148129037,5429.313546577172,36310.39745348857,146121.72581296944,29077.908181426486,9589.793056413944,1429.3324177776742,5784728.735066832,0.0,329525.6672677294,183403.94145475997,4902.7108032,38.16069341538459,25.98,-5.784728735066832,-5784728.735066832
26,6.05,2.12,19586.247553284284,4180.303395692307,158634.9372725041,106816.05281652318,5738.184090648205,34600.92987232152,147155.16677949292,16190.176784850364,2703.5769718997694,10860.882476230769,2430090.7700549667,0.0,313822.97533251636,166667.80855302344,4917.181248,68.56818837190643,26.48,-2.4300907700549668,-2430090.7700549667
27,6.21,2.41,20254.55721722007,4051.979977942475,153765.2961487725,105570.85574992996,5961.318488980014,35113.18863366362,146645.3628725736,13550.180397306533,1614.1793510264251,6318.431722041106,1839271.8450385807,0.0,309256.58704763796,162611.22417506436,5194.2014208,142.20378172575286,25.37,-1.8392718450385805,-1839271.8450385805
28,6.49,2.43,21254.574878351843,3942.2872866461535,149602.65732667758,108730.43283364398,5763.893484376083,34304.426268943746,148798.75258696382,13695.259375085587,3398.9408107824893,13290.766657854723,2389208.180743305,0.0,302204.84344165475,153406.09085469093,5033.3155488,254.47897489765964,23.68,-2.389208180743305,-2389208.180743305
29,6.82,2.2,22091.12416560803,4187.887820307693,158922.75244026186,105710.5229317552,6405.6144499270995,34658.5686623392,146774.7060440215,12589.676957528975,2871.184860682618,11072.420304675104,2120323.1539576827,0.0,310085.89999781986,163311.19395379836,4512.1660415999995,150.35481526153868,27.42,-2.1203231539576826,-2120323.1539576827
30,6.89,2.13,22265.0475716388,3834.4516792615386,145510.49147315873,106832.62021303737,6755.8492638160105,35019.157293632656,148607.62677048604,18807.53982187922,3193.270760744224,6259.087654432398,2838735.210411189,0.0,309859.84117183584,161252.2144013498,4387.185331199999,162.93601631036807,26.37,-2.8387352104111896,-2838735.2104111896
31,7.05,2.22,22654.84520726689,3670.379565110368,139284.25211374796,112963.317808136,6912.495966710932,34636.09143758985,154511.90521243677,19658.812470908266,2361.5787952843366,2481.8603239875447,2674354.885676128,0.0,313334.6882683898,158822.783055953,4370.3386272,178.75038732842899,26.96,-2.6743548856761277,-2674354.885676128
32,7.23,2.07,23176.053882028096,3867.085198523077,146748.8743824877,111681.42711469864,6849.887804579319,34441.76708218248,152973.08200146045,21165.96630958612,5113.1159970899225,2540.206782867402,3650531.4300855887,0.0,323460.8319077568,170487.74990629635,3968.4290687999996,181.91960640000028,26.97,-3.650531430085589,-3650531.4300855887
33,7.21,2.12,23095.47814590502,3048.997500553846,115703.92898821604,107779.19993502216,7307.814717086225,32995.00888109761,148082.023533206,14429.675403438503,0.0,9929.942498575865,1442967.5403438506,0.0,268285.6854262847,120203.66189307868,3965.8169376,249.3033518769237,21.79,-1.4429675403438502,-1442967.5403438502
34,7.37,2.05,23762.99423107425,3724.5579839999996,141340.22491489362,108649.10494879777,7909.894347552579,32997.27884153994,149556.27813789027,16187.968505348594,3531.9238683764206,2769.1236882914004,2678374.0110477856,0.0,307847.2717382175,158290.99360032723,3955.3127712,293.5652027076929,25.86,-2.6783740110477856,-2678374.0110477856
35,7.36,2.03,23700.183815566557,3379.3177203692308,128238.9826410802,109305.83774373586,7929.533467364118,32767.710565039084,150003.08177613906,17048.607565422797,1374.3686918540175,4007.630277689182,2117171.3640984846,0.0,292657.4103968069,142654.32862066783,4024.1178432,292.65201969230816,22.49,-2.1171713640984846,-2117171.3640984846
36,7.51,1.96,24052.331918705022,2543.4616962461537,96519.76147348608,114300.00672391738,8524.156211579264,32083.372775819946,154907.5357113166,9538.987204804125,0.0,3576.634375754667,953898.7204804124,0.0,257389.6500138521,102482.11430253554,4127.600332800001,373.6773083076924,16.72,-0.9538987204804124,-953898.7204804124
37,7.83,1.86,25262.793246951172,2298.5631492923076,87226.30548314238,116709.7919183677,8237.11335634511,32138.75473695297,157085.6600116658,6402.033134202336,0.0,1055.560463813792,640203.3134202338,0.0,249658.43816519674,92572.77815353093,4422.7548288,581.4163967999998,14.76,-0.6402033134202337,-640203.3134202338
38,8.36,1.76,26805.568529658867,2812.8585976615386,106742.8856135843,116894.20438616359,8752.13665806451,31710.193294999768,157356.53433922786,7367.3978150072435,756.7594026448796,5641.72940974043,963767.6022941883,0.0,266581.84776072385,109225.31342149599,4663.0491264,347.50059913846155,19.55,-0.9637676022941882,-963767.6022941882
39,8.86,1.77,28308.25845925887,2732.746138338461,103702.76298216039,110322.89665027641,9054.746042873534,31879.889942467347,151257.5326356173,4531.111829778482,0.0,6824.449249691352,453111.1829778482,0.0,252666.95819786482,101409.42556224752,4824.488995199999,376.2181661538458,17.78,-0.45311118297784814,-453111.18297784816
40,9.47,1.86,30023.783149966555,3213.5457156923076,121948.23551718493,108176.90193784745,9864.239537116413,31227.34317938806,149268.48465435192,5140.155686520322,0.0,4573.091570259089,514015.5686520322,0.0,271783.7842877981,122515.2996334462,5102.7344928,420.5677779692311,20.27,-0.5140155686520322,-514015.56865203223
41,9.96,2.07,31492.40414910502,2725.4705804307687,103426.66874615384,104422.57659378197,10529.749504988575,31504.85887353122,146457.18497230177,2544.9558674113987,0.0,3741.778490041927,254495.58674113988,0.0,248687.03109582505,102229.8461235233,5184.4157568,733.82758596923,16.73,-0.25449558674113987,-254495.58674113988
42,10.47,2.12,33217.52173950502,2480.338813292308,94124.3624725041,107996.14741250093,10636.545500075908,30752.21296938665,149384.9058819635,1052.567243674159,0.0,2715.9904589545076,105256.72436741591,0.0,241845.84513918724,92460.93925722374,4977.253008,1117.74886866622,14.78,-0.1052567243674159,-105256.7243674159
43,10.89,2.07,34596.68706554649,2484.236470153846,94272.27148608837,108368.1616263384,10773.160558117665,31590.321507513345,150731.6436919694,2443.06169133528,0.0,4415.2917173301685,244306.16913352802,0.0,243031.68515206288,92300.04146009349,4605.7824288,1088.1022515692298,15.29,-0.244306169133528,-244306.16913352802
44,11.26,2.08,35630.13077262341,2929.2273949966557,111158.87055973815,102923.50995295042,10848.061603908141,32262.107988332133,146033.67954519068,2115.3835736970364,0.0,4384.262515080312,211538.35736970365,0.0,254923.67116354554,108889.99161835486,4231.767456,775.1769430153837,17.37,-0.21153835736970364,-211538.35736970365
45,11.41,2.09,36157.49389061137,3337.713760984615,126660.18778756136,104473.43194198544,10923.442250445485,32514.580538018447,147911.4547304494,6720.0,627.2828683105835,2436.2233678652665,860184.8604931751,0.0,279482.70201845607,131571.24728800668,3744.5835956869564,571.0311740468234,19.48,-0.860184860493175,-860184.860493175
46,11.4,2.0,35993.33255126689,2668.9247862260872,101280.8583425532,104133.89710660212,11090.618849065764,32307.283140690088,147531.79909635798,4837.057422963839,0.0,832.9119565005647,483705.7422963839,0.0,252816.80290537444,105285.00380901646,3092.955509426087,606.8358336642133,15.75,-0.4837057422963839,-483705.7422963839
47,11.34,1.86,35810.527440802674,2636.3730080107025,100045.57735777413,101779.74723093813,11212.704877708187,34387.941797698426,147380.39390634475,7085.978252838541,82.25981307436159,1711.5264239431913,733275.7692061627,0.0,252882.6829060886,105502.28899974385,2342.6804673391302,249.99657176187225,16.21,-0.7332757692061627,-733275.7692061627
48,11.22,1.84,35266.838328369224,3530.4239581645484,133973.1904927987,99174.28621582552,11568.319282368751,35193.49844685015,145936.10394504442,9636.634576626753,2856.502931145376,4802.28042725128,1820614.3370062879,0.0,287600.151518364,141664.04757331955,2208.0746016,199.5473398153847,21.88,-1.8206143370062877,-1820614.3370062876
49,10.72,1.78,33744.9416319893,3038.92204045485,115321.58353873434,99338.40944907123,11291.319964265569,34924.236809625756,145553.96622296254,11046.635117792443,1428.647026134415,3369.0594020987623,1533257.6196195686,0.0,269981.77250352496,124427.80628056244,2139.165504,207.31836849230777,20.44,-1.5332576196195689,-1533257.6196195688
50,10.38,1.79,32637.866727042143,3053.365161856856,115869.67381849425,97313.17091924296,11329.20102259438,35295.99925486828,143938.37119670562,14260.85493357254,2610.6965654979203,3738.3910374333877,2209294.46300663,0.0,272941.20547683694,129002.83428013133,2021.9050656000002,227.53152886153896,19.58,-2.20929446300663,-2209294.4630066296
51,9.92,1.73,31378.875101923746,3348.0461115933117,127052.2817662848,94055.30850885547,11043.135413804714,35184.48269391482,140282.926616575,14964.091420139712,3670.161031459016,4399.267028629646,2597457.4514516764,0.0,281570.19380582887,141287.26718925388,1881.8333856,188.6660573538464,22.76,-2.5974574514516764,-2597457.4514516764
52,9.38,1.78,29723.996318576592,3151.3524103384616,119588.11230130933,92467.96306251167,11350.593319777001,36432.24441620002,140250.8007984887,17461.606117831558,4679.741955610255,3450.9560050669706,3150083.1984662325,0.0,278529.30516817287,138278.50436968417,1724.9730624000001,73.19917661538464,20.01,-3.1500831984662323,-3150083.1984662325
53,8.93,1.93,28224.417794022746,3151.4132159999995,119590.41976595744,92077.1464552851,11269.442481945203,36251.92264326596,139598.51158049627,15751.281522775222,4316.942341849612,5985.893741362641,2870210.854832405,0.0,273271.2614697159,133672.74988921965,1862.2849348173913,108.4303078314387,19.94,-2.870210854832406,-2870210.8548324057
54,8.46,1.91,26826.8592050087,3795.687876858863,144039.4754294599,90611.44799048475,11377.655082999983,36257.837276160855,138246.94034964562,17355.540028634103,8489.71623822316,9344.653341535211,4282468.874330359,0.0,298787.0187044276,160540.07835478196,1759.0589856,50.86442436923098,25.43,-4.282468874330359,-4282468.874330359
55,7.79,1.95,24739.365889380606,4265.516315654849,161868.61314086194,88359.82409203946,11416.239695997296,35889.021960530175,135665.08574856693,24102.097448775152,21023.738902472825,5150.79781173841,8717331.415619362,0.0,337508.73742893845,201843.65168037155,1703.4760512,0.0,27.06,-8.717331415619363,-8717331.415619362
56,6.96,2.0,22177.32562492576,3183.284327470234,120799.87068143299,86433.12223115127,11103.806498983271,36190.64757729516,133727.57630742973,30197.084129868937,19725.165096066517,4098.986547896787,8937257.94180685,0.0,300350.7096669014,166623.13335947166,1850.32512,9.285447876923064,22.32,-8.93725794180685,-8937257.941806851
57,6.47,1.93,20835.0809695786,3341.068800995318,126787.50547512274,83446.21612304743,11016.43924945665,36716.177360995935,131178.8327335,27984.494083415015,5950.024650740745,6897.971176455658,4583456.803563725,0.0,285002.88576632284,153824.05303282285,1881.44208,9.753376984615388,25.98,-4.583456803563725,-4583456.803563725
58,5.98,1.9,19365.70087159867,3679.2741222421405,139621.784435952,86948.75525617333,11243.952255964494,36381.77820882268,134574.4857209605,28591.52730926459,18938.372767205616,4768.799739809166,8540664.561088143,0.0,316957.37049357354,182382.88477261306,1943.923968,6.2671702153846125,28.58,-8.540664561088143,-8540664.561088143
