energia_turbinada,energia_eolica,energia_solar,energia_biomasa,energia_renovable,energia_termico_bajo,energia_termico_alto,demanda,demanda_residual
245611.6923076923,89498.12267082525,10847.177165782276,14205.472175438588,114550.77201204612,0.0,0.0,262804.7277197107,148253.95570766457
226493.80923076923,92140.0921373727,11271.621322419545,14859.639049122809,118271.35250891506,0.0,0.0,259686.40768585046,141415.0551769354
236251.8953846154,90659.82803868594,11002.303434923519,14518.368923684202,116180.50039729365,0.0,0.0,284769.89501704235,168589.3946197487
243089.19384615385,90554.62452678141,10732.967364716962,14566.054130701754,115853.64602220013,840.0,234.09664068813015,322835.61778332083,206981.97176112072
215408.0923076923,85031.24772094279,10716.475757573358,14637.513606140346,110385.2370846565,4200.0,2339.120589761562,286307.0950337339,175921.85794907738
166617.66153846154,87807.04803662449,10608.470938362425,14628.308548245614,113043.82752323252,19355.44922565545,4620.927568063983,271219.28310519754,158175.455581965
197086.78769230767,84982.77061434375,10693.418996498953,14763.392324561397,110439.58193540409,13759.208112051661,17402.534686541316,321077.5259995257,210637.94406412158
188799.4552258047,85986.18983175584,10551.754537368377,15309.599851754383,111847.5442208786,2024.9656890789163,735.8513781578326,252554.57466723176,140707.03044635316
193509.58309678125,84086.47588357603,10205.677110637433,15594.137738596495,109886.29073280995,4416.706596579273,425.99912751158115,265760.2853988617,155873.99466605173
114491.65388079657,87138.50521512776,10242.880464036181,15899.251240350874,113280.63691951481,34628.62110291762,5363.865837887635,249845.7440495834,136565.10713006853
78664.1381466994,88685.74475373808,9824.855155326186,16000.966926315783,114511.56683538007,49506.332482879356,9522.863089026045,245944.614595458,131433.04776007793
86892.88337883253,92209.90206906517,9278.029588771047,15795.58666754386,117283.51832538006,44607.976053611135,8722.785906611103,248808.4569794967,131524.93865411665
78076.89716808512,92859.1884018825,9169.003791343186,18456.2665437649,120484.4587369906,52804.60348710576,10293.293069291965,256892.3205966874,136407.86185969686
63070.00899159848,95290.5873260382,8530.480186850396,33050.70162164341,136871.76913453202,37900.56388573536,0.0,232816.40974702348,95944.64061249145
81239.89139923622,99999.6553362952,7882.442787928107,33192.07652152284,141074.17464574613,37609.463494519114,1321.786268618216,246622.79107341048,105548.61642766435
71346.99169432624,95416.92842546562,8111.724699108436,33118.516723145774,136647.16984771984,44259.714504265015,4048.3968151559816,249188.23580714918,112541.06595942932
87930.45471423896,100470.00745115177,7424.9501238408375,23369.852297572706,131264.80987256533,35952.57707911724,3762.822440295117,251752.38877616858,120487.57890360325
91616.97640376432,98434.05050166651,6757.079140633997,21224.44183295923,126415.57147525974,41219.14659812174,5476.8015772149865,253509.18879524473,127093.617319985
94986.21991494817,98975.04493142635,6723.902763309068,25968.47947897232,131667.42717370772,34622.41578210421,5108.126673485105,259512.0194486619,127844.59227495416
96320.35587610473,98037.6221467726,6354.580659707241,34253.7348904101,138645.93769688995,35855.20359579519,5471.01696529516,269658.83132354775,131012.89362665782
96099.15098985271,97409.03202198535,5966.749727093678,35096.533702179564,138472.3154512586,39077.08848762435,11183.739419543803,281722.62204277696,143250.30659151837
