volumen,hidrologia,tiempo,aportes,vertimiento,volumen_turbinado
24928.10660085007,2.18,61,1510.74833,0.0,3804.8640564395564
22633.990874410512,2.17,62,1670.75211,0.0,3425.218934886002
20879.524049524513,2.36,63,1753.16794,0.0,3321.276873696034
19311.415115828477,2.37,64,2070.37766,0.0,2916.1718520287222
18465.620923799754,2.35,65,2092.66585,0.0,3469.2882203684135
17088.998553431342,2.3,66,2928.93596,0.0,3243.323770419609
16774.610743011734,2.33,67,3951.6001699999997,0.0,3206.4395880230213
17519.771324988713,2.33,68,4487.25312,0.0,3449.7459976128616
18557.27844737585,2.3,69,4231.83819,0.0,3394.5117297156917
19394.60490766016,2.26,70,4186.19946,0.0,3698.0987668621888
19882.70560079797,2.12,71,4498.56551,0.0,3398.868863509982
20982.402247287984,2.06,72,4499.63837,0.0,3711.0047709631926
21771.035846324798,2.01,73,4850.30141,0.0,4140.971774947599
22480.365481377197,2.05,74,4779.92373,0.0,4063.8175501029473
23196.47166127425,2.05,75,4292.37604,0.0,3927.650666691834
23561.197034582412,2.02,76,4852.75743,0.0,3804.589032888066
24609.365431694343,1.98,77,5027.14493,0.0,4077.73622899635
25558.774132697992,2.04,78,5820.49528,0.0,5027.23281303056
26352.03659966743,1.99,79,5692.03576,0.0,4601.523429164298
27442.54893050313,1.73,80,5384.47655,0.0,4303.691588187542
28523.33389231559,1.71,81,5461.06001,0.0,4498.771992348531
29485.62190996706,1.81,82,5733.36726,0.0,4474.39962455634
30744.58954541072,1.8,83,5692.929809999999,0.0,4372.58548314664
32064.93387226408,1.84,84,5493.53514,0.0,4419.044428021095
33139.42458424299,1.98,85,4876.06589,0.0,4847.168750566277
33168.32172367671,2.04,86,5082.46573,0.0,3523.452925504092
34727.334528172614,2.02,87,5420.34382,0.0,4340.04120812404
35807.63714004857,1.95,88,5991.08569,0.0,3993.768626254672
37804.954203793895,1.99,89,6338.58799,0.0,2975.009537925909
41168.53265586799,1.92,90,5874.72743,0.0,2787.072234791497
44256.18785107649,1.86,91,5823.75068,0.0,3102.2124341441945
46977.72609693229,1.98,92,5737.285310000001,0.0,2990.2881821453907
49724.723224786896,2.15,93,5048.60218,0.0,3456.735212810262
51316.59019197663,2.22,94,4206.68377,0.0,2840.730621893853
52682.543340082775,2.28,95,3580.40548,0.0,2452.019852630022
53810.92896745275,2.34,96,3159.15965,0.0,2717.0872858852435
54253.00133156751,2.24,97,2883.03427,0.0,3020.029052578926
54116.00654898859,2.16,98,2632.14745,0.0,3717.078726834145
53031.075272154434,2.19,99,2316.22097,0.0,3090.6071301981046
52256.68911195634,2.21,100,2308.57419,0.0,3113.547283178605
51451.71601877773,2.17,101,2235.80886,0.0,4024.7854577110356
49662.7394210667,2.05,102,2141.9702,0.0,3515.4362049751926
