volumen,hidrologia,tiempo,turbinado,energia_turbinada,energia_eolica,energia_solar,energia_biomasa,energia_renovable,energia_termico_bajo,energia_termico_alto,costo_termico,ingreso_exportacion,demanda,demanda_residual,aportes,vertimiento,costo_vertimiento,action,reward
45000.0,2,0,6822.144,258888.0,89498.12267082525,10847.177165782274,14205.472175438588,114550.7720120461,0.0,0.0,0.0,0.0,262804.7277197107,148253.95570766457,1799.8243200000002,0,0,1.0,0.0
39977.68032,3,1,6822.144,258888.0,92140.0921373727,11271.621322419545,14859.639049122809,118271.35250891506,0.0,0.0,0.0,0.0,259686.40768585046,141415.0551769354,1942.9804800000004,0,0,1.0,0.0
35098.5168,3,2,6822.144,258888.0,90659.82803868594,11002.30343492352,14518.368923684202,116180.50039729367,0.0,0.0,0.0,0.0,284769.89501704235,168589.3946197487,1940.1984,0,0,1.0,0.0
30216.5712,3,3,6822.144,258888.0,90554.62452678141,10732.967364716964,14566.054130701754,115853.64602220013,0.0,0.0,0.0,0.0,322835.61778332083,206981.97176112072,4788.564479999999,0,0,1.0,0.0
28182.99168,4,4,6822.144,258888.0,85031.2477209428,10716.475757573358,14637.513606140346,110385.2370846565,0.0,0.0,0.0,0.0,286307.0950337339,175921.85794907738,5447.312639999999,0,0,1.0,0.0
26808.16032,4,5,6822.144,258888.0,87807.04803662449,10608.470938362425,14628.308548245614,113043.82752323252,0.0,0.0,0.0,0.0,271219.28310519754,158175.455581965,5173.58016,0,0,1.0,0.0
25159.59648,4,6,6822.144,258888.0,84982.77061434375,10693.418996498953,14763.392324561399,110439.5819354041,0.0,0.0,0.0,0.0,321077.5259995257,210637.94406412158,5524.666560000001,0,0,1.0,0.0
23862.11904,4,7,6822.144,258888.0,85986.18983175584,10551.754537368377,15309.599851754381,111847.5442208786,0.0,0.0,0.0,0.0,252554.57466723176,140707.03044635316,5318.3088,0,0,1.0,0.0
22358.28384,4,8,6822.144,258888.0,84086.47588357603,10205.677110637433,15594.137738596493,109886.29073280995,0.0,0.0,0.0,0.0,265760.2853988617,155873.99466605173,4959.84384,0,0,1.0,0.0
20495.983679999998,4,9,6822.144,258888.0,87138.50521512776,10242.880464036181,15899.251240350874,113280.63691951481,0.0,0.0,0.0,0.0,249845.74404958336,136565.10713006853,5318.42976,0,0,1.0,0.0
18992.269439999996,4,10,6822.144,258888.0,88685.74475373808,9824.855155326186,16000.966926315783,114511.56683538006,0.0,0.0,0.0,0.0,245944.61459545797,131433.04776007793,2420.59104,0,0,1.0,0.0
14590.716479999995,3,11,6822.144,258888.0,92209.90206906515,9278.029588771047,15795.58666754386,117283.51832538006,0.0,0.0,0.0,0.0,248808.4569794967,131524.93865411665,5111.40672,0,0,1.0,0.0
12879.979199999994,4,12,6822.144,258888.0,92859.18840188251,9169.003791343186,18456.2665437649,120484.4587369906,0.0,0.0,0.0,0.0,256892.32059668744,136407.86185969686,5748.68448,0,0,1.0,0.0
11806.519679999994,4,13,6822.144,258888.0,95290.58732603819,8530.480186850396,33050.70162164341,136871.76913453202,0.0,0.0,0.0,0.0,232816.40974702346,95944.64061249144,5844.36384,0,0,1.0,0.0
10828.739519999994,4,14,6822.144,258888.0,99999.6553362952,7882.442787928107,33192.07652152284,141074.17464574613,0.0,0.0,0.0,0.0,246622.79107341048,105548.61642766435,8357.7312,0,0,1.0,0.0
12364.326719999994,4,15,6822.144,258888.0,95416.92842546562,8111.724699108436,33118.516723145774,136647.16984771984,0.0,0.0,0.0,0.0,249188.23580714918,112541.06595942934,9859.20768,0,0,1.0,0.0
15401.390399999993,4,16,6822.144,258888.0,100470.00745115177,7424.9501238408375,23369.852297572706,131264.80987256533,0.0,0.0,0.0,0.0,251752.38877616858,120487.57890360325,10340.74944,0,0,1.0,0.0
18919.995839999992,4,17,6822.144,258888.0,98434.05050166651,6757.079140633997,21224.44183295923,126415.57147525974,0.0,0.0,0.0,0.0,253509.18879524473,127093.61731998499,9869.48928,0,0,1.0,0.0
21967.34111999999,4,18,6822.144,258888.0,98975.04493142634,6723.902763309068,25968.47947897232,131667.42717370772,0.0,0.0,0.0,0.0,259512.0194486619,127844.59227495416,10097.075520000002,0,0,1.0,0.0
25242.272639999992,4,19,6822.144,258888.0,98037.6221467726,6354.5806597072415,34253.7348904101,138645.93769688995,0.0,0.0,0.0,0.0,269658.83132354775,131012.89362665781,4593.758400000001,0,0,1.0,0.0
23013.887039999994,3,20,6822.144,258888.0,97409.03202198535,5966.749727093678,35096.533702179564,138472.3154512586,0.0,0.0,0.0,0.0,281722.62204277696,143250.30659151837,5190.0912,0,0,1.0,0.0
21381.834239999993,3,21,6822.144,258888.0,98814.04396127017,5886.59032116912,34915.35802257658,139615.99230501588,0.0,0.0,0.0,0.0,281740.7067488555,142124.7144438396,8310.5568,0,0,1.0,0.0
22870.247039999995,4,22,6822.144,258888.0,98220.28704362443,5700.530551199278,35017.87632551271,138938.69392033643,0.0,0.0,0.0,0.0,276524.56080986426,137585.86688952782,5322.72384,0,0,1.0,0.0
21370.826879999993,3,23,6822.144,258888.0,98854.63909287953,5691.159953817383,35550.51846960261,140096.31751629955,0.0,0.0,0.0,0.0,278081.1372973546,137984.81978105503,9658.11168,0,0,1.0,0.0
24206.794559999995,4,24,6822.144,258888.0,104690.69883044781,5569.164730104099,36640.267961321035,146900.13152187294,0.0,0.0,0.0,0.0,290325.77507737133,143425.6435554984,9971.09568,0,0,1.0,0.0
27355.746239999993,4,25,6822.144,258888.0,104382.0148129037,5429.313546577172,36310.39745348857,146121.72581296944,0.0,0.0,0.0,0.0,329525.6672677294,183403.94145475997,8729.9856,0,0,1.0,0.0
29263.587839999993,4,26,6822.144,258888.0,106816.05281652318,5738.184090648205,34600.92987232152,147155.16677949292,0.0,0.0,0.0,0.0,313822.97533251636,166667.80855302344,9020.2896,0,0,1.0,0.0
31461.733439999993,4,27,6822.144,258888.0,105570.85574992995,5961.318488980013,35113.18863366362,146645.3628725736,0.0,0.0,0.0,0.0,309256.58704763796,162611.22417506436,8759.49984,0,0,1.0,0.0
33399.08927999999,4,28,6822.144,258888.0,108730.43283364398,5763.893484376082,34304.426268943746,148798.75258696382,0.0,0.0,0.0,0.0,302204.84344165475,153406.09085469093,5104.75392,0,0,1.0,0.0
31681.699199999992,3,29,6822.144,258888.0,105710.5229317552,6405.6144499270995,34658.5686623392,146774.7060440215,0.0,0.0,0.0,0.0,310085.89999781986,163311.19395379836,5135.840639999999,0,0,1.0,0.0
29995.39583999999,3,30,6822.144,258888.0,106832.62021303737,6755.84926381601,35019.157293632656,148607.62677048604,0.0,0.0,0.0,0.0,309859.84117183584,161252.2144013498,2173.0463999999997,0,0,1.0,0.0
25346.29823999999,1,31,6822.144,258888.0,112963.317808136,6912.495966710932,34636.09143758985,154511.90521243677,0.0,0.0,0.0,0.0,313334.6882683898,158822.783055953,1247.0975999999998,0,0,1.0,0.0
19771.25183999999,0,32,6822.144,258888.0,111681.42711469864,6849.887804579319,34441.76708218248,152973.08200146045,0.0,0.0,0.0,0.0,323460.8319077568,170487.74990629635,2142.68544,0,0,1.0,0.0
15091.79327999999,1,33,6822.144,258888.0,107779.19993502216,7307.814717086226,32995.00888109761,148082.023533206,0.0,0.0,0.0,0.0,268285.6854262847,120203.66189307868,1156.0752,0,0,1.0,0.0
9425.72447999999,0,34,6822.144,258888.0,108649.10494879776,7909.894347552579,32997.27884153994,149556.27813789027,0.0,0.0,0.0,0.0,307847.2717382175,158290.99360032723,3240.9417599999997,0,0,1.0,0.0
5844.522239999989,2,35,5844.522239999989,221789.02609929038,109305.83774373586,7929.533467364118,32767.710565039084,150003.08177613906,0.0,0.0,0.0,0.0,292657.4103968069,142654.32862066783,3222.85824,0,0,1.0,0.0
3222.85824,2,36,3222.85824,122301.62893617022,114300.0067239174,8524.156211579264,32083.372775819946,154907.5357113166,0.0,0.0,0.0,0.0,257389.65001385214,102482.11430253554,2419.56288,0,0,1.0,0.0
2419.56288,1,37,2419.56288,91818.02595744681,116709.79191836771,8237.11335634511,32138.754736952975,157085.6600116658,754.7521960841259,0.0,75475.21960841259,0.0,249658.43816519674,92572.77815353093,9315.431999999999,0,0,1.0,-0.0754752196084126
9315.431999999999,4,38,6822.144,258888.0,116894.20438616359,8752.13665806451,31710.193294999768,157356.53433922786,0.0,0.0,0.0,0.0,266581.84776072385,109225.31342149599,6039.8351999999995,0,0,1.0,0.0
8533.123199999998,3,39,6822.144,258888.0,110322.89665027641,9054.746042873534,31879.889942467347,151257.5326356173,0.0,0.0,0.0,0.0,252666.95819786482,101409.42556224752,4389.69888,0,0,1.0,0.0
6100.678079999998,2,40,6100.678079999998,231509.67595744674,108176.90193784745,9864.239537116413,31227.34317938806,149268.48465435192,0.0,0.0,0.0,0.0,271783.7842877981,122515.29963344618,1636.04448,0,0,1.0,0.0
1636.04448,0,41,1636.04448,62084.922765957446,104422.57659378197,10529.749504988575,31504.85887353122,146457.18497230177,40144.923357565865,0.0,4014492.3357565864,0.0,248687.03109582508,102229.84612352331,1511.93952,0,0,1.0,-4.014492335756587
1511.93952,0,42,1511.93952,57375.36446808511,107996.14741250093,10636.545500075908,30752.21296938665,149384.9058819635,35085.574789138635,0.0,3508557.4789138637,0.0,241845.84513918724,92460.93925722374,1212.14016,0,0,1.0,-3.508557478913864
1212.14016,0,43,1212.14016,45998.52212765957,108368.16162633839,10773.160558117666,31590.321507513345,150731.6436919694,46301.51933243392,0.0,4630151.933243392,0.0,243031.68515206288,92300.04146009349,1160.4744626086958,0,0,1.0,-4.6301519332433925
1160.4744626086958,0,44,1160.4744626086958,44037.902553191496,102923.50995295042,10848.06160390814,32262.107988332133,146033.67954519068,64852.08906516337,0.0,6485208.906516337,0.0,254923.67116354554,108889.99161835486,3160.6848,0,0,1.0,-6.485208906516337
3160.6848,2,45,3160.6848,119942.25957446809,104473.43194198546,10923.442250445485,32514.58053801845,147911.4547304494,11628.98771353859,0.0,1162898.771353859,0.0,279482.70201845607,131571.24728800668,2471.33376,0,0,1.0,-1.162898771353859
2471.33376,2,46,2471.33376,93782.63702127659,104133.89710660212,11090.618849065764,32307.28314069009,147531.79909635798,11502.36678773987,0.0,1150236.6787739869,0.0,252816.80290537444,105285.00380901646,2194.63776,0,0,1.0,-1.1502366787739868
2194.63776,2,47,2194.63776,83282.52531914895,101779.74723093814,11212.704877708185,34387.941797698426,147380.39390634475,22219.7636805949,0.0,2221976.36805949,0.0,252882.6829060886,105502.28899974385,1150.9343999999999,0,0,1.0,-2.2219763680594897
1150.9343999999999,1,48,1150.9343999999999,43675.8744680851,99174.28621582552,11568.319282368753,35193.49844685015,145936.10394504442,84000.0,13988.173105234455,12596451.931570336,0.0,287600.151518364,141664.04757331955,1530.7487999999998,0,0,1.0,-12.596451931570336
1530.7487999999998,2,49,1530.7487999999998,58089.14255319149,99338.40944907123,11291.319964265569,34924.236809625756,145553.96622296254,66338.66372737093,0.0,6633866.372737094,0.0,269981.77250352496,124427.80628056242,1418.1350400000001,0,0,1.0,-6.633866372737094
1418.1350400000001,2,50,1418.1350400000001,53815.654468085115,97313.17091924294,11329.20102259438,35295.99925486828,143938.37119670562,75187.1798120462,0.0,7518717.981204621,0.0,272941.20547683694,129002.83428013133,1288.76832,0,0,1.0,-7.51871798120462
1288.76832,2,51,1288.76832,48906.42191489362,94055.30850885545,11043.135413804714,35184.48269391482,140282.926616575,84000.0,8380.845274360268,10914253.58230808,0.0,281570.19380582887,141287.26718925388,728.54208,0,0,1.0,-10.91425358230808
728.54208,1,52,728.54208,27646.851489361703,92467.96306251167,11350.593319777001,36432.24441620002,140250.8007984887,84000.0,26631.65288032248,16389495.864096744,0.0,278529.30516817287,138278.50436968417,635.6448,0,0,1.0,-16.389495864096745
635.6448,1,53,635.6448,24121.568085106384,92077.1464552851,11269.442481945203,36251.92264326596,139598.51158049627,84000.0,25551.181804113265,16065354.54123398,0.0,273271.2614697159,133672.74988921965,1030.45824,0,0,1.0,-16.06535454123398
1030.45824,2,54,1030.45824,39104.022553191484,90611.44799048477,11377.655082999983,36257.837276160855,138246.94034964562,84000.0,37436.05580159047,19630816.74047714,0.0,298787.0187044276,160540.07835478196,698.3020799999999,0,0,1.0,-19.63081674047714
698.3020799999999,1,55,698.3020799999999,26499.298297872338,88359.82409203946,11416.239695997296,35889.021960530175,135665.08574856693,84000.0,91344.35338249919,35803306.01474976,0.0,337508.73742893845,201843.65168037152,755.63712,0,0,1.0,-35.80330601474976
755.63712,1,56,755.63712,28675.05914893617,86433.12223115128,11103.806498983273,36190.64757729516,133727.57630742973,84000.0,53948.0742105355,24584422.26316065,0.0,300350.7096669014,166623.13335947166,789.92928,0,0,1.0,-24.58442226316065
789.92928,1,57,789.92928,29976.384468085103,83446.21612304743,11016.439249456647,36716.177360995935,131178.8327335,84000.0,39847.668564737745,20354300.56942132,0.0,285002.88576632284,153824.05303282285,932.05728,0,0,1.0,-20.354300569421323
932.05728,1,58,932.05728,35369.8844680851,86948.75525617333,11243.952255964494,36381.77820882268,134574.4857209605,84000.0,63013.00030452793,27303900.09135838,0.0,316957.37049357354,182382.88477261303,788.23584,0,0,1.0,-27.30390009135838
788.23584,1,59,788.23584,29912.121489361703,86270.37463503586,11112.640300029934,36456.29165863506,133839.30659370084,84000.0,17759.195719116877,13727758.715735063,0.0,265510.6238021794,131671.31720847858,404.97407999999996,0,0,1.0,-13.727758715735064
404.97407999999996,0,60,404.97407999999996,15368.03234042553,85204.61999868434,10813.929831108317,36624.74911774642,132643.29894753906,84000.0,49961.41047880857,23388423.14364257,0.0,281972.74176677316,149329.4428192341,475.19136000000003,0,0,1.0,-23.38842314364257
475.19136000000003,0,61,475.19136000000003,18032.65085106383,88086.69888007017,10519.022792061409,36456.39532520748,135062.11699733906,84000.0,42355.043962109834,21106513.18863295,0.0,279449.81181051274,144387.69481317367,1552.2192,0,0,1.0,-21.10651318863295
1552.2192,2,62,1552.2192,58903.90531914894,89008.36410817421,10162.96838403011,34108.82822734285,133280.1607195472,71076.94521915211,0.0,7107694.521915211,0.0,263261.01125784824,129980.85053830105,449.91334956521735,0,0,1.0,-7.107694521915211
449.91334956521735,0,63,449.91334956521735,17073.396170212764,89463.04536756715,9972.615210240887,33820.55439699758,133256.2149748056,84000.0,24963.041535795608,15888912.460738681,0.0,259292.65268081398,126036.43770600838,496.72224000000006,0,0,1.0,-15.88891246073868
496.72224000000006,0,64,496.72224000000006,18849.70872340426,94891.81835942433,9563.104142878781,33635.805140418444,138090.72764272155,84000.0,7813.727643229431,10744118.292968828,0.0,248754.16400935524,110663.43636663369,896.6764800000001,0,0,1.0,-10.744118292968828
896.6764800000001,1,65,896.6764800000001,34027.24723404256,94289.04168629115,9295.735461339134,35191.04599428708,138775.82314191735,84000.0,13625.952814906545,12487785.844471963,0.0,270429.02319086646,131653.2000489491,5844.36384,0,0,1.0,-12.487785844471963
5844.36384,4,66,5844.36384,221783.01510638298,92626.97625037367,8700.199318007642,35498.240488386815,136825.41605676812,0.0,0.0,0.0,0.0,259903.67477959656,123078.25872282844,8140.1846399999995,0,0,1.0,0.0
8140.1846399999995,4,67,6822.144,258888.0,94836.57389358795,7972.95051741626,35494.42107808353,138303.94548908772,0.0,0.0,0.0,0.0,259982.51634072966,121678.57085164194,3981.82176,0,0,1.0,0.0
5299.862399999999,3,68,5299.862399999999,201120.1723404255,93489.92244418705,7886.580423981958,30304.0610313741,131680.5638995431,0.0,0.0,0.0,0.0,262592.1720142353,130911.60811469218,9888.66144,0,0,1.0,0.0
9888.66144,4,69,6822.144,258888.0,99055.78688356072,7202.4720605141165,23179.4313984164,129437.69034249125,0.0,0.0,0.0,0.0,258253.25809987602,128815.56775738478,9869.48928,0,0,1.0,0.0
12936.00672,4,70,6822.144,258888.0,100802.10191017616,6848.619997839734,24103.361806967885,131754.08371498378,0.0,0.0,0.0,0.0,272176.6777959837,140422.5940809999,5043.4272,0,0,1.0,0.0
11157.28992,3,71,6822.144,258888.0,101712.86540940804,6592.239287264835,35807.85017270486,144112.95486937772,0.0,0.0,0.0,0.0,273093.8679571654,128980.91308778769,2864.6352,0,0,1.0,0.0
