costo_termico,ingreso_exportacion
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
2227405.3890552474,0.0
9430311.657210223,0.0
7961473.3055771915,0.0
7711789.769490137,0.0
8411724.40912021,0.0
9475787.447353821,0.0
3450431.5672524376,0.0
4343943.725789844,0.0
4648627.72572422,0.0
5024733.463011217,0.0
5016198.688782849,0.0
4555015.062323626,0.0
5078789.11428118,0.0
5843716.666726884,0.0
4244906.383215233,0.0
3211896.5290550124,0.0
4125719.213255139,0.0
4461395.0188977,0.0
7191722.844892924,0.0
4568661.820964775,0.0
3541951.9001193643,0.0
2519396.836034849,0.0
4851206.199494129,0.0
5309190.556626311,0.0
5236036.426930203,0.0
6007821.427861512,0.0
2145543.5481072026,0.0
5468792.97014958,0.0
3897013.2181050866,0.0
1627905.085411244,0.0
899939.6881320477,0.0
914014.9276995407,0.0
704612.4357737008,0.0
887478.0586726629,0.0
674112.8824444582,0.0
491198.04704794096,0.0
778243.766949249,0.0
1581102.0057913563,0.0
3428583.76044265,0.0
2500757.790430052,0.0
3212469.594582425,0.0
7828723.297838056,0.0
6507521.696907299,0.0
7233487.820831809,0.0
9911936.106988456,0.0
9902328.71366283,0.0
10543719.486593718,0.0
16771277.171401955,0.0
25994432.854839,0.0
17488124.16940875,0.0
13881784.66592264,0.0
18406753.885389816,0.0
9362469.530462794,0.0
12255575.847781457,0.0
10532282.214957094,0.0
8619483.145089883,0.0
7730457.629630549,0.0
5550755.875207257,0.0
7939101.286408413,0.0
5820032.531834855,0.0
6288375.007747447,0.0
6372078.8893428175,0.0
5979614.5070977,0.0
7447758.804744241,0.0
5657775.703262942,0.0
6454443.180757045,0.0
7180059.558681642,0.0
5878745.370709376,0.0
4836644.966673105,0.0
4150519.102471567,0.0
4109439.681064153,0.0
6211343.864994287,0.0
4663434.705708373,0.0
3904476.748660392,0.0
5118823.5261980975,0.0
5112804.024754504,0.0
4468585.267570425,0.0
4425991.568049885,0.0
6773859.310380199,0.0
2441093.389232059,0.0
5184014.336845677,0.0
3784260.9883624082,0.0
1793228.546310125,0.0
721450.1303784118,0.0
1187219.1141855586,0.0
1078166.844257759,0.0
1773234.91356151,0.0
1159779.9208142194,0.0
1045854.9500149204,0.0
1846535.1753543161,0.0
2557499.201436699,0.0
6258685.309855171,0.0
4325128.442745985,0.0
5384582.9257083805,0.0
11830550.546177628,0.0
8608675.670837026,0.0
