turbinado,action,reward
6250.0,1.0,13.272300442844168
1549.61856,1.0,-3932877.14846128
1084.16448,1.0,-7998566.842896502
597.96576,1.0,-22345295.596616987
500.16959999999995,0.93873465,-15967043.69686631
505.6128,1.0,-11335545.710818993
1153.71648,1.0,-17203072.110749554
2030.13216,1.0,-2157476.537770107
1129.94784,1.0,-6870114.121304995
1902.7007999999998,1.0,-2272010.2979960707
1954.04832,1.0,-1628968.653317535
6656.36832,1.0,16.25402509133881
5993.50752,1.0,13.385027235322626
6822.144,1.0,20.17460943453458
5175.39456,1.0,13.195202548882605
6697.07136,1.0,18.313202667509554
6822.144,1.0,18.035915255909153
6822.144,1.0,17.40459141458891
6822.144,1.0,17.429541096648947
6822.144,1.0,17.28182449272668
6822.144,1.0,16.259146374894442
6822.144,1.0,16.3720070014303
6822.144,1.0,16.738955991211622
6822.144,1.0,16.725003643517073
6822.144,1.0,16.384998562406352
6822.144,1.0,13.04050030898616
6822.144,1.0,14.452402066906263
6822.144,1.0,14.781954033287532
6822.144,1.0,15.584938305225151
6822.144,1.0,14.725778937917159
6822.144,1.0,14.927909246062285
5114.242879999999,1.0,8.747591297144208
4218.72192,1.0,4.35152393832943
6822.144,1.0,18.33986190113021
6822.144,1.0,15.190488502270904
6822.144,1.0,16.500990644546665
4522.936319999999,1.0,11.205339644445395
6534.68256,1.0,19.701632090237066
6822.144,1.0,19.409299453862467
6822.144,1.0,19.958973413739663
4265.110079999999,1.0,8.463519498189603
1856.6755200000002,1.0,0.9675463243511361
1123.1136,1.0,-953317.2868777663
1886.1897600000002,1.0,1.9782722164541104
5233.455360000001,1.0,13.219743244081766
4929.7248,1.0,10.208332432499843
6822.144,1.0,19.573913000854596
6822.144,1.0,19.553282481793758
6822.144,1.0,16.515731101307445
2799.9756799999986,1.0,2.6823158041340998
1304.79552,1.0,-3399800.8260942204
1157.9500799999998,1.0,-5041679.474643842
612.48096,1.0,-6861441.116789651
717.8976,1.0,-6088462.687830956
202.36608,1.0,-14118844.783979168
387.61632000000003,1.0,-22464857.59011134
366.9926400000001,1.0,-13991392.864921961
461.58336,1.0,-9842196.047062624
881.55648,1.0,-12030955.715615867
2546.8732800000002,1.0,0.922967831883501
2747.6064,1.0,0.19326971206181479
2097.02304,1.0,-1823450.256106694
1552.2192,1.0,-2720011.000951074
1388.56032,1.0,-3012764.814573089
1458.11232,1.0,-1387168.9244507106
735.92064,1.0,-5865484.171571958
312.50016000000005,1.0,-6790216.491204462
440.65728,1.0,-6162600.635513737
667.27584,1.0,-6182433.738891539
184.58496,1.0,-7876869.339322105
461.94624000000005,1.0,-7752979.189514447
542.4451200000001,1.0,-6288045.927932397
407.39328,1.0,-7813014.472634849
385.2576,1.0,-11172402.201394139
2936.66688,1.0,0.6510946256359341
4183.0992,1.0,5.809374062214
2897.2943999999998,1.0,1.4233645105174584
4703.71104,1.0,7.4494383631015895
4868.1561599999995,1.0,5.1349009032879955
4833.5616,1.0,6.352889100798781
2761.1539200000007,1.0,-614500.3926484846
3292.4707200000003,1.0,0.8042466157553747
5569.72416,1.0,9.565546433540286
3267.25056,1.0,1.2106100709900072
3385.9727999999996,1.0,1.5437483451384586
2242.71936,1.0,-4247667.959872957
1011.6489599999999,0.6095067,-4758709.6438198015
2592.35424,1.0,-1312249.788501492
2408.67648,1.0,-901629.7119627313
3298.8815999999997,1.0,5.744617828824005
3520.2988800000003,1.0,7.166970182933231
1408.5792,1.0,-1755605.6215861754
5295.6287999999995,1.0,13.18386388117693
2313.36,1.0,0.42071688412068325
3401.818560000001,1.0,6.49726586266928
3256.3036799999995,1.0,7.304165487768087
3185.96544,1.0,6.051466346479823
411.80832,1.0,-5423950.827340342
607.64256,1.0,-6909601.512992558
531.13536,0.8839892,-5274676.957894475
824.40288,1.0,-4247716.673443294
445.7376,1.0,-8862211.320059141
465.51455999999996,1.0,-6844832.378733477
