energia_turbinada,energia_eolica,energia_solar,energia_biomasa,energia_renovable,energia_termico_bajo,energia_termico_alto,demanda,demanda_residual
258429.24728145744,89498.12267082525,10847.177165782274,14205.472175438588,114550.7720120461,0.0,0.0,219003.93976642555,104453.16775437945
117633.46300742208,92140.0921373727,11271.621322419545,14859.639049122809,118271.35250891506,0.0,0.0,216405.3397382087,98133.98722929365
22905.42748199407,90659.82803868594,11002.30343492352,14518.368923684202,116180.50039729367,84000.0,14222.317968247546,237308.2458475353,121127.74545024162
26250.753283434547,90554.62452678141,10732.967364716964,14566.054130701754,115853.64602220013,84000.0,42925.28218046605,269029.6814861007,153176.0354639006
38012.40694817117,85031.2477209428,10716.475757573358,14637.513606140346,110385.2370846565,84000.0,6191.6018286172475,238589.2458614449,128204.00877678841
12328.348199406866,87807.04803662449,10608.470938362425,14628.308548245614,113043.82752323252,84000.0,16643.893531691894,226016.0692543313,112972.24173109877
33965.111142494,84982.77061434375,10693.418996498953,14763.392324561399,110439.5819354041,84000.0,39159.91192170665,267564.60499960475,157125.02306420065
43986.46417172716,85986.18983175584,10551.754537368377,15309.599851754381,111847.5442208786,54628.13716342073,0.0,210462.1455560265,98614.60133514789
17253.106510379894,84086.47588357603,10205.677110637433,15594.137738596493,109886.29073280995,84000.0,10327.50725586155,221466.9044990514,111580.61376624144
29003.791893800317,87138.50521512776,10242.880464036181,15899.251240350874,113280.63691951481,65920.35789467102,0.0,208204.78670798615,94924.14978847133
68679.72150826156,88685.74475373808,9824.855155326186,16000.966926315783,114511.56683538006,21762.55715257337,0.0,204953.84549621498,90442.27866083493
67272.1254060161,92209.90206906515,9278.029588771047,15795.58666754386,117283.51832538006,22784.73708485109,0.0,207340.38081624726,90056.86249086719
56896.131280892536,92859.18840188251,9169.003791343186,18456.2665437649,120484.4587369906,36696.343812689745,0.0,214076.93383057287,93592.47509358228
79925.86595113686,95290.58732603819,8530.480186850396,33050.70162164341,136871.76913453202,0.0,0.0,194013.67478918622,57141.9056546542
63191.924756390355,99999.6553362952,7882.442787928107,33192.07652152284,141074.17464574613,1252.8931590389184,0.0,205518.9925611754,64444.817915429274
48845.412794803,95416.92842546562,8111.724699108436,33118.516723145774,136647.16984771984,22164.28053010148,0.0,207656.86317262432,71009.69332490448
68548.10213246719,100470.00745115177,7424.9501238408375,23369.852297572706,131264.80987256533,9980.7453084413,0.0,209793.6573134738,78528.84744090849
42118.20025420139,98434.05050166651,6757.079140633997,21224.44183295923,126415.57147525974,42723.88559990949,0.0,211257.65732937062,84842.08585411088
17655.276825307163,98975.04493142634,6723.902763309068,25968.47947897232,131667.42717370772,66937.31220820337,0.0,216260.01620721826,84592.58903351054
31171.855500635505,98037.6221467726,6354.5806597072415,34253.7348904101,138645.93769688995,54897.89957209771,0.0,224715.69276962316,86069.75507273321
105375.93469848894,97409.03202198535,5966.749727093678,35096.533702179564,138472.3154512586,0.0,0.0,234768.85170231416,96296.53625105557
102692.36186979241,98814.04396127017,5886.59032116912,34915.35802257658,139615.99230501588,0.0,0.0,234783.9222907129,95167.929985697
124197.50543708517,98220.28704362443,5700.530551199278,35017.87632551271,138938.69392033643,0.0,0.0,230437.13400822022,91498.44008788379
138087.00567716424,98854.63909287953,5691.159953817383,35550.51846960261,140096.31751629955,0.0,0.0,231734.2810811288,91637.96356482926
258429.24728145744,104690.69883044781,5569.164730104099,36640.267961321035,146900.13152187294,0.0,0.0,241938.14589780945,95038.0143759365
258429.24728145744,104382.0148129037,5429.313546577172,36310.39745348857,146121.72581296944,0.0,0.0,274604.72272310784,128482.9969101384
258429.24728145744,106816.05281652318,5738.184090648205,34600.92987232152,147155.16677949292,0.0,0.0,261519.1461104303,114363.97933093738
258429.24728145744,105570.85574992995,5961.318488980013,35113.18863366362,146645.3628725736,0.0,0.0,257713.8225396983,111068.4596671247
258429.24728145744,108730.43283364398,5763.893484376082,34304.426268943746,148798.75258696382,0.0,0.0,251837.3695347123,103038.6169477485
258429.24728145744,105710.5229317552,6405.6144499270995,34658.5686623392,146774.7060440215,0.0,0.0,258404.9166648499,111630.21062082841
258429.24728145744,106832.62021303737,6755.84926381601,35019.157293632656,148607.62677048604,0.0,0.0,258216.5343098632,109608.90753937716
135591.1123287671,112963.317808136,6912.495966710932,34636.09143758985,154511.90521243677,0.0,0.0,261112.24022365818,106600.33501122141
110732.11207456577,111681.42711469864,6849.887804579319,34441.76708218248,152973.08200146045,5845.499180437808,0.0,269550.69325646403,116577.61125500358
124014.70074848188,107779.19993502216,7307.814717086226,32995.00888109761,148082.023533206,0.0,0.0,223571.4045219039,75489.3809886979
258429.24728145744,108649.10494879776,7909.894347552579,32997.27884153994,149556.27813789027,0.0,0.0,256539.39311518124,106983.11497729097
258429.24728145744,109305.83774373586,7929.533467364118,32767.710565039084,150003.08177613906,0.0,0.0,243881.17533067244,93878.09355453338
258429.24728145744,114300.0067239174,8524.156211579264,32083.372775819946,154907.5357113166,0.0,0.0,214491.37501154345,59583.83930022686
258429.24728145744,116709.79191836771,8237.11335634511,32138.754736952975,157085.6600116658,0.0,0.0,208048.6984709973,50963.038459331496
258429.24728145744,116894.20438616359,8752.13665806451,31710.193294999768,157356.53433922786,0.0,0.0,222151.5398006032,64795.005461375345
258429.24728145744,110322.89665027641,9054.746042873534,31879.889942467347,151257.5326356173,0.0,0.0,210555.79849822068,59298.26586260338
258429.24728145744,108176.90193784745,9864.239537116413,31227.34317938806,149268.48465435192,0.0,0.0,226486.4869064984,77218.00225214649
