volumen,hidrologia,tiempo,turbinado,vertimiento,energia_turbinada,energia_eolica,energia_solar,energia_biomasa,energia_renovable,energia_termico_bajo,energia_termico_alto,costo_termico,ingreso_exportacion,demanda,demanda_residual,aportes,volumen_siguiente,hidrologia_siguiente,tiempo_siguiente,action,reward
6250.0,3,0,6250.0,0.0,237176.17218282112,89498.12267082525,10847.177165782274,14205.472175438588,114550.7720120461,0.0,0.0,0.0,13.272300442844168,219003.93976642555,104453.16775437945,1549.61856,1549.61856,2,1,1.0,13.272300442844168
1549.61856,2,1,1549.61856,0.0,58805.21574468085,92140.0921373727,11271.621322419545,14859.639049122809,118271.35250891506,39328.7714846128,0.0,3932877.14846128,0.0,216405.3397382087,98133.98722929365,1084.16448,1084.16448,1,2,1.0,-3932877.14846128
1084.16448,1,2,1084.16448,0.0,41142.07702127659,90659.82803868594,11002.30343492352,14518.368923684202,116180.50039729367,79985.66842896503,0.0,7998566.842896502,0.0,237308.2458475353,121127.74545024162,597.96576,597.96576,0,3,1.0,-7998566.842896502
597.96576,0,3,597.96576,0.0,22691.71680851064,90554.62452678141,10732.967364716964,14566.054130701754,115853.64602220013,84000.0,46484.31865538996,22345295.596616987,0.0,269029.6814861007,153176.0354639006,500.16959999999995,500.16959999999995,0,4,1.0,-22345295.596616987
500.16959999999995,0,4,500.16959999999995,0.0,18980.52978723404,85031.2477209428,10716.475757573358,14637.513606140346,110385.2370846565,84000.0,25223.478989554365,15967043.69686631,0.0,238589.2458614449,128204.00877678841,505.6128,505.6128,2,5,0.93873465,-15967043.69686631
505.6128,2,5,505.6128,0.0,19187.08936170213,87807.04803662449,10608.470938362425,14628.308548245614,113043.82752323252,84000.0,9785.152369396645,11335545.710818993,0.0,226016.0692543313,112972.24173109877,1153.71648,1153.71648,3,6,1.0,-11335545.710818993
1153.71648,3,6,1153.71648,0.0,43781.44936170213,84982.77061434375,10693.418996498953,14763.392324561399,110439.5819354041,84000.0,29343.573702498514,17203072.110749554,0.0,267564.60499960475,157125.02306420065,2030.13216,2030.13216,2,7,1.0,-17203072.110749554
2030.13216,2,7,2030.13216,0.0,77039.83595744682,85986.18983175584,10551.754537368377,15309.599851754381,111847.5442208786,21574.76537770107,0.0,2157476.537770107,0.0,210462.1455560265,98614.60133514789,1129.94784,1129.94784,2,8,1.0,-2157476.537770107
1129.94784,2,8,1129.94784,0.0,42879.47255319149,84086.47588357603,10205.677110637433,15594.137738596493,109886.29073280995,68701.14121304995,0.0,6870114.121304995,0.0,221466.9044990514,111580.61376624144,1902.7007999999998,1902.7007999999998,3,9,1.0,-6870114.121304995
1902.7007999999998,3,9,1902.7007999999998,0.0,72204.04680851063,87138.50521512776,10242.880464036181,15899.251240350874,113280.63691951481,22720.102979960706,0.0,2272010.2979960707,0.0,208204.78670798615,94924.14978847133,1954.04832,1954.04832,4,10,1.0,-2272010.2979960707
1954.04832,4,10,1954.04832,0.0,74152.59212765958,88685.74475373808,9824.855155326186,16000.966926315783,114511.56683538006,16289.68653317535,0.0,1628968.653317535,0.0,204953.84549621498,90442.27866083493,6656.36832,6656.36832,4,11,1.0,-1628968.653317535
6656.36832,4,11,6656.36832,0.0,252597.1134042553,92209.90206906515,9278.029588771047,15795.58666754386,117283.51832538006,0.0,0.0,0.0,16.25402509133881,207340.38081624726,90056.86249086719,5993.50752,5993.50752,4,12,1.0,16.25402509133881
5993.50752,4,12,5993.50752,0.0,227442.74744680853,92859.18840188251,9169.003791343186,18456.2665437649,120484.4587369906,0.0,0.0,0.0,13.385027235322626,214076.93383057287,93592.47509358228,7535.62656,7535.62656,4,13,1.0,13.385027235322626
7535.62656,4,13,6822.144,0.0,258888.0,95290.58732603819,8530.480186850396,33050.70162164341,136871.76913453202,0.0,0.0,0.0,20.17460943453458,194013.67478918622,57141.9056546542,4461.912,5175.39456,4,14,1.0,20.17460943453458
5175.39456,4,14,5175.39456,0.0,196396.8434042553,99999.6553362952,7882.442787928107,33192.07652152284,141074.17464574613,0.0,0.0,0.0,13.195202548882605,205518.9925611754,64444.817915429274,6697.07136,6697.07136,4,15,1.0,13.195202548882605
6697.07136,4,15,6697.07136,0.0,254141.72,95416.92842546562,8111.724699108436,33118.516723145774,136647.16984771984,0.0,0.0,0.0,18.313202667509554,207656.86317262432,71009.69332490448,12183.0912,12183.0912,4,16,1.0,18.313202667509554
12183.0912,4,16,6822.144,0.0,258888.0,100470.00745115177,7424.9501238408375,23369.852297572706,131264.80987256533,0.0,0.0,0.0,18.035915255909153,209793.6573134738,78528.84744090849,12712.049280000001,12500.0,4,17,1.0,18.035915255909153
12500.0,4,17,6822.144,5572.996480000002,258888.0,98434.05050166651,6757.079140633997,21224.44183295923,126415.57147525974,0.0,0.0,0.0,17.40459141458891,211257.65732937062,84842.08585411088,12082.21056,12500.0,4,18,1.0,17.40459141458891
12500.0,4,18,6822.144,5260.066559999999,258888.0,98975.04493142634,6723.902763309068,25968.47947897232,131667.42717370772,0.0,0.0,0.0,17.429541096648947,216260.01620721826,84592.58903351054,7975.13472,12500.0,4,19,1.0,17.429541096648947
12500.0,4,19,6822.144,1152.9907199999998,258888.0,98037.6221467726,6354.5806597072415,34253.7348904101,138645.93769688995,0.0,0.0,0.0,17.28182449272668,224715.69276962316,86069.75507273321,8384.52384,12500.0,4,20,1.0,17.28182449272668
12500.0,4,20,6822.144,1562.3798399999996,258888.0,97409.03202198535,5966.749727093678,35096.533702179564,138472.3154512586,0.0,0.0,0.0,16.259146374894442,234768.85170231416,96296.53625105557,8110.24704,12500.0,4,21,1.0,16.259146374894442
12500.0,4,21,6822.144,1288.10304,258888.0,98814.04396127017,5886.59032116912,34915.35802257658,139615.99230501588,0.0,0.0,0.0,16.3720070014303,234783.9222907129,95167.929985697,6904.578240000001,12500.0,3,22,1.0,16.3720070014303
12500.0,3,22,6822.144,82.4342400000005,258888.0,98220.28704362443,5700.530551199278,35017.87632551271,138938.69392033643,0.0,0.0,0.0,16.738955991211622,230437.13400822022,91498.44008788379,5776.20288,11454.05888,3,23,1.0,16.738955991211622
11454.05888,3,23,6822.144,0.0,258888.0,98854.63909287953,5691.159953817383,35550.51846960261,140096.31751629955,0.0,0.0,0.0,16.725003643517073,231734.2810811288,91637.96356482926,5568.93792,10200.8528,4,24,1.0,16.725003643517073
10200.8528,4,24,6822.144,0.0,258888.0,104690.69883044781,5569.164730104099,36640.267961321035,146900.13152187294,0.0,0.0,0.0,16.384998562406352,241938.14589780945,95038.0143759365,8710.75296,12089.46176,4,25,1.0,16.384998562406352
12089.46176,4,25,6822.144,0.0,258888.0,104382.0148129037,5429.313546577172,36310.39745348857,146121.72581296944,0.0,0.0,0.0,13.04050030898616,274604.72272310784,128482.9969101384,11707.89984,12500.0,4,26,1.0,13.04050030898616
12500.0,4,26,6822.144,4475.2176,258888.0,106816.05281652318,5738.184090648205,34600.92987232152,147155.16677949292,0.0,0.0,0.0,14.452402066906263,261519.1461104303,114363.97933093738,6840.529920000001,12500.0,4,27,1.0,14.452402066906263
12500.0,4,27,6822.144,18.385920000000624,258888.0,105570.85574992995,5961.318488980013,35113.18863366362,146645.3628725736,0.0,0.0,0.0,14.781954033287532,257713.8225396983,111068.4596671247,9415.76832,12500.0,4,28,1.0,14.781954033287532
12500.0,4,28,6822.144,2593.624319999999,258888.0,108730.43283364398,5763.893484376082,34304.426268943746,148798.75258696382,0.0,0.0,0.0,15.584938305225151,251837.3695347123,103038.6169477485,9803.26368,12500.0,3,29,1.0,15.584938305225151
12500.0,3,29,6822.144,2981.11968,258888.0,105710.5229317552,6405.6144499270995,34658.5686623392,146774.7060440215,0.0,0.0,0.0,14.725778937917159,258404.9166648499,111630.21062082841,4335.387839999999,10013.24384,1,30,1.0,14.725778937917159
10013.24384,1,30,6822.144,0.0,258888.0,106832.62021303737,6755.84926381601,35019.157293632656,148607.62677048604,0.0,0.0,0.0,14.927909246062285,258216.5343098632,109608.90753937716,1923.14304,5114.242879999999,2,31,1.0,14.927909246062285
5114.242879999999,2,31,5114.242879999999,0.0,194076.24798266348,112963.317808136,6912.495966710932,34636.09143758985,154511.90521243677,0.0,0.0,0.0,8.747591297144208,261112.24022365818,106600.33501122141,4218.72192,4218.72192,4,32,1.0,8.747591297144208
