tiempo,volumen,hidrologia,turbinado,energia_turbinada,energia_eolica,energia_solar,energia_biomasa,energia_renovable,energia_termico_bajo,energia_termico_alto,costo_termico,ingreso_exportacion,demanda,demanda_residual,aportes,vertimiento,costo_vertimiento,action,reward,reward_usd
14,3008.243650226087,2.11,2808.7148197565216,106585.63675248226,99999.6553362952,7882.442787928107,33192.07652152284,141074.17464574613,37918.23478125718,1026.506125511546,4099775.315779182,0.0,246622.79107341048,105548.61642766435,3430.1691648,0.0,0.0,1.0,-4.0997753157791825,-4099775.3157791826
15,3629.697995269565,2.09,3050.312461356522,115753.82936737587,95416.92842546562,8111.724699108436,33118.516723145774,136647.16984771984,39542.59730077319,2354.007017417783,4660461.835302654,0.0,249188.23580714918,112541.06595942932,3638.912256,0.0,0.0,1.0,-4.6604618353026535,-4660461.835302654
16,4218.297789913044,2.07,3204.662832,121611.14618085106,100470.00745115177,7424.9501238408375,23369.852297572706,131264.80987256533,37533.94147255729,3977.8507335864683,4946749.36733167,0.0,251752.38877616858,120487.57890360325,4620.136752,0.0,0.0,1.0,-4.94674936733167,-4946749.36733167
17,5633.771709913043,2.26,3659.2498656,138861.9001893617,98434.05050166651,6757.079140633997,21224.44183295923,126415.57147525974,35497.39601841492,5212.622158598851,5113526.249421148,0.0,253509.18879524473,127093.617319985,4481.10206733913,0.0,0.0,1.0,-5.113526249421147,-5113526.249421147
18,6455.623911652174,2.25,3980.4117345391305,151049.4110255319,98975.04493142635,6723.902763309068,25968.47947897232,131667.42717370772,32153.974977739734,4160.561498689934,4463565.9473809535,0.0,259512.0194486619,127844.59227495416,4580.7455232,0.0,0.0,1.0,-4.463565947380953,-4463565.9473809535
19,7055.9577003130435,2.28,4163.6869344,158004.37268297872,98037.6221467726,6354.580659707241,34253.7348904101,138645.93769688995,30180.340596700713,3816.3632289123243,4162943.0283437683,0.0,269658.83132354775,131012.89362665782,4362.9055037217395,0.0,0.0,1.0,-4.1629430283437685,-4162943.0283437683
20,7255.176269634783,2.26,4102.125420521739,155668.22480851063,97409.03202198535,5966.749727093678,35096.533702179564,138472.3154512586,32534.06738676915,7101.6294879247525,5383895.585054341,0.0,281722.62204277696,143250.30659151837,4461.600790956521,0.0,0.0,1.0,-5.38389558505434,-5383895.58505434
21,7614.6516400695655,2.21,4266.6027264,161909.84045957448,98814.04396127017,5886.590321169121,34915.35802257658,139615.99230501588,29989.36716670952,5200.446787852536,4559070.753026713,0.0,281740.7067488555,142124.7144438396,4317.195456,0.0,0.0,1.0,-4.559070753026713,-4559070.753026714
22,7665.244369669565,2.18,4380.032394156522,166214.29076524824,98220.28704362443,5700.530551199278,35017.87632551271,138938.69392033643,23745.904604346044,4287.811140622323,3660933.8026213013,0.0,276524.56080986426,137585.86688952782,4379.1674975999995,0.0,0.0,1.0,-3.6609338026213023,-3660933.802621302
23,7664.379473113043,2.22,4421.284218156522,167779.7227191489,98854.63909287954,5691.159953817383,35550.51846960261,140096.31751629955,25714.098270486724,3433.7981097732363,3601549.259980643,0.0,278081.1372973546,137984.81978105503,4817.019610017392,0.0,0.0,1.0,-3.601549259980643,-3601549.259980643
