volumen_discreto,hidrologia,tiempo,volumen,turbinado,energia_turbinada,energia_eolica,energia_solar,energia_biomasa,energia_renovable,energia_termico_bajo,energia_termico_alto,energia_exportada,costo_termico,ingreso_exportacion,demanda,demanda_residual,aportes,vertimiento,action,reward
15,2,0,45000.0,6472.290461538461,245611.6923076923,89498.12267082525,10847.177165782274,14205.472175438588,114550.7720120461,0.0,0.0,97357.73660002774,0.0,0.0,262804.7277197107,148253.95570766457,1103.63904,0.0,37,0.0
13,2,1,39631.34857846154,6297.363692307693,238973.5384615385,92140.0921373727,11271.621322419545,14859.639049122809,118271.35250891506,0.0,0.0,97558.4832846031,0.0,0.0,259686.40768585046,141415.0551769354,1056.16224,0.0,36,0.0
11,1,2,34390.147126153846,6647.217230769231,252249.84615384616,90659.82803868594,11002.30343492352,14518.368923684202,116180.50039729367,0.0,0.0,83660.45153409746,0.0,0.0,284769.89501704235,168589.3946197487,732.5337599999999,0.0,38,0.0
9,3,3,28475.463655384614,6822.144,258888.0,90554.62452678141,10732.967364716964,14566.054130701754,115853.64602220013,0.0,0.0,51906.028238879284,0.0,0.0,322835.61778332083,206981.97176112072,1998.9849600000002,0.0,39,0.0
7,4,4,23652.304615384615,349.85353846153845,13276.307692307691,85031.2477209428,10716.475757573358,14637.513606140346,110385.2370846565,84000.0,78645.5502567697,0.0,31993665.07703091,0.0,286307.0950337339,175921.85794907738,5447.312639999999,0.0,2,-31.993665077030908
9,4,5,28749.763716923077,4897.949538461538,185868.3076923077,87807.04803662449,10608.470938362425,14628.308548245614,113043.82752323252,0.0,0.0,27692.852110342676,0.0,0.0,271219.28310519754,158175.455581965,5173.58016,0.0,28,0.0
9,4,6,29025.394338461538,5597.656615384615,212420.92307692306,84982.77061434375,10693.418996498953,14763.392324561399,110439.5819354041,0.0,0.0,1782.9790128014865,0.0,0.0,321077.5259995257,210637.94406412158,5524.666560000001,0.0,32,0.0
9,4,7,28952.404283076925,3848.388923076923,146039.38461538462,85986.18983175584,10551.754537368377,15309.599851754381,111847.5442208786,0.0,0.0,5332.35416903146,0.0,0.0,252554.57466723176,140707.03044635316,5318.3088,0.0,22,0.0
10,3,8,30422.32416,4198.242461538462,159315.6923076923,84086.47588357603,10205.677110637433,15594.137738596493,109886.29073280995,0.0,0.0,3441.6976416405814,0.0,0.0,265760.2853988617,155873.99466605173,2410.49088,0.0,24,0.0
9,2,9,28634.57257846154,3673.462153846154,139401.23076923078,87138.50521512776,10242.880464036181,15899.251240350874,113280.63691951481,0.0,0.0,2836.1236391622515,0.0,0.0,249845.74404958336,136565.10713006853,1537.94592,0.0,21,0.0
