volumen_discreto,hidrologia,tiempo,volumen,turbinado,energia_turbinada,energia_eolica,energia_solar,energia_biomasa,energia_renovable,energia_termico_bajo,energia_termico_alto,energia_exportada,costo_termico,ingreso_exportacion,demanda,demanda_residual,aportes,vertimiento,action,reward
15,2,0,45000.0,6472.290461538461,245611.6923076923,89498.12267082525,10847.177165782274,14205.472175438588,114550.7720120461,0.0,0.0,97357.73660002774,0.0,0.0,262804.7277197107,148253.95570766457,1103.63904,0.0,37,0.0
13,2,1,39631.34857846154,6297.363692307693,238973.5384615385,92140.0921373727,11271.621322419545,14859.639049122809,118271.35250891506,0.0,0.0,97558.4832846031,0.0,0.0,259686.40768585046,141415.0551769354,1030.45824,0.0,36,0.0
11,1,2,34364.44312615385,6647.217230769231,252249.84615384616,90659.82803868594,11002.30343492352,14518.368923684202,116180.50039729367,0.0,0.0,83660.45153409746,0.0,0.0,284769.89501704235,168589.3946197487,693.1008,0.0,38,0.0
9,1,3,28410.326695384618,6647.217230769231,252249.84615384616,90554.62452678141,10732.967364716964,14566.054130701754,115853.64602220013,0.0,0.0,45267.87439272544,0.0,0.0,322835.61778332083,206981.97176112072,693.0403200000001,0.0,38,0.0
7,0,4,22456.149784615387,6472.290461538461,245611.6923076923,85031.2477209428,10716.475757573358,14637.513606140346,110385.2370846565,0.0,0.0,69689.83435861493,0.0,0.0,286307.0950337339,175921.85794907738,406.42560000000003,0.0,37,0.0
5,1,5,16390.284923076924,2798.8283076923076,106210.46153846153,87807.04803662449,10608.470938362425,14628.308548245614,113043.82752323252,51964.99404350348,0.0,0.0,5196499.404350348,0.0,271219.28310519754,158175.455581965,909.07488,0.0,16,-5.196499404350348
4,3,6,14500.531495384617,5772.583384615385,219059.07692307694,84982.77061434375,10693.418996498953,14763.392324561399,110439.5819354041,0.0,0.0,8421.13285895536,0.0,0.0,321077.5259995257,210637.94406412158,1998.8035200000002,0.0,33,0.0
3,3,7,10726.751630769233,6122.436923076923,232335.38461538462,85986.18983175584,10551.754537368377,15309.599851754381,111847.5442208786,0.0,0.0,91628.35416903146,0.0,0.0,252554.57466723176,140707.03044635316,1968.50304,0.0,35,0.0
2,4,8,6572.81774769231,6297.363692307693,238973.5384615385,84086.47588357603,10205.677110637433,15594.137738596493,109886.29073280995,0.0,0.0,83099.54379548677,0.0,0.0,265760.2853988617,155873.99466605173,4959.84384,0.0,36,0.0
1,4,9,5235.297895384617,5235.297895384617,198670.06641025646,87138.50521512776,10242.880464036181,15899.251240350874,113280.63691951481,0.0,0.0,62104.95928018793,0.0,0.0,249845.74404958336,136565.10713006853,5318.42976,0.0,38,0.0
1,3,10,5318.42976,4373.169230769231,165953.84615384616,88685.74475373808,9824.855155326186,16000.966926315783,114511.56683538006,0.0,0.0,34520.79839376823,0.0,0.0,245944.61459545797,131433.04776007793,2247.4368,0.0,25,0.0
1,2,11,3192.697329230769,3192.697329230769,121157.07703764319,92209.90206906515,9278.029588771047,15795.58666754386,117283.51832538006,10367.861616473456,0.0,0.0,1036786.1616473456,0.0,248808.4569794967,131524.93865411665,1330.56,0.0,39,-1.0367861616473457
0,1,12,1330.56,1330.56,50492.34042553191,92859.18840188251,9169.003791343186,18456.2665437649,120484.4587369906,84000.0,1915.5214341649553,0.0,8974656.430249486,0.0,256892.32059668744,136407.86185969686,842.6678400000001,0.0,27,-8.974656430249485
0,0,13,842.6678400000001,842.6678400000001,31977.717234042557,95290.58732603819,8530.480186850396,33050.70162164341,136871.76913453202,63966.923378448875,0.0,0.0,6396692.337844888,0.0,232816.40974702346,95944.64061249144,412.77599999999995,0.0,28,-6.396692337844888
0,1,14,412.77599999999995,412.77599999999995,15664.101063829785,99999.6553362952,7882.442787928107,33192.07652152284,141074.17464574613,84000.0,5884.5153638345655,0.0,10165354.609150369,0.0,246622.79107341048,105548.61642766435,900.97056,0.0,11,-10.165354609150368
0,3,15,900.97056,900.97056,34190.19978723404,95416.92842546562,8111.724699108436,33118.516723145774,136647.16984771984,78350.8661721953,0.0,0.0,7835086.61721953,0.0,249188.23580714918,112541.06595942934,4299.5232000000005,0.0,25,-7.83508661721953
1,3,16,4299.5232000000005,4299.5232000000005,163159.11276595746,100470.00745115177,7424.9501238408375,23369.852297572706,131264.80987256533,0.0,0.0,42671.533862354205,0.0,0.0,251752.38877616858,120487.57890360325,4576.76352,0.0,34,0.0
1,2,17,4576.76352,4576.76352,173679.88042553194,98434.05050166651,6757.079140633997,21224.44183295923,126415.57147525974,0.0,0.0,46586.263105546954,0.0,0.0,253509.18879524473,127093.61731998499,2842.9833599999997,0.0,39,0.0
0,1,18,2842.9833599999997,2842.9833599999997,107886.06574468085,98975.04493142634,6723.902763309068,25968.47947897232,131667.42717370772,19958.526530273317,0.0,0.0,1995852.6530273317,0.0,259512.0194486619,127844.59227495416,1295.6025599999998,0.0,26,-1.9958526530273317
0,2,19,1295.6025599999998,1295.6025599999998,49165.76893617021,98037.6221467726,6354.5806597072415,34253.7348904101,138645.93769688995,81847.1246904876,0.0,0.0,8184712.46904876,0.0,269658.83132354775,131012.89362665781,2864.6352,0.0,30,-8.18471246904876
