volumen_discreto,hidrologia,tiempo,volumen,turbinado,energia_turbinada,energia_eolica,energia_solar,energia_biomasa,energia_renovable,energia_termico_bajo,energia_termico_alto,energia_exportada,costo_termico,ingreso_exportacion,demanda,demanda_residual,aportes,vertimiento,action,reward
15,2,0,45000.0,6472.290461538461,245611.6923076923,89498.12267082525,10847.177165782274,14205.472175438588,114550.7720120461,0.0,0.0,97357.73660002774,0.0,0.0,262804.7277197107,148253.95570766457,1103.63904,0.0,37,0.0
13,3,1,39631.34857846154,6122.436923076923,232335.38461538462,92140.0921373727,11271.621322419545,14859.639049122809,118271.35250891506,0.0,0.0,90920.32943844923,0.0,0.0,259686.40768585046,141415.0551769354,1926.1065600000002,0.0,35,0.0
11,4,2,35435.01821538462,5247.803076923077,199144.6153846154,90659.82803868594,11002.30343492352,14518.368923684202,116180.50039729367,0.0,0.0,30555.22076486671,0.0,0.0,284769.89501704235,168589.3946197487,5644.77984,0.0,30,0.0
11,3,3,35831.994978461546,5947.510153846154,225697.23076923078,90554.62452678141,10732.967364716964,14566.054130701754,115853.64602220013,0.0,0.0,18715.259008110064,0.0,0.0,322835.61778332083,206981.97176112072,1919.9376,0.0,34,0.0
10,3,4,31804.422424615394,5072.876307692308,192506.46153846153,85031.2477209428,10716.475757573358,14637.513606140346,110385.2370846565,0.0,0.0,16584.603589384147,0.0,0.0,286307.0950337339,175921.85794907738,2037.5711999999999,0.0,29,0.0
9,2,5,28769.117316923082,4548.096,172591.99999999997,87807.04803662449,10608.470938362425,14628.308548245614,113043.82752323252,0.0,0.0,14416.544418034959,0.0,0.0,271219.28310519754,158175.455581965,1325.23776,0.0,26,0.0
8,1,6,25546.259076923085,6122.436923076923,232335.38461538462,84982.77061434375,10693.418996498953,14763.392324561399,110439.5819354041,0.0,0.0,21697.440551263047,0.0,0.0,321077.5259995257,210637.94406412158,761.1407999999999,0.0,35,0.0
6,2,7,20184.962953846163,4373.169230769231,165953.84615384616,85986.18983175584,10551.754537368377,15309.599851754381,111847.5442208786,0.0,0.0,25246.81570749299,0.0,0.0,252554.57466723176,140707.03044635316,1136.66112,0.0,25,0.0
5,2,8,16948.454843076932,4548.096,172591.99999999997,84086.47588357603,10205.677110637433,15594.137738596493,109886.29073280995,0.0,0.0,16718.00533394824,0.0,0.0,265760.2853988617,155873.99466605173,1379.12544,0.0,26,0.0
4,3,9,13779.484283076932,6472.290461538461,245611.6923076923,87138.50521512776,10242.880464036181,15899.251240350874,113280.63691951481,0.0,0.0,109046.58517762378,0.0,0.0,249845.74404958336,136565.10713006853,2217.01536,0.0,37,0.0
3,4,10,9524.20918153847,3498.5353846153844,132763.0769230769,88685.74475373808,9824.855155326186,16000.966926315783,114511.56683538006,0.0,0.0,1330.0291629989806,0.0,0.0,245944.61459545797,131433.04776007793,4863.68064,0.0,20,0.0
3,4,11,10889.354436923084,3498.5353846153844,132763.0769230769,92209.90206906515,9278.029588771047,15795.58666754386,117283.51832538006,0.0,0.0,1238.1382689602615,0.0,0.0,248808.4569794967,131524.93865411665,5041.3104,0.0,20,0.0
4,4,12,12432.1294523077,3673.462153846154,139401.23076923078,92859.18840188251,9169.003791343186,18456.2665437649,120484.4587369906,0.0,0.0,2993.3689095339214,0.0,0.0,256892.32059668744,136407.86185969686,5748.68448,0.0,21,0.0
4,4,13,14507.351778461545,2623.9015384615386,99572.3076923077,95290.58732603819,8530.480186850396,33050.70162164341,136871.76913453202,0.0,0.0,3627.667079816267,0.0,0.0,232816.40974702346,95944.64061249144,6272.078399999999,0.0,15,0.0
6,3,14,18155.528640000004,2798.8283076923076,106210.46153846153,99999.6553362952,7882.442787928107,33192.07652152284,141074.17464574613,0.0,0.0,661.8451107971778,0.0,0.0,246622.79107341048,105548.61642766435,3624.8687999999997,0.0,16,0.0
6,3,15,18981.569132307697,2973.755076923077,112848.61538461539,95416.92842546562,8111.724699108436,33118.516723145774,136647.16984771984,0.0,0.0,307.54942518605094,0.0,0.0,249188.23580714918,112541.06595942934,3981.82176,0.0,17,0.0
6,3,16,19989.63581538462,3323.6086153846154,126124.92307692308,100470.00745115177,7424.9501238408375,23369.852297572706,131264.80987256533,0.0,0.0,5637.344173319827,0.0,0.0,251752.38877616858,120487.57890360325,4643.83584,0.0,19,0.0
