costo_termico,ingreso_exportacion
0.0,132723.00442844167
4776099.233567663,0.0
7049540.353534801,0.0
14926364.213638265,0.0
14245025.377717376,0.0
7963352.641194983,0.0
21237869.13202615,0.0
4131268.0271318103,0.0
4817829.99364542,0.0
6463104.063953516,0.0
7904478.036296259,0.0
7617146.887384591,0.0
7695295.381698654,0.0
3960499.7782313772,0.0
4812661.153245055,0.0
5613740.396320235,0.0
5830207.488771699,0.0
6936388.840730237,0.0
7111342.9246276505,0.0
6650167.805145662,0.0
5592561.497445982,0.0
6700697.466654806,0.0
4472417.200277741,0.0
6693802.867121223,0.0
4464895.373763863,0.0
16796420.200701095,0.0
5404169.826710758,0.0
5203832.349691194,0.0
3329033.3969025086,0.0
658778.1684658199,0.0
0.0,115908.24565211224
0.0,2231.3145632466767
0.0,142310.38874499642
0.0,183398.6190113021
0.0,60931.4582141983
0.0,34739.668147594275
0.0,25257.06325296464
0.0,22301.347498115327
483076.0993290234,0.0
0.0,17450.091584205133
1216091.672023158,0.0
0.0,11098.429200958155
0.0,34305.65415249893
0.0,46144.31407943473
1510938.0537905782,0.0
4310281.035585264,0.0
2786160.935315619,0.0
956017.6671424131,0.0
5857883.962522343,0.0
4040026.5047705444,0.0
5397002.400562305,0.0
5841524.049111927,0.0
4532596.669981141,0.0
6429056.4750649985,0.0
11423242.337170653,0.0
22585350.675217725,0.0
14409331.737262385,0.0
12775342.004509436,0.0
17608064.226254165,0.0
7097510.934073946,0.0
9502542.417006047,0.0
7295672.405042864,0.0
7177337.107334053,0.0
5815319.218828408,0.0
4890419.307429434,0.0
7271695.852423022,0.0
5782435.278438506,0.0
6288142.954662673,0.0
6146400.568678773,0.0
5933373.254215723,0.0
7655437.168237852,0.0
5931845.4172941,0.0
6127717.8556135725,0.0
7425851.577769677,0.0
5787596.821172577,0.0
1935462.4271476977,0.0
1175384.4469293486,0.0
2651783.84966437,0.0
7109950.671180087,0.0
16013950.101858977,0.0
5940294.754350615,0.0
2387787.341691436,0.0
2824814.8856086526,0.0
5611593.652414247,0.0
7298837.527201965,0.0
0.0,13285.225082121498
0.0,167971.5901575467
0.0,127739.65637030426
0.0,74236.39181654292
0.0,191147.6006286656
0.0,196968.73970167272
0.0,187878.91612456378
0.0,189767.12391815227
0.0,175307.34969227065
0.0,194767.8099032885
0.0,208358.83211172343
0.0,198501.04942224504
0.0,189021.11236489445
0.0,166733.0510402872
0.0,185985.6061657361
0.0,185126.23815918408
0.0,156432.36155724968
0.0,172774.242382878
