volumen,hidrologia,tiempo,turbinado,vertimiento,energia_turbinada,energia_eolica,energia_solar,energia_biomasa,energia_renovable,energia_termico_bajo,energia_termico_alto,costo_termico,ingreso_exportacion,demanda,demanda_residual,aportes,volumen_siguiente,hidrologia_siguiente,tiempo_siguiente,action,reward
6250.0,2,0,6250.0,0.0,237176.17218282112,89498.12267082525,10847.177165782274,14205.472175438588,114550.7720120461,0.0,0.0,0.0,132723.00442844167,219003.93976642555,104453.16775437945,1327.41504,1327.41504,2,1,1.0,132723.00442844167
1327.41504,2,1,1327.41504,0.0,50372.994893617026,92140.0921373727,11271.621322419545,14859.639049122809,118271.35250891506,47760.99233567662,0.0,4776099.233567663,0.0,216405.3397382087,98133.98722929365,1334.24928,1334.24928,2,2,1.0,-4776099.233567663
1334.24928,2,2,1334.24928,0.0,50632.341914893615,90659.82803868594,11002.30343492352,14518.368923684202,116180.50039729367,70495.40353534801,0.0,7049540.353534801,0.0,237308.2458475353,121127.74545024162,1249.6377599999998,1249.6377599999998,1,3,1.0,-7049540.353534801
1249.6377599999998,1,3,1249.6377599999998,0.0,47421.48808510638,90554.62452678141,10732.967364716964,14566.054130701754,115853.64602220013,84000.0,21754.547378794217,14926364.213638265,0.0,269029.6814861007,153176.0354639006,651.4300799999999,651.4300799999999,1,4,1.0,-14926364.213638265
651.4300799999999,1,4,651.4300799999999,0.0,24720.590851063826,85031.2477209428,10716.475757573358,14637.513606140346,110385.2370846565,84000.0,19483.417925724585,14245025.377717376,0.0,238589.2458614449,128204.00877678841,878.53248,878.53248,1,5,0.7471157,-14245025.377717376
878.53248,1,5,878.53248,0.0,33338.715319148934,87807.04803662449,10608.470938362425,14628.308548245614,113043.82752323252,79633.52641194983,0.0,7963352.641194983,0.0,226016.0692543313,112972.24173109877,799.30368,799.30368,2,6,1.0,-7963352.641194983
799.30368,2,6,799.30368,0.0,30332.12595744681,84982.77061434375,10693.418996498953,14763.392324561399,110439.5819354041,84000.0,42792.89710675384,21237869.13202615,0.0,267564.60499960475,157125.02306420065,1510.00416,1510.00416,3,7,1.0,-21237869.13202615
1510.00416,3,7,1510.00416,0.0,57301.92106382979,85986.18983175584,10551.754537368377,15309.599851754381,111847.5442208786,41312.6802713181,0.0,4131268.0271318103,0.0,210462.1455560265,98614.60133514789,1670.76,1670.76,1,8,1.0,-4131268.0271318103
1670.76,1,8,1670.76,0.0,63402.313829787236,84086.47588357603,10205.677110637433,15594.137738596493,109886.29073280995,48178.299936454205,0.0,4817829.99364542,0.0,221466.9044990514,111580.61376624144,798.27552,798.27552,0,9,1.0,-4817829.99364542
798.27552,0,9,798.27552,0.0,30293.10914893617,87138.50521512776,10242.880464036181,15899.251240350874,113280.63691951481,64631.04063953516,0.0,6463104.063953516,0.0,208204.78670798615,94924.14978847133,300.34368,300.34368,0,10,1.0,-6463104.063953516
300.34368,0,10,300.34368,0.0,11397.49829787234,88685.74475373808,9824.855155326186,16000.966926315783,114511.56683538006,79044.78036296259,0.0,7904478.036296259,0.0,204953.84549621498,90442.27866083493,365.904,365.904,0,11,1.0,-7904478.036296259
365.904,0,11,365.904,0.0,13885.393617021276,92209.90206906515,9278.029588771047,15795.58666754386,117283.51832538006,76171.46887384591,0.0,7617146.887384591,0.0,207340.38081624726,90056.86249086719,438.47999999999996,438.47999999999996,0,12,1.0,-7617146.887384591
438.47999999999996,0,12,438.47999999999996,0.0,16639.521276595744,92859.18840188251,9169.003791343186,18456.2665437649,120484.4587369906,76952.95381698654,0.0,7695295.381698654,0.0,214076.93383057287,93592.47509358228,462.12768,462.12768,0,13,1.0,-7695295.381698654
462.12768,0,13,462.12768,0.0,17536.907872340427,95290.58732603819,8530.480186850396,33050.70162164341,136871.76913453202,39604.997782313774,0.0,3960499.7782313772,0.0,194013.67478918622,57141.9056546542,430.0128,430.0128,0,14,1.0,-3960499.7782313772
430.0128,0,14,430.0128,0.0,16318.206382978724,99999.6553362952,7882.442787928107,33192.07652152284,141074.17464574613,48126.61153245055,0.0,4812661.153245055,0.0,205518.9925611754,64444.817915429274,391.91040000000004,391.91040000000004,0,15,1.0,-4812661.153245055
391.91040000000004,0,15,391.91040000000004,0.0,14872.28936170213,95416.92842546562,8111.724699108436,33118.516723145774,136647.16984771984,56137.40396320235,0.0,5613740.396320235,0.0,207656.86317262432,71009.69332490448,533.0102400000001,533.0102400000001,0,16,1.0,-5613740.396320235
533.0102400000001,0,16,533.0102400000001,0.0,20226.77255319149,100470.00745115177,7424.9501238408375,23369.852297572706,131264.80987256533,58302.074887717,0.0,5830207.488771699,0.0,209793.6573134738,78528.84744090849,407.87712000000005,407.87712000000005,0,17,1.0,-5830207.488771699
407.87712000000005,0,17,407.87712000000005,0.0,15478.197446808512,98434.05050166651,6757.079140633997,21224.44183295923,126415.57147525974,69363.88840730237,0.0,6936388.840730237,0.0,211257.65732937062,84842.08585411088,355.19903999999997,355.19903999999997,0,18,1.0,-6936388.840730237
355.19903999999997,0,18,355.19903999999997,0.0,13479.15978723404,98975.04493142634,6723.902763309068,25968.47947897232,131667.42717370772,71113.4292462765,0.0,7111342.9246276505,0.0,216260.01620721826,84592.58903351054,515.65248,515.65248,1,19,1.0,-7111342.9246276505
515.65248,1,19,515.65248,0.0,19568.077021276596,98037.6221467726,6354.5806597072415,34253.7348904101,138645.93769688995,66501.67805145662,0.0,6650167.805145662,0.0,224715.69276962316,86069.75507273321,1063.8432,1063.8432,0,20,1.0,-6650167.805145662
