energia_turbinada,energia_eolica,energia_solar,energia_biomasa,energia_renovable,energia_termico_bajo,energia_termico_alto
237176.17218282112,89498.12267082525,10847.177165782274,14205.472175438588,114550.7720120461,0.0,0.0
50033.31914893617,92140.0921373727,11271.621322419545,14859.639049122809,118271.35250891506,48100.66808035748,0.0
50896.27914893618,90659.82803868594,11002.30343492352,14518.368923684202,116180.50039729367,70231.46630130545,0.0
46283.115319148936,90554.62452678141,10732.967364716964,14566.054130701754,115853.64602220013,84000.0,22892.920144751668
222664.33595744678,85031.2477209428,10716.475757573358,14637.513606140346,110385.2370846565,0.0,0.0
119111.43106382979,87807.04803662449,10608.470938362425,14628.308548245614,113043.82752323252,0.0,0.0
60046.868297872345,84982.77061434375,10693.418996498953,14763.392324561399,110439.5819354041,84000.0,13078.154766328313
62013.7744680851,85986.18983175584,10551.754537368377,15309.599851754381,111847.5442208786,36600.82686706279,0.0
37153.18212765957,84086.47588357603,10205.677110637433,15594.137738596493,109886.29073280995,74427.43163858187,0.0
74118.1655319149,87138.50521512776,10242.880464036181,15899.251240350874,113280.63691951481,20805.984256556432,0.0
41295.84914893618,88685.74475373808,9824.855155326186,16000.966926315783,114511.56683538006,49146.42951189875,0.0
110741.1780851064,92209.90206906515,9278.029588771047,15795.58666754386,117283.51832538006,0.0,0.0
140125.425106383,92859.18840188251,9169.003791343186,18456.2665437649,120484.4587369906,0.0,0.0
258888.0,95290.58732603819,8530.480186850396,33050.70162164341,136871.76913453202,0.0,0.0
258888.0,99999.6553362952,7882.442787928107,33192.07652152284,141074.17464574613,0.0,0.0
258888.0,95416.92842546562,8111.724699108436,33118.516723145774,136647.16984771984,0.0,0.0
258888.0,100470.00745115177,7424.9501238408375,23369.852297572706,131264.80987256533,0.0,0.0
258888.0,98434.05050166651,6757.079140633997,21224.44183295923,126415.57147525974,0.0,0.0
258888.0,98975.04493142634,6723.902763309068,25968.47947897232,131667.42717370772,0.0,0.0
145530.40063829778,98037.6221467726,6354.5806597072415,34253.7348904101,138645.93769688995,0.0,0.0
34874.141489361704,97409.03202198535,5966.749727093678,35096.533702179564,138472.3154512586,61422.39476169387,0.0
127240.69787234045,98814.04396127017,5886.59032116912,34915.35802257658,139615.99230501588,0.0,0.0
135916.19999999998,98220.28704362443,5700.530551199278,35017.87632551271,138938.69392033643,0.0,0.0
178889.77191489364,98854.63909287953,5691.159953817383,35550.51846960261,140096.31751629955,0.0,0.0
152266.5378723404,104690.69883044781,5569.164730104099,36640.267961321035,146900.13152187294,0.0,0.0
158424.30829787234,104382.0148129037,5429.313546577172,36310.39745348857,146121.72581296944,0.0,0.0
213961.29255319148,106816.05281652318,5738.184090648205,34600.92987232152,147155.16677949292,0.0,0.0
161049.91,105570.85574992995,5961.318488980013,35113.18863366362,146645.3628725736,0.0,0.0
149250.76808510636,108730.43283364398,5763.893484376082,34304.426268943746,148798.75258696382,0.0,0.0
101374.84893617021,105710.5229317552,6405.6144499270995,34658.5686623392,146774.7060440215,10255.3616846582,0.0
153381.95957446808,106832.62021303737,6755.84926381601,35019.157293632656,148607.62677048604,0.0,0.0
137577.8570212766,112963.317808136,6912.495966710932,34636.09143758985,154511.90521243677,0.0,0.0
178485.83319148936,111681.42711469864,6849.887804579319,34441.76708218248,152973.08200146045,0.0,0.0
131369.59425531916,107779.19993502216,7307.814717086226,32995.00888109761,148082.023533206,0.0,0.0
99534.17361702127,108649.10494879776,7909.894347552579,32997.27884153994,149556.27813789027,7448.941360269702,0.0
140917.23680851067,109305.83774373586,7929.533467364118,32767.710565039084,150003.08177613906,0.0,0.0
148321.25,114300.0067239174,8524.156211579264,32083.372775819946,154907.5357113166,0.0,0.0
85095.65936170213,116709.79191836771,8237.11335634511,32138.754736952975,157085.6600116658,0.0,0.0
120438.00255319149,116894.20438616359,8752.13665806451,31710.193294999768,157356.53433922786,0.0,0.0
258888.0,110322.89665027641,9054.746042873534,31879.889942467347,151257.5326356173,0.0,0.0
258888.0,108176.90193784745,9864.239537116413,31227.34317938806,149268.48465435192,0.0,0.0
258888.0,104422.57659378197,10529.749504988575,31504.85887353122,146457.18497230177,0.0,0.0
258888.0,107996.14741250093,10636.545500075908,30752.21296938665,149384.9058819635,0.0,0.0
258888.0,108368.16162633839,10773.160558117666,31590.321507513345,150731.6436919694,0.0,0.0
258888.0,102923.50995295042,10848.06160390814,32262.107988332133,146033.67954519068,0.0,0.0
258888.0,104473.43194198546,10923.442250445485,32514.58053801845,147911.4547304494,0.0,0.0
258888.0,104133.89710660212,11090.618849065764,32307.28314069009,147531.79909635798,0.0,0.0
258888.0,101779.74723093814,11212.704877708185,34387.941797698426,147380.39390634475,0.0,0.0
258888.0,99174.28621582552,11568.319282368753,35193.49844685015,145936.10394504442,0.0,0.0
258888.0,99338.40944907123,11291.319964265569,34924.236809625756,145553.96622296254,0.0,0.0
258888.0,97313.17091924294,11329.20102259438,35295.99925486828,143938.37119670562,0.0,0.0
258888.0,94055.30850885545,11043.135413804714,35184.48269391482,140282.926616575,0.0,0.0
258888.0,92467.96306251167,11350.593319777001,36432.24441620002,140250.8007984887,0.0,0.0
85694.4392592592,92077.1464552851,11269.442481945203,36251.92264326596,139598.51158049627,2433.1003850077977,0.0
21904.495319148933,90611.44799048477,11377.655082999983,36257.837276160855,138246.94034964562,84000.0,4837.746584895096
26499.298297872338,88359.82409203946,11416.239695997296,35889.021960530175,135665.08574856693,84000.0,35092.89714434277
19485.45319148936,86433.12223115128,11103.806498983273,36190.64757729516,133727.57630742973,84000.0,13079.228556832066
39285.335957446805,83446.21612304743,11016.439249456647,36716.177360995935,131178.8327335,67038.23611432224,0.0
58125.86425531915,86948.75525617333,11243.952255964494,36381.77820882268,134574.4857209605,71430.79210169829,0.0
53459.91297872341,86270.37463503586,11112.640300029934,36456.29165863506,133839.30659370084,33959.633596058615,0.0
86665.51212765957,85204.61999868434,10813.929831108317,36624.74911774642,132643.29894753906,15668.473730445694,0.0
114998.60042553193,88086.69888007017,10519.022792061409,36456.39532520748,135062.11699733906,0.0,0.0
239453.03914893616,89008.36410817421,10162.96838403011,34108.82822734285,133280.1607195472,0.0,0.0
152587.85276595745,89463.04536756715,9972.615210240887,33820.55439699758,133256.2149748056,0.0,0.0
60900.64787234043,94891.81835942433,9563.104142878781,33635.805140418444,138090.72764272155,8303.761159400718,0.0
22765.160212765957,94289.04168629115,9295.735461339134,35191.04599428708,138775.82314191735,63816.53597103873,0.0
